alpha_rad,el_rad,CM
-0.174532925,-0.418879020,0.205000
-0.174532925,-0.209439510,0.081000
-0.174532925,0.000000000,-0.046000
-0.174532925,0.209439510,-0.174000
-0.174532925,0.418879020,-0.259000
-0.087266463,-0.418879020,0.168000
-0.087266463,-0.209439510,0.077000
-0.087266463,0.000000000,-0.020000
-0.087266463,0.209439510,-0.145000
-0.087266463,0.418879020,-0.202000
0.000000000,-0.418879020,0.186000
0.000000000,-0.209439510,0.107000
0.000000000,0.000000000,-0.009000
0.000000000,0.209439510,-0.121000
0.000000000,0.418879020,-0.184000
0.087266463,-0.418879020,0.196000
0.087266463,-0.209439510,0.110000
0.087266463,0.000000000,-0.005000
0.087266463,0.209439510,-0.127000
0.087266463,0.418879020,-0.193000
0.174532925,-0.418879020,0.213000
0.174532925,-0.209439510,0.110000
0.174532925,0.000000000,-0.006000
0.174532925,0.209439510,-0.129000
0.174532925,0.418879020,-0.199000
0.261799388,-0.418879020,0.251000
0.261799388,-0.209439510,0.141000
0.261799388,0.000000000,0.010000
0.261799388,0.209439510,-0.102000
0.261799388,0.418879020,-0.150000
0.349065850,-0.418879020,0.245000
0.349065850,-0.209439510,0.127000
0.349065850,0.000000000,0.006000
0.349065850,0.209439510,-0.097000
0.349065850,0.418879020,-0.160000
0.436332313,-0.418879020,0.238000
0.436332313,-0.209439510,0.119000
0.436332313,0.000000000,-0.001000
0.436332313,0.209439510,-0.113000
0.436332313,0.418879020,-0.167000
0.523598776,-0.418879020,0.252000
0.523598776,-0.209439510,0.133000
0.523598776,0.000000000,0.014000
0.523598776,0.209439510,-0.087000
0.523598776,0.418879020,-0.104000
0.610865238,-0.418879020,0.231000
0.610865238,-0.209439510,0.108000
0.610865238,0.000000000,0.000000
0.610865238,0.209439510,-0.084000
0.610865238,0.418879020,-0.076000
0.698131701,-0.418879020,0.198000
0.698131701,-0.209439510,0.081000
0.698131701,0.000000000,-0.013000
0.698131701,0.209439510,-0.069000
0.698131701,0.418879020,-0.041000
0.785398163,-0.418879020,0.192000
0.785398163,-0.209439510,0.093000
0.785398163,0.000000000,0.032000
0.785398163,0.209439510,-0.006000
0.785398163,0.418879020,-0.005000
