alpha_rad,beta_rad,CN
-0.174532925,-0.523598776,-0.079000
-0.174532925,-0.436332313,-0.074000
-0.174532925,-0.349065850,-0.064000
-0.174532925,-0.261799388,-0.056000
-0.174532925,-0.174532925,-0.038000
-0.174532925,-0.087266463,-0.018000
-0.174532925,0.000000000,0.000000
-0.174532925,0.087266463,0.018000
-0.174532925,0.174532925,0.038000
-0.174532925,0.261799388,0.056000
-0.174532925,0.349065850,0.064000
-0.174532925,0.436332313,0.074000
-0.174532925,0.523598776,0.079000
-0.087266463,-0.523598776,-0.090000
-0.087266463,-0.436332313,-0.086000
-0.087266463,-0.349065850,-0.077000
-0.087266463,-0.261799388,-0.057000
-0.087266463,-0.174532925,-0.042000
-0.087266463,-0.087266463,-0.019000
-0.087266463,0.000000000,0.000000
-0.087266463,0.087266463,0.019000
-0.087266463,0.174532925,0.042000
-0.087266463,0.261799388,0.057000
-0.087266463,0.349065850,0.077000
-0.087266463,0.436332313,0.086000
-0.087266463,0.523598776,0.090000
0.000000000,-0.523598776,-0.106000
0.000000000,-0.436332313,-0.093000
0.000000000,-0.349065850,-0.076000
0.000000000,-0.261799388,-0.059000
0.000000000,-0.174532925,-0.042000
0.000000000,-0.087266463,-0.018000
0.000000000,0.000000000,0.000000
0.000000000,0.087266463,0.018000
0.000000000,0.174532925,0.042000
0.000000000,0.261799388,0.059000
0.000000000,0.349065850,0.076000
0.000000000,0.436332313,0.093000
0.000000000,0.523598776,0.106000
0.087266463,-0.523598776,-0.106000
0.087266463,-0.436332313,-0.089000
0.087266463,-0.349065850,-0.074000
0.087266463,-0.261799388,-0.058000
0.087266463,-0.174532925,-0.042000
0.087266463,-0.087266463,-0.019000
0.087266463,0.000000000,0.000000
0.087266463,0.087266463,0.019000
0.087266463,0.174532925,0.042000
0.087266463,0.261799388,0.058000
0.087266463,0.349065850,0.074000
0.087266463,0.436332313,0.089000
0.087266463,0.523598776,0.106000
0.174532925,-0.523598776,-0.096000
0.174532925,-0.436332313,-0.080000
0.174532925,-0.349065850,-0.073000
0.174532925,-0.261799388,-0.058000
0.174532925,-0.174532925,-0.043000
0.174532925,-0.087266463,-0.019000
0.174532925,0.000000000,0.000000
0.174532925,0.087266463,0.019000
0.174532925,0.174532925,0.043000
0.174532925,0.261799388,0.058000
0.174532925,0.349065850,0.073000
