alpha_rad,el_rad,CX
-0.174532925,-0.418879020,-0.099000
-0.174532925,-0.209439510,-0.048000
-0.174532925,0.000000000,-0.022000
-0.174532925,0.209439510,-0.040000
-0.174532925,0.418879020,-0.083000
-0.087266463,-0.418879020,-0.081000
-0.087266463,-0.209439510,-0.038000
-0.087266463,0.000000000,-0.020000
-0.087266463,0.209439510,-0.038000
-0.087266463,0.418879020,-0.073000
0.000000000,-0.418879020,-0.081000
0.000000000,-0.209439510,-0.040000
0.000000000,0.000000000,-0.021000
0.000000000,0.209439510,-0.039000
0.000000000,0.418879020,-0.076000
0.087266463,-0.418879020,-0.063000
0.087266463,-0.209439510,-0.021000
0.087266463,0.000000000,-0.004000
0.087266463,0.209439510,-0.025000
0.087266463,0.418879020,-0.072000
0.174532925,-0.418879020,-0.025000
0.174532925,-0.209439510,0.016000
0.174532925,0.000000000,0.032000
0.174532925,0.209439510,0.006000
0.174532925,0.418879020,-0.046000
0.261799388,-0.418879020,0.044000
0.261799388,-0.209439510,0.083000
0.261799388,0.000000000,0.094000
0.261799388,0.209439510,0.062000
0.261799388,0.418879020,0.012000
0.349065850,-0.418879020,0.097000
0.349065850,-0.209439510,0.127000
0.349065850,0.000000000,0.128000
0.349065850,0.209439510,0.087000
0.349065850,0.418879020,0.024000
0.436332313,-0.418879020,0.113000
0.436332313,-0.209439510,0.137000
0.436332313,0.000000000,0.130000
0.436332313,0.209439510,0.085000
0.436332313,0.418879020,0.025000
0.523598776,-0.418879020,0.145000
0.523598776,-0.209439510,0.162000
0.523598776,0.000000000,0.154000
0.523598776,0.209439510,0.100000
0.523598776,0.418879020,0.043000
0.610865238,-0.418879020,0.167000
0.610865238,-0.209439510,0.177000
0.610865238,0.000000000,0.161000
0.610865238,0.209439510,0.110000
0.610865238,0.418879020,0.053000
0.698131701,-0.418879020,0.174000
0.698131701,-0.209439510,0.179000
0.698131701,0.000000000,0.155000
0.698131701,0.209439510,0.104000
0.698131701,0.418879020,0.047000
0.785398163,-0.418879020,0.166000
0.785398163,-0.209439510,0.167000
0.785398163,0.000000000,0.138000
0.785398163,0.209439510,0.091000
0.785398163,0.418879020,0.040000
