alpha_rad,beta_rad,DLDA
-0.174532925,-0.523598776,-0.041000
-0.174532925,-0.349065850,-0.041000
-0.174532925,-0.174532925,-0.042000
-0.174532925,0.000000000,-0.040000
-0.174532925,0.174532925,-0.043000
-0.174532925,0.349065850,-0.044000
-0.174532925,0.523598776,-0.043000
-0.087266463,-0.523598776,-0.052000
-0.087266463,-0.349065850,-0.053000
-0.087266463,-0.174532925,-0.053000
-0.087266463,0.000000000,-0.052000
-0.087266463,0.174532925,-0.049000
-0.087266463,0.349065850,-0.048000
-0.087266463,0.523598776,-0.049000
0.000000000,-0.523598776,-0.053000
0.000000000,-0.349065850,-0.053000
0.000000000,-0.174532925,-0.052000
0.000000000,0.000000000,-0.051000
0.000000000,0.174532925,-0.048000
0.000000000,0.349065850,-0.048000
0.000000000,0.523598776,-0.047000
0.087266463,-0.523598776,-0.056000
0.087266463,-0.349065850,-0.053000
0.087266463,-0.174532925,-0.051000
0.087266463,0.000000000,-0.052000
0.087266463,0.174532925,-0.049000
0.087266463,0.349065850,-0.047000
0.087266463,0.523598776,-0.045000
0.174532925,-0.523598776,-0.050000
0.174532925,-0.349065850,-0.050000
0.174532925,-0.174532925,-0.049000
0.174532925,0.000000000,-0.048000
0.174532925,0.174532925,-0.043000
0.174532925,0.349065850,-0.042000
0.174532925,0.523598776,-0.042000
0.261799388,-0.523598776,-0.056000
0.261799388,-0.349065850,-0.051000
0.261799388,-0.174532925,-0.049000
0.261799388,0.000000000,-0.048000
0.261799388,0.174532925,-0.042000
0.261799388,0.349065850,-0.041000
0.261799388,0.523598776,-0.037000
0.349065850,-0.523598776,-0.082000
0.349065850,-0.349065850,-0.066000
0.349065850,-0.174532925,-0.043000
0.349065850,0.000000000,-0.042000
0.349065850,0.174532925,-0.042000
0.349065850,0.349065850,-0.020000
0.349065850,0.523598776,-0.003000
0.436332313,-0.523598776,-0.059000
0.436332313,-0.349065850,-0.043000
0.436332313,-0.174532925,-0.035000
0.436332313,0.000000000,-0.037000
0.436332313,0.174532925,-0.036000
0.436332313,0.349065850,-0.028000
0.436332313,0.523598776,-0.013000
0.523598776,-0.523598776,-0.042000
0.523598776,-0.349065850,-0.038000
0.523598776,-0.174532925,-0.026000
0.523598776,0.000000000,-0.031000
0.523598776,0.174532925,-0.025000
0.523598776,0.349065850,-0.013000
0.523598776,0.523598776,-0.010000
0.610865238,-0.523598776,-0.038000
0.610865238,-0.349065850,-0.027000
0.610865238,-0.174532925,-0.016000
0.610865238,0.000000000,-0.026000
0.610865238,0.174532925,-0.021000
0.610865238,0.349065850,-0.014000
0.610865238,0.523598776,-0.003000
0.698131701,-0.523598776,-0.027000
0.698131701,-0.349065850,-0.023000
0.698131701,-0.174532925,-0.018000
0.698131701,0.000000000,-0.017000
0.698131701,0.174532925,-0.016000
0.698131701,0.349065850,-0.011000
0.698131701,0.523598776,-0.007000
0.785398163,-0.523598776,-0.017000
0.785398163,-0.349065850,-0.016000
0.785398163,-0.174532925,-0.014000
0.785398163,0.000000000,-0.012000
0.785398163,0.174532925,-0.011000
0.785398163,0.349065850,-0.010000
0.785398163,0.523598776,-0.008000
