alpha_rad,beta_rad,DNDR
-0.174532925,-0.523598776,-0.018000
-0.174532925,-0.349065850,-0.028000
-0.174532925,-0.174532925,-0.037000
-0.174532925,0.000000000,-0.048000
-0.174532925,0.174532925,-0.043000
-0.174532925,0.349065850,-0.052000
-0.174532925,0.523598776,-0.062000
-0.087266463,-0.523598776,-0.052000
-0.087266463,-0.349065850,-0.051000
-0.087266463,-0.174532925,-0.041000
-0.087266463,0.000000000,-0.045000
-0.087266463,0.174532925,-0.044000
-0.087266463,0.349065850,-0.034000
-0.087266463,0.523598776,-0.034000
0.000000000,-0.523598776,-0.052000
0.000000000,-0.349065850,-0.043000
0.000000000,-0.174532925,-0.038000
0.000000000,0.000000000,-0.045000
0.000000000,0.174532925,-0.041000
0.000000000,0.349065850,-0.036000
0.000000000,0.523598776,-0.027000
0.087266463,-0.523598776,-0.052000
0.087266463,-0.349065850,-0.046000
0.087266463,-0.174532925,-0.040000
0.087266463,0.000000000,-0.045000
0.087266463,0.174532925,-0.041000
0.087266463,0.349065850,-0.036000
0.087266463,0.523598776,-0.028000
0.174532925,-0.523598776,-0.054000
0.174532925,-0.349065850,-0.045000
0.174532925,-0.174532925,-0.040000
0.174532925,0.000000000,-0.044000
0.174532925,0.174532925,-0.040000
0.174532925,0.349065850,-0.035000
0.174532925,0.523598776,-0.027000
0.261799388,-0.523598776,-0.049000
0.261799388,-0.349065850,-0.049000
0.261799388,-0.174532925,-0.038000
0.261799388,0.000000000,-0.045000
0.261799388,0.174532925,-0.038000
0.261799388,0.349065850,-0.028000
0.261799388,0.523598776,-0.027000
0.349065850,-0.523598776,-0.059000
0.349065850,-0.349065850,-0.057000
0.349065850,-0.174532925,-0.037000
0.349065850,0.000000000,-0.047000
0.349065850,0.174532925,-0.034000
0.349065850,0.349065850,-0.024000
0.349065850,0.523598776,-0.023000
0.436332313,-0.523598776,-0.051000
0.436332313,-0.349065850,-0.052000
0.436332313,-0.174532925,-0.030000
0.436332313,0.000000000,-0.048000
0.436332313,0.174532925,-0.035000
0.436332313,0.349065850,-0.023000
0.436332313,0.523598776,-0.023000
0.523598776,-0.523598776,-0.030000
0.523598776,-0.349065850,-0.030000
0.523598776,-0.174532925,-0.027000
0.523598776,0.000000000,-0.049000
0.523598776,0.174532925,-0.035000
0.523598776,0.349065850,-0.020000
0.523598776,0.523598776,-0.019000
0.610865238,-0.523598776,-0.037000
0.610865238,-0.349065850,-0.033000
0.610865238,-0.174532925,-0.024000
0.610865238,0.000000000,-0.045000
0.610865238,0.174532925,-0.029000
0.610865238,0.349065850,-0.016000
0.610865238,0.523598776,-0.009000
0.698131701,-0.523598776,-0.026000
0.698131701,-0.349065850,-0.030000
0.698131701,-0.174532925,-0.019000
0.698131701,0.000000000,-0.033000
0.698131701,0.174532925,-0.022000
0.698131701,0.349065850,-0.010000
0.698131701,0.523598776,-0.025000
0.785398163,-0.523598776,-0.013000
0.785398163,-0.349065850,-0.008000
0.785398163,-0.174532925,-0.013000
0.785398163,0.000000000,-0.016000
0.785398163,0.174532925,-0.009000
0.785398163,0.349065850,-0.014000
0.785398163,0.523598776,-0.010000
