delta_rad,mach,dCM_sym,dCL_sym,Cl_roll
-0.261799,0.3000,0.298900,-0.753000,-0.650800
-0.261799,0.5000,0.283300,-0.715000,-0.607100
-0.261799,0.7000,0.247500,-0.620000,-0.580530
-0.261799,0.9000,0.282500,-0.663000,-0.567120
-0.261799,1.1000,0.000000,0.000000,-18.832000
-0.261799,1.3000,5.228500,-1.278000,-2.147600
-0.261799,1.6000,3.423500,-0.841000,-0.853420
-0.261799,2.0000,2.437500,-0.599000,-0.425400
-0.261799,2.5000,1.821100,-0.448000,-0.237180
-0.261799,3.0000,1.460600,-0.360000,-0.153210
-0.122173,0.3000,0.152200,-0.360000,-0.311220
-0.122173,0.5000,0.148200,-0.342000,-0.290310
-0.122173,0.7000,0.131200,-0.297000,-0.277610
-0.122173,0.9000,0.148200,-0.317000,-0.271200
-0.122173,1.1000,0.000000,0.000000,-8.788500
-0.122173,1.3000,2.440000,-0.597000,-1.002200
-0.122173,1.6000,1.597600,-0.392000,-0.398260
-0.122173,2.0000,1.137500,-0.280000,-0.198520
-0.122173,2.5000,0.849900,-0.209000,-0.110680
-0.122173,3.0000,0.681600,-0.168000,-0.071499
0.000000,0.3000,-0.000200,0.001000,0.000000
0.000000,0.5000,-0.000200,0.000000,0.000000
0.000000,0.7000,-0.000200,0.000000,0.000000
0.000000,0.9000,-0.000200,0.000000,0.000000
0.000000,1.1000,0.000000,0.000000,0.000000
0.000000,1.3000,-0.003500,0.001000,0.000000
0.000000,1.6000,-0.002300,0.001000,0.000000
0.000000,2.0000,-0.001600,0.000000,0.000000
0.000000,2.5000,-0.001200,0.000000,0.000000
0.000000,3.0000,-0.001000,0.000000,0.000000
0.122173,0.3000,-0.152200,0.360000,0.311220
0.122173,0.5000,-0.148200,0.342000,0.290310
0.122173,0.7000,-0.131200,0.297000,0.277610
0.122173,0.9000,-0.148200,0.317000,0.271200
0.122173,1.1000,0.000000,0.000000,8.788500
0.122173,1.3000,-2.440000,0.597000,1.002200
0.122173,1.6000,-1.597600,0.392000,0.398260
0.122173,2.0000,-1.137500,0.280000,0.198520
0.122173,2.5000,-0.849900,0.209000,0.110680
0.122173,3.0000,-0.681600,0.168000,0.071499
0.261799,0.3000,-0.316700,0.753000,0.650800
0.261799,0.5000,-0.308200,0.715000,0.607100
0.261799,0.7000,-0.272700,0.620000,0.580530
0.261799,0.9000,-0.308300,0.663000,0.567120
0.261799,1.1000,0.000000,0.000000,18.832000
0.261799,1.3000,-5.228500,1.278000,2.147600
0.261799,1.6000,-3.423500,0.841000,0.853420
0.261799,2.0000,-2.437500,0.599000,0.425400
0.261799,2.5000,-1.821100,0.448000,0.237180
0.261799,3.0000,-1.460600,0.360000,0.153210
