alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-3.141593,0.0000,-0.000000,0.000000,-0.000000,-0.106300,0.000000,0.000000,0.000000,0.000000
-3.141593,0.2000,-0.000000,0.000000,-0.000000,-0.106800,0.000000,0.000000,0.000000,0.000000
-3.141593,0.4000,-0.000000,0.000000,-0.000000,-0.108700,0.000000,0.000000,0.000000,0.000000
-3.141593,0.6000,-0.000000,0.000000,-0.000000,-0.111800,0.000000,0.000000,0.000000,0.000000
-3.141593,0.8000,-0.000000,0.000000,-0.000000,-0.115000,0.000000,0.000000,0.000000,0.000000
-3.141593,0.9500,-0.000000,0.000000,-0.000000,-0.119200,0.000000,0.000000,0.000000,0.000000
-3.141593,1.0500,-0.000000,0.000000,-0.000000,-0.220200,0.000000,0.000000,0.000000,0.000000
-3.141593,1.2000,-0.000000,0.000000,-0.000000,-0.207000,0.000000,0.000000,0.000000,0.000000
-3.141593,1.4000,-0.000000,0.000000,-0.000000,-0.206300,0.000000,0.000000,0.000000,0.000000
-3.141593,1.8000,-0.000000,0.000000,-0.000000,-0.173100,0.000000,0.000000,0.000000,0.000000
-3.141593,2.2000,-0.000000,0.000000,-0.000000,-0.152900,0.000000,0.000000,0.000000,0.000000
-3.141593,2.6000,-0.000000,0.000000,-0.000000,-0.135900,0.000000,0.000000,0.000000,0.000000
-3.141593,3.0000,-0.000000,0.000000,-0.000000,-0.120100,0.000000,0.000000,0.000000,0.000000
-3.141593,3.5000,-0.000000,0.000000,-0.000000,-0.105300,0.000000,0.000000,0.000000,0.000000
-3.141593,4.0000,-0.000000,0.000000,-0.000000,-0.093520,0.000000,0.000000,0.000000,0.000000
-3.141593,4.5000,-0.000000,0.000000,-0.000000,-0.084000,0.000000,0.000000,0.000000,0.000000
-3.141593,5.0000,-0.000000,0.000000,-0.000000,-0.076350,0.000000,0.000000,0.000000,0.000000
-3.054326,0.0000,-0.000000,0.000000,-0.000000,-0.106300,0.000000,0.000000,0.000000,0.000000
-3.054326,0.2000,-0.000000,0.000000,-0.000000,-0.106800,0.000000,0.000000,0.000000,0.000000
-3.054326,0.4000,-0.000000,0.000000,-0.000000,-0.108700,0.000000,0.000000,0.000000,0.000000
-3.054326,0.6000,-0.000000,0.000000,-0.000000,-0.111800,0.000000,0.000000,0.000000,0.000000
-3.054326,0.8000,-0.000000,0.000000,-0.000000,-0.115000,0.000000,0.000000,0.000000,0.000000
-3.054326,0.9500,-0.000000,0.000000,-0.000000,-0.119200,0.000000,0.000000,0.000000,0.000000
-3.054326,1.0500,-0.000000,0.000000,-0.000000,-0.220200,0.000000,0.000000,0.000000,0.000000
-3.054326,1.2000,-0.000000,0.000000,-0.000000,-0.207000,0.000000,0.000000,0.000000,0.000000
-3.054326,1.4000,-0.000000,0.000000,-0.000000,-0.206300,0.000000,0.000000,0.000000,0.000000
-3.054326,1.8000,-0.000000,0.000000,-0.000000,-0.173100,0.000000,0.000000,0.000000,0.000000
-3.054326,2.2000,-0.000000,0.000000,-0.000000,-0.152900,0.000000,0.000000,0.000000,0.000000
-3.054326,2.6000,-0.000000,0.000000,-0.000000,-0.135900,0.000000,0.000000,0.000000,0.000000
-3.054326,3.0000,-0.000000,0.000000,-0.000000,-0.120100,0.000000,0.000000,0.000000,0.000000
-3.054326,3.5000,-0.000000,0.000000,-0.000000,-0.105300,0.000000,0.000000,0.000000,0.000000
-3.054326,4.0000,-0.000000,0.000000,-0.000000,-0.093520,0.000000,0.000000,0.000000,0.000000
-3.054326,4.5000,-0.000000,0.000000,-0.000000,-0.084000,0.000000,0.000000,0.000000,0.000000
-3.054326,5.0000,-0.000000,0.000000,-0.000000,-0.076350,0.000000,0.000000,0.000000,0.000000
-2.967060,0.0000,-0.000000,0.000000,-0.000000,-0.106300,0.000000,0.000000,0.000000,0.000000
-2.967060,0.2000,-0.000000,0.000000,-0.000000,-0.106800,0.000000,0.000000,0.000000,0.000000
-2.967060,0.4000,-0.000000,0.000000,-0.000000,-0.108700,0.000000,0.000000,0.000000,0.000000
-2.967060,0.6000,-0.000000,0.000000,-0.000000,-0.111800,0.000000,0.000000,0.000000,0.000000
-2.967060,0.8000,-0.000000,0.000000,-0.000000,-0.115000,0.000000,0.000000,0.000000,0.000000
-2.967060,0.9500,-0.000000,0.000000,-0.000000,-0.119200,0.000000,0.000000,0.000000,0.000000
-2.967060,1.0500,-0.000000,0.000000,-0.000000,-0.220200,0.000000,0.000000,0.000000,0.000000
-2.967060,1.2000,-0.000000,0.000000,-0.000000,-0.207000,0.000000,0.000000,0.000000,0.000000
-2.967060,1.4000,-0.000000,0.000000,-0.000000,-0.206300,0.000000,0.000000,0.000000,0.000000
-2.967060,1.8000,-0.000000,0.000000,-0.000000,-0.173100,0.000000,0.000000,0.000000,0.000000
-2.967060,2.2000,-0.000000,0.000000,-0.000000,-0.152900,0.000000,0.000000,0.000000,0.000000
-2.967060,2.6000,-0.000000,0.000000,-0.000000,-0.135900,0.000000,0.000000,0.000000,0.000000
-2.967060,3.0000,-0.000000,0.000000,-0.000000,-0.120100,0.000000,0.000000,0.000000,0.000000
-2.967060,3.5000,-0.000000,0.000000,-0.000000,-0.105300,0.000000,0.000000,0.000000,0.000000
-2.967060,4.0000,-0.000000,0.000000,-0.000000,-0.093520,0.000000,0.000000,0.000000,0.000000
-2.967060,4.5000,-0.000000,0.000000,-0.000000,-0.084000,0.000000,0.000000,0.000000,0.000000
-2.967060,5.0000,-0.000000,0.000000,-0.000000,-0.076350,0.000000,0.000000,0.000000,0.000000
-2.879793,0.0000,-0.000000,0.000000,-0.000000,-0.106300,0.000000,0.000000,0.000000,0.000000
-2.879793,0.2000,-0.000000,0.000000,-0.000000,-0.106800,0.000000,0.000000,0.000000,0.000000
-2.879793,0.4000,-0.000000,0.000000,-0.000000,-0.108700,0.000000,0.000000,0.000000,0.000000
-2.879793,0.6000,-0.000000,0.000000,-0.000000,-0.111800,0.000000,0.000000,0.000000,0.000000
-2.879793,0.8000,-0.000000,0.000000,-0.000000,-0.115000,0.000000,0.000000,0.000000,0.000000
-2.879793,0.9500,-0.000000,0.000000,-0.000000,-0.119200,0.000000,0.000000,0.000000,0.000000
-2.879793,1.0500,-0.000000,0.000000,-0.000000,-0.220200,0.000000,0.000000,0.000000,0.000000
-2.879793,1.2000,-0.000000,0.000000,-0.000000,-0.207000,0.000000,0.000000,0.000000,0.000000
-2.879793,1.4000,-0.000000,0.000000,-0.000000,-0.206300,0.000000,0.000000,0.000000,0.000000
-2.879793,1.8000,-0.000000,0.000000,-0.000000,-0.173100,0.000000,0.000000,0.000000,0.000000
-2.879793,2.2000,-0.000000,0.000000,-0.000000,-0.152900,0.000000,0.000000,0.000000,0.000000
-2.879793,2.6000,-0.000000,0.000000,-0.000000,-0.135900,0.000000,0.000000,0.000000,0.000000
-2.879793,3.0000,-0.000000,0.000000,-0.000000,-0.120100,0.000000,0.000000,0.000000,0.000000
-2.879793,3.5000,-0.000000,0.000000,-0.000000,-0.105300,0.000000,0.000000,0.000000,0.000000
-2.879793,4.0000,-0.000000,0.000000,-0.000000,-0.093520,0.000000,0.000000,0.000000,0.000000
-2.879793,4.5000,-0.000000,0.000000,-0.000000,-0.084000,0.000000,0.000000,0.000000,0.000000
-2.879793,5.0000,-0.000000,0.000000,-0.000000,-0.076350,0.000000,0.000000,0.000000,0.000000
-2.792527,0.0000,-0.000000,0.000000,-0.000000,-0.106300,0.000000,0.000000,0.000000,0.000000
-2.792527,0.2000,-0.000000,0.000000,-0.000000,-0.106800,0.000000,0.000000,0.000000,0.000000
-2.792527,0.4000,-0.000000,0.000000,-0.000000,-0.108700,0.000000,0.000000,0.000000,0.000000
-2.792527,0.6000,-0.000000,0.000000,-0.000000,-0.111800,0.000000,0.000000,0.000000,0.000000
-2.792527,0.8000,-0.000000,0.000000,-0.000000,-0.115000,0.000000,0.000000,0.000000,0.000000
-2.792527,0.9500,-0.000000,0.000000,-0.000000,-0.119200,0.000000,0.000000,0.000000,0.000000
-2.792527,1.0500,-0.000000,0.000000,-0.000000,-0.220200,0.000000,0.000000,0.000000,0.000000
-2.792527,1.2000,-0.000000,0.000000,-0.000000,-0.207000,0.000000,0.000000,0.000000,0.000000
-2.792527,1.4000,-0.000000,0.000000,-0.000000,-0.206300,0.000000,0.000000,0.000000,0.000000
-2.792527,1.8000,-0.000000,0.000000,-0.000000,-0.173100,0.000000,0.000000,0.000000,0.000000
-2.792527,2.2000,-0.000000,0.000000,-0.000000,-0.152900,0.000000,0.000000,0.000000,0.000000
-2.792527,2.6000,-0.000000,0.000000,-0.000000,-0.135900,0.000000,0.000000,0.000000,0.000000
-2.792527,3.0000,-0.000000,0.000000,-0.000000,-0.120100,0.000000,0.000000,0.000000,0.000000
-2.792527,3.5000,-0.000000,0.000000,-0.000000,-0.105300,0.000000,0.000000,0.000000,0.000000
-2.792527,4.0000,-0.000000,0.000000,-0.000000,-0.093520,0.000000,0.000000,0.000000,0.000000
-2.792527,4.5000,-0.000000,0.000000,-0.000000,-0.084000,0.000000,0.000000,0.000000,0.000000
-2.792527,5.0000,-0.000000,0.000000,-0.000000,-0.076350,0.000000,0.000000,0.000000,0.000000
-2.705260,0.0000,-0.000000,0.000000,-0.000000,-0.106300,0.000000,0.000000,0.000000,0.000000
-2.705260,0.2000,-0.000000,0.000000,-0.000000,-0.106800,0.000000,0.000000,0.000000,0.000000
-2.705260,0.4000,-0.000000,0.000000,-0.000000,-0.108700,0.000000,0.000000,0.000000,0.000000
-2.705260,0.6000,-0.000000,0.000000,-0.000000,-0.111800,0.000000,0.000000,0.000000,0.000000
-2.705260,0.8000,-0.000000,0.000000,-0.000000,-0.115000,0.000000,0.000000,0.000000,0.000000
-2.705260,0.9500,-0.000000,0.000000,-0.000000,-0.119200,0.000000,0.000000,0.000000,0.000000
-2.705260,1.0500,-0.000000,0.000000,-0.000000,-0.220200,0.000000,0.000000,0.000000,0.000000
-2.705260,1.2000,-0.000000,0.000000,-0.000000,-0.207000,0.000000,0.000000,0.000000,0.000000
-2.705260,1.4000,-0.000000,0.000000,-0.000000,-0.206300,0.000000,0.000000,0.000000,0.000000
-2.705260,1.8000,-0.000000,0.000000,-0.000000,-0.173100,0.000000,0.000000,0.000000,0.000000
-2.705260,2.2000,-0.000000,0.000000,-0.000000,-0.152900,0.000000,0.000000,0.000000,0.000000
-2.705260,2.6000,-0.000000,0.000000,-0.000000,-0.135900,0.000000,0.000000,0.000000,0.000000
-2.705260,3.0000,-0.000000,0.000000,-0.000000,-0.120100,0.000000,0.000000,0.000000,0.000000
-2.705260,3.5000,-0.000000,0.000000,-0.000000,-0.105300,0.000000,0.000000,0.000000,0.000000
-2.705260,4.0000,-0.000000,0.000000,-0.000000,-0.093520,0.000000,0.000000,0.000000,0.000000
-2.705260,4.5000,-0.000000,0.000000,-0.000000,-0.084000,0.000000,0.000000,0.000000,0.000000
-2.705260,5.0000,-0.000000,0.000000,-0.000000,-0.076350,0.000000,0.000000,0.000000,0.000000
-2.617994,0.0000,-0.000000,0.000000,-0.000000,-0.106300,0.000000,0.000000,0.000000,0.000000
-2.617994,0.2000,-0.000000,0.000000,-0.000000,-0.106800,0.000000,0.000000,0.000000,0.000000
-2.617994,0.4000,-0.000000,0.000000,-0.000000,-0.108700,0.000000,0.000000,0.000000,0.000000
-2.617994,0.6000,-0.000000,0.000000,-0.000000,-0.111800,0.000000,0.000000,0.000000,0.000000
-2.617994,0.8000,-0.000000,0.000000,-0.000000,-0.115000,0.000000,0.000000,0.000000,0.000000
-2.617994,0.9500,-0.000000,0.000000,-0.000000,-0.119200,0.000000,0.000000,0.000000,0.000000
-2.617994,1.0500,-0.000000,0.000000,-0.000000,-0.220200,0.000000,0.000000,0.000000,0.000000
-2.617994,1.2000,-0.000000,0.000000,-0.000000,-0.207000,0.000000,0.000000,0.000000,0.000000
-2.617994,1.4000,-0.000000,0.000000,-0.000000,-0.206300,0.000000,0.000000,0.000000,0.000000
-2.617994,1.8000,-0.000000,0.000000,-0.000000,-0.173100,0.000000,0.000000,0.000000,0.000000
-2.617994,2.2000,-0.000000,0.000000,-0.000000,-0.152900,0.000000,0.000000,0.000000,0.000000
-2.617994,2.6000,-0.000000,0.000000,-0.000000,-0.135900,0.000000,0.000000,0.000000,0.000000
-2.617994,3.0000,-0.000000,0.000000,-0.000000,-0.120100,0.000000,0.000000,0.000000,0.000000
-2.617994,3.5000,-0.000000,0.000000,-0.000000,-0.105300,0.000000,0.000000,0.000000,0.000000
-2.617994,4.0000,-0.000000,0.000000,-0.000000,-0.093520,0.000000,0.000000,0.000000,0.000000
