delta_rad,mach,dCM_sym,dCL_sym,Cl_roll
-0.349066,0.0000,0.480800,-1.320000,0.000000
-0.349066,0.2000,0.535200,-1.495000,0.000000
-0.349066,0.4000,0.507700,-1.455000,0.000000
-0.349066,0.6000,0.431000,-1.315000,0.000000
-0.349066,0.8000,0.397500,-1.279000,0.000000
-0.349066,0.9500,0.345500,-1.195000,0.000000
-0.349066,1.0500,0.000000,0.000000,0.000000
-0.349066,1.2000,0.000000,0.000000,0.000000
-0.349066,1.4000,8.413400,-2.446000,0.000000
-0.349066,1.8000,5.612700,-1.632000,0.000000
-0.349066,2.2000,4.294100,-1.248000,0.000000
-0.349066,2.6000,3.498000,-1.017000,0.000000
-0.349066,3.0000,2.956400,-0.860000,0.000000
-0.349066,3.5000,2.477900,-0.720000,0.000000
-0.349066,4.0000,2.131300,-0.620000,0.000000
-0.349066,4.5000,1.867700,-0.543000,0.000000
-0.349066,5.0000,1.659900,-0.483000,0.000000
-0.174533,0.0000,0.303500,-0.825000,0.000000
-0.174533,0.2000,0.337400,-0.935000,0.000000
-0.174533,0.4000,0.320000,-0.910000,0.000000
-0.174533,0.6000,0.271500,-0.822000,0.000000
-0.174533,0.8000,0.249300,-0.800000,0.000000
-0.174533,0.9500,0.215300,-0.747000,0.000000
-0.174533,1.0500,0.000000,0.000000,0.000000
-0.174533,1.2000,0.000000,0.000000,0.000000
-0.174533,1.4000,4.206700,-1.223000,0.000000
-0.174533,1.8000,2.806300,-0.816000,0.000000
-0.174533,2.2000,2.147100,-0.624000,0.000000
-0.174533,2.6000,1.749000,-0.509000,0.000000
-0.174533,3.0000,1.478200,-0.430000,0.000000
-0.174533,3.5000,1.238900,-0.360000,0.000000
-0.174533,4.0000,1.065600,-0.310000,0.000000
-0.174533,4.5000,0.933800,-0.272000,0.000000
-0.174533,5.0000,0.830000,-0.241000,0.000000
0.000000,0.0000,-0.000300,0.001000,0.000000
0.000000,0.2000,-0.000300,0.001000,0.000000
0.000000,0.4000,-0.000300,0.001000,0.000000
0.000000,0.6000,-0.000300,0.001000,0.000000
0.000000,0.8000,-0.000200,0.001000,0.000000
0.000000,0.9500,-0.000200,0.001000,0.000000
0.000000,1.0500,0.000000,0.000000,0.000000
0.000000,1.2000,0.000000,0.000000,0.000000
0.000000,1.4000,-0.004200,0.001000,0.000000
0.000000,1.8000,-0.002800,0.001000,0.000000
0.000000,2.2000,-0.002100,0.001000,0.000000
0.000000,2.6000,-0.001700,0.001000,0.000000
0.000000,3.0000,-0.001500,0.000000,0.000000
0.000000,3.5000,-0.001200,0.000000,0.000000
0.000000,4.0000,-0.001100,0.000000,0.000000
0.000000,4.5000,-0.000900,0.000000,0.000000
0.000000,5.0000,-0.000800,0.000000,0.000000
0.174533,0.0000,-0.303500,0.825000,0.000000
0.174533,0.2000,-0.337400,0.935000,0.000000
0.174533,0.4000,-0.320000,0.910000,0.000000
0.174533,0.6000,-0.271500,0.822000,0.000000
0.174533,0.8000,-0.249300,0.800000,0.000000
0.174533,0.9500,-0.215300,0.747000,0.000000
0.174533,1.0500,0.000000,0.000000,0.000000
0.174533,1.2000,0.000000,0.000000,0.000000
0.174533,1.4000,-4.206700,1.223000,0.000000
0.174533,1.8000,-2.806300,0.816000,0.000000
0.174533,2.2000,-2.147100,0.624000,0.000000
0.174533,2.6000,-1.749000,0.509000,0.000000
0.174533,3.0000,-1.478200,0.430000,0.000000
0.174533,3.5000,-1.238900,0.360000,0.000000
0.174533,4.0000,-1.065600,0.310000,0.000000
0.174533,4.5000,-0.933800,0.272000,0.000000
0.174533,5.0000,-0.830000,0.241000,0.000000
0.349066,0.0000,-0.499900,1.320000,0.000000
0.349066,0.2000,-0.554200,1.495000,0.000000
0.349066,0.4000,-0.526500,1.455000,0.000000
0.349066,0.6000,-0.448900,1.315000,0.000000
0.349066,0.8000,-0.413600,1.279000,0.000000
0.349066,0.9500,-0.359200,1.195000,0.000000
0.349066,1.0500,0.000000,0.000000,0.000000
0.349066,1.2000,0.000000,0.000000,0.000000
0.349066,1.4000,-8.413400,2.446000,0.000000
0.349066,1.8000,-5.612700,1.632000,0.000000
0.349066,2.2000,-4.294100,1.248000,0.000000
0.349066,2.6000,-3.498000,1.017000,0.000000
0.349066,3.0000,-2.956400,0.860000,0.000000
0.349066,3.5000,-2.477900,0.720000,0.000000
0.349066,4.0000,-2.131300,0.620000,0.000000
0.349066,4.5000,-1.867700,0.543000,0.000000
0.349066,5.0000,-1.659900,0.483000,0.000000
