alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-3.141593,0.3000,-0.000000,0.000000,-0.000000,-0.052820,-7.270000,-0.228700,0.000000,0.000000
-3.141593,0.5000,-0.000000,0.000000,-0.000000,-0.056340,-7.450000,-0.234400,0.000000,0.000000
-3.141593,0.7000,-0.000000,0.000000,-0.000000,-0.064000,-7.758000,-0.244100,0.000000,0.000000
-3.141593,0.9000,-0.000000,0.000000,-0.000000,-0.086300,-7.603000,-0.239200,0.000000,0.000000
-3.141593,1.1000,-17.796000,0.383000,-0.129700,-0.102800,-7.603000,-0.239200,0.000000,-20.838475
-3.141593,1.3000,-18.792000,0.395000,-0.140100,-0.089350,-7.603000,-0.239200,0.000000,-22.047416
-3.141593,1.6000,-17.246000,0.387000,-0.129700,-0.075060,-7.603000,-0.239200,0.000000,-18.741449
-3.141593,2.0000,-13.905000,0.367000,-0.105000,-0.062170,-7.603000,-0.239200,0.000000,-14.679179
-3.141593,2.5000,-11.086000,0.343000,-0.083800,-0.051370,-7.603000,-0.239200,0.000000,-11.573747
-3.141593,3.0000,-9.152000,0.322000,-0.069300,-0.043350,-7.603000,-0.239200,0.000000,-9.608502
-3.054326,0.3000,-0.000000,0.000000,-7.005800,-0.052820,-7.057000,-0.520400,0.000000,0.000000
-3.054326,0.5000,-0.000000,0.000000,-7.169200,-0.056340,-7.232000,-0.533400,0.000000,0.000000
-3.054326,0.7000,-0.000000,0.000000,-7.434800,-0.064000,-7.531000,-0.555400,0.000000,0.000000
-3.054326,0.9000,-0.000000,0.000000,-7.222700,-0.086300,-7.381000,-0.544300,0.000000,0.000000
-3.054326,1.1000,-16.063000,1.756000,-0.451600,-0.102800,-7.381000,-0.544300,0.000000,-16.770475
-3.054326,1.3000,-16.918000,1.831000,-0.503000,-0.089350,-7.381000,-0.544300,0.000000,-18.712802
-3.054326,1.6000,-15.671000,1.710000,-0.402200,-0.075060,-7.381000,-0.544300,0.000000,-15.303703
-3.054326,2.0000,-12.695000,1.436000,-0.304800,-0.062170,-7.381000,-0.544300,0.000000,-11.287269
-3.054326,2.5000,-10.160000,1.196000,-0.233100,-0.051370,-7.381000,-0.544300,0.000000,-8.158919
-3.054326,3.0000,-8.414000,1.027000,-0.186600,-0.043350,-7.381000,-0.544300,0.000000,-5.975950
-2.967060,0.3000,-12.179000,0.748000,-7.226700,-0.052820,-6.742000,-0.912900,-3.182781,0.000000
-2.967060,0.5000,-12.407000,0.781000,-7.417100,-0.056340,-6.910000,-0.935600,-3.539160,0.000000
-2.967060,0.7000,-12.831000,0.839000,-7.716700,-0.064000,-7.195000,-0.974200,-3.995235,0.000000
-2.967060,0.9000,-12.601000,0.807000,-7.494900,-0.086300,-7.051000,-0.954800,-3.850849,0.000000
-2.967060,1.1000,-14.603000,2.805000,-0.679800,-0.102800,-7.051000,-0.954800,0.000000,-12.650908
-2.967060,1.3000,-15.257000,2.884000,-0.791400,-0.089350,-7.051000,-0.954800,0.000000,-15.189111
-2.967060,1.6000,-14.323000,2.701000,-0.599200,-0.075060,-7.051000,-0.954800,0.000000,-11.619584
-2.967060,2.0000,-11.723000,2.246000,-0.435600,-0.062170,-7.051000,-0.954800,0.000000,-7.414074
-2.967060,2.5000,-9.485000,1.846000,-0.322400,-0.051370,-7.051000,-0.954800,0.000000,-3.810742
-2.967060,3.0000,-7.957000,1.567000,-0.249200,-0.043350,-7.051000,-0.954800,0.000000,-1.222119
