alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-3.141593,0.0000,-0.000000,0.000000,-0.000000,-0.072240,0.000000,0.000000,0.000000,0.000000
-3.141593,0.2000,-0.000000,0.000000,-0.000000,-0.072240,0.000000,0.000000,0.000000,0.000000
-3.141593,0.4000,-0.000000,0.000000,-0.000000,-0.076480,0.000000,0.000000,0.000000,0.000000
-3.141593,0.6000,-0.000000,0.000000,-0.000000,-0.083130,0.000000,0.000000,0.000000,0.000000
-3.141593,0.8000,-0.000000,0.000000,-0.000000,-0.096640,0.000000,0.000000,0.000000,0.000000
-3.141593,0.9500,-0.000000,0.000000,-0.000000,-0.119000,0.000000,0.000000,0.000000,0.000000
-3.141593,1.0500,-90.025000,0.211000,-0.573700,-0.193200,0.000000,0.000000,0.000000,-80.385979
-3.141593,1.2000,-82.107000,0.173000,-0.537900,-0.147900,0.000000,0.000000,0.000000,-73.338598
-3.141593,1.4000,-80.148000,0.173000,-0.534500,-0.112300,0.000000,0.000000,0.000000,-71.447837
-3.141593,1.8000,-75.282000,0.196000,-0.508700,-0.095600,0.000000,0.000000,0.000000,-65.030710
-3.141593,2.2000,-67.178000,0.193000,-0.456600,-0.082720,0.000000,0.000000,0.000000,-57.467667
-3.141593,2.6000,-57.755000,0.190000,-0.393400,-0.070060,0.000000,0.000000,0.000000,-49.239993
-3.141593,3.0000,-50.232000,0.186000,-0.342500,-0.060210,0.000000,0.000000,0.000000,-42.885891
-3.141593,3.5000,-43.504000,0.190000,-0.296800,-0.051540,0.000000,0.000000,0.000000,-37.408414
-3.141593,4.0000,-38.184000,0.193000,-0.260700,-0.044880,0.000000,0.000000,0.000000,-33.300307
-3.141593,4.5000,-33.996000,0.194000,-0.232200,-0.039760,0.000000,0.000000,0.000000,-29.948504
-3.141593,5.0000,-30.704000,0.193000,-0.209800,-0.035760,0.000000,0.000000,0.000000,-27.083715
-3.054326,0.0000,-0.000000,0.000000,-30.781000,-0.072240,-11.260000,0.000000,0.000000,0.000000
-3.054326,0.2000,-0.000000,0.000000,-30.715200,-0.072240,-11.290000,0.000000,0.000000,0.000000
-3.054326,0.4000,-0.000000,0.000000,-30.978400,-0.076480,-11.430000,0.000000,0.000000,0.000000
-3.054326,0.6000,-0.000000,0.000000,-31.398800,-0.083130,-11.700000,0.000000,0.000000,0.000000
-3.054326,0.8000,-0.000000,0.000000,-30.610200,-0.096640,-11.600000,0.000000,0.000000,0.000000
-3.054326,0.9500,-0.000000,0.000000,-28.048500,-0.119000,-10.800000,0.000000,0.000000,0.000000
-3.054326,1.0500,-83.182000,7.406000,-1.213300,-0.193200,-10.800000,0.000000,0.000000,-68.926823
-3.054326,1.2000,-75.851000,6.734000,-1.147300,-0.147900,-10.800000,0.000000,0.000000,-63.254541
-3.054326,1.4000,-74.022000,6.571000,-1.146700,-0.112300,-10.800000,0.000000,0.000000,-62.280512
-3.054326,1.8000,-69.706000,6.202000,-1.022900,-0.095600,-10.800000,0.000000,0.000000,-56.430613
-3.054326,2.2000,-62.282000,5.551000,-0.893400,-0.082720,-10.800000,0.000000,0.000000,-49.091024
