alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-3.141593,0.0000,-0.000000,0.000000,-0.000000,-0.083590,0.000000,0.000000,0.000000,0.000000
-3.141593,0.2000,-0.000000,0.000000,-0.000000,-0.083590,0.000000,0.000000,0.000000,0.000000
-3.141593,0.4000,-0.000000,0.000000,-0.000000,-0.087840,0.000000,0.000000,0.000000,0.000000
-3.141593,0.6000,-0.000000,0.000000,-0.000000,-0.094490,0.000000,0.000000,0.000000,0.000000
-3.141593,0.8000,-0.000000,0.000000,-0.000000,-0.108000,0.000000,0.000000,0.000000,0.000000
-3.141593,0.9500,-0.000000,0.000000,-0.000000,-0.130400,0.000000,0.000000,0.000000,0.000000
-3.141593,1.0500,-90.025000,0.236000,-0.573700,-0.211100,0.000000,0.000000,0.000000,-80.385979
-3.141593,1.2000,-82.107000,0.246000,-0.537900,-0.167000,0.000000,0.000000,0.000000,-73.224006
-3.141593,1.4000,-80.148000,0.246000,-0.534500,-0.133500,0.000000,0.000000,0.000000,-71.390541
-3.141593,1.8000,-75.282000,0.258000,-0.508700,-0.120000,0.000000,0.000000,0.000000,-64.973414
-3.141593,2.2000,-67.178000,0.249000,-0.456600,-0.109600,0.000000,0.000000,0.000000,-57.410371
-3.141593,2.6000,-57.755000,0.235000,-0.393400,-0.099080,0.000000,0.000000,0.000000,-49.199886
-3.141593,3.0000,-50.232000,0.221000,-0.342500,-0.088170,0.000000,0.000000,0.000000,-42.862973
-3.141593,3.5000,-43.504000,0.212000,-0.296800,-0.077670,0.000000,0.000000,0.000000,-37.402685
-3.141593,4.0000,-38.184000,0.205000,-0.260700,-0.069140,0.000000,0.000000,0.000000,-33.311766
-3.141593,4.5000,-33.996000,0.198000,-0.232200,-0.062240,0.000000,0.000000,0.000000,-29.977152
-3.141593,5.0000,-30.704000,0.194000,-0.209800,-0.056660,0.000000,0.000000,0.000000,-27.118092
-3.054326,0.0000,-0.000000,0.000000,-30.779800,-0.083590,-11.260000,0.000000,0.000000,0.000000
-3.054326,0.2000,-0.000000,0.000000,-30.714000,-0.083590,-11.290000,0.000000,0.000000,0.000000
-3.054326,0.4000,-0.000000,0.000000,-30.977200,-0.087840,-11.430000,0.000000,0.000000,0.000000
-3.054326,0.6000,-0.000000,0.000000,-31.397600,-0.094490,-11.700000,0.000000,0.000000,0.000000
-3.054326,0.8000,-0.000000,0.000000,-30.609100,-0.108000,-11.600000,0.000000,0.000000,0.000000
-3.054326,0.9500,-0.000000,0.000000,-28.047300,-0.130400,-10.800000,0.000000,0.000000,0.000000
-3.054326,1.0500,-83.180000,7.431000,-1.211300,-0.211100,-10.800000,0.000000,0.000000,-68.926823
-3.054326,1.2000,-75.850000,6.807000,-1.145400,-0.167000,-10.800000,0.000000,0.000000,-63.197245
-3.054326,1.4000,-74.021000,6.644000,-1.144700,-0.133500,-10.800000,0.000000,0.000000,-62.223217
-3.054326,1.8000,-69.706000,6.264000,-1.020700,-0.120000,-10.800000,0.000000,0.000000,-56.367588
-3.054326,2.2000,-62.283000,5.606000,-0.891200,-0.109600,-10.800000,0.000000,0.000000,-49.022269
-3.054326,2.6000,-53.608000,4.843000,-0.753600,-0.099080,-10.800000,0.000000,0.000000,-40.840432
-3.054326,3.0000,-46.675000,4.231000,-0.647100,-0.088170,-10.800000,0.000000,0.000000,-34.285794
-3.054326,3.5000,-40.472000,3.686000,-0.553500,-0.077670,-10.800000,0.000000,0.000000,-28.258278
-3.054326,4.0000,-35.564000,3.256000,-0.481100,-0.069140,-10.800000,0.000000,0.000000,-23.319382
-3.054326,4.5000,-31.701000,2.916000,-0.425100,-0.062240,-10.800000,0.000000,0.000000,-19.543590
-3.054326,5.0000,-28.668000,2.649000,-0.381500,-0.056660,-10.800000,0.000000,0.000000,-16.764745
-2.967060,0.0000,-60.148000,8.818000,-30.429800,-0.083590,-10.830000,-1.452000,1.099506,0.000000
-2.967060,0.2000,-60.246000,9.063000,-30.370400,-0.083590,-10.860000,-1.452000,1.057680,0.000000
-2.967060,0.4000,-60.835000,9.168000,-30.709800,-0.087840,-11.010000,-1.452000,0.034412,0.000000
-2.967060,0.6000,-61.937000,9.317000,-31.257400,-0.094490,-11.270000,-0.739600,-1.676475,0.000000
-2.967060,0.8000,-61.224000,9.154000,-30.583800,-0.108000,-11.180000,-1.005000,-3.048135,0.000000
-2.967060,0.9500,-57.305000,8.509000,-27.984200,-0.130400,-10.400000,-0.980500,-2.158332,0.000000
-2.967060,1.0500,-76.832000,13.436000,-1.650000,-0.211100,-10.400000,-0.980500,0.000000,-57.467667
-2.967060,1.2000,-70.014000,12.258000,-1.591100,-0.167000,-10.400000,-0.980500,0.000000,-53.010055
-2.967060,1.4000,-68.253000,11.927000,-1.616400,-0.133500,-10.400000,-0.980500,0.000000,-52.884004
-2.967060,1.8000,-64.475000,11.222000,-1.412000,-0.120000,-10.400000,-0.980500,0.000000,-47.160156
-2.967060,2.2000,-57.759000,10.026000,-1.218600,-0.109600,-10.400000,-0.980500,0.000000,-39.356471
-2.967060,2.6000,-49.882000,8.650000,-1.021600,-0.099080,-10.400000,-0.980500,0.000000,-30.498543
-2.967060,3.0000,-43.599000,7.549000,-0.872500,-0.088170,-10.400000,-0.980500,0.000000,-23.548565
-2.967060,3.5000,-38.010000,6.564000,-0.744700,-0.077670,-10.400000,-0.980500,0.000000,-18.111196
-2.967060,4.0000,-33.620000,5.786000,-0.647400,-0.069140,-10.400000,-0.980500,0.000000,-14.215083
-2.967060,4.5000,-30.144000,5.170000,-0.573200,-0.062240,-10.400000,-0.980500,0.000000,-11.539370
-2.967060,5.0000,-27.381000,4.686000,-0.515100,-0.056660,-10.400000,-0.980500,0.000000,-9.591313
-2.879793,0.0000,-55.967000,12.593000,-30.587900,-0.083590,-10.250000,-2.075000,-4.033050,-35.918724
-2.879793,0.2000,-56.002000,12.828000,-30.529400,-0.083590,-10.280000,-2.075000,-3.971170,-36.388550
-2.879793,0.4000,-56.460000,12.925000,-30.971200,-0.087840,-10.430000,-2.075000,-5.280952,-37.803755
-2.879793,0.6000,-57.347000,13.069000,-31.690300,-0.094490,-10.690000,-1.656000,-7.505747,-40.129964
-2.879793,0.8000,-56.625000,12.806000,-31.141000,-0.108000,-10.620000,-1.821000,-9.018356,-40.416443
-2.879793,0.9500,-53.151000,11.971000,-28.424000,-0.130400,-9.870000,-1.731000,-7.242187,-35.935913
-2.879793,1.0500,-71.133000,18.457000,-1.872500,-0.211100,-9.870000,-1.731000,0.000000,-45.916838
-2.879793,1.2000,-64.771000,16.760000,-1.854100,-0.167000,-9.870000,-1.731000,0.000000,-42.444713
-2.879793,1.4000,-63.037000,16.227000,-1.932700,-0.133500,-9.870000,-1.731000,0.000000,-42.799947
