delta_rad,mach,dCM_sym,dCL_sym,Cl_roll
-0.349066,0.0000,0.480800,-1.319000,-1.120300
-0.349066,0.2000,0.535200,-1.495000,-1.134000
-0.349066,0.4000,0.507700,-1.455000,-1.137400
-0.349066,0.6000,0.431000,-1.314000,-1.136700
-0.349066,0.8000,0.397500,-1.279000,-1.118600
-0.349066,0.9500,0.345500,-1.195000,-1.074200
-0.349066,1.0500,0.000000,0.000000,-23.082000
-0.349066,1.2000,0.000000,0.000000,-7.484300
-0.349066,1.4000,9.068100,-2.363000,-3.422900
-0.349066,1.8000,6.140100,-1.599000,-1.449100
-0.349066,2.2000,4.723600,-1.230000,-0.837160
-0.349066,2.6000,3.859200,-1.005000,-0.553440
-0.349066,3.0000,3.267700,-0.851000,-0.395390
-0.349066,3.5000,2.742900,-0.714000,-0.278560
-0.349066,4.0000,2.361600,-0.615000,-0.207040
-0.349066,4.5000,2.070900,-0.539000,-0.159890
-0.349066,5.0000,1.841600,-0.479000,-0.127100
-0.174533,0.0000,0.303500,-0.825000,-0.700450
-0.174533,0.2000,0.337400,-0.934000,-0.709050
-0.174533,0.4000,0.320000,-0.910000,-0.711130
-0.174533,0.6000,0.271500,-0.822000,-0.710740
-0.174533,0.8000,0.249300,-0.800000,-0.699390
-0.174533,0.9500,0.215300,-0.747000,-0.671650
-0.174533,1.0500,0.000000,0.000000,-11.541000
-0.174533,1.2000,0.000000,0.000000,-3.742200
-0.174533,1.4000,4.534100,-1.181000,-1.711400
-0.174533,1.8000,3.070100,-0.800000,-0.724530
-0.174533,2.2000,2.361800,-0.615000,-0.418580
-0.174533,2.6000,1.929600,-0.502000,-0.276720
-0.174533,3.0000,1.633800,-0.425000,-0.197700
-0.174533,3.5000,1.371400,-0.357000,-0.139280
-0.174533,4.0000,1.180800,-0.307000,-0.103520
-0.174533,4.5000,1.035500,-0.270000,-0.079943
-0.174533,5.0000,0.920800,-0.240000,-0.063552
0.000000,0.0000,-0.000300,0.001000,0.000000
0.000000,0.2000,-0.000300,0.001000,0.000000
0.000000,0.4000,-0.000300,0.001000,0.000000
0.000000,0.6000,-0.000300,0.001000,0.000000
0.000000,0.8000,-0.000200,0.001000,0.000000
0.000000,0.9500,-0.000200,0.001000,0.000000
0.000000,1.0500,0.000000,0.000000,0.000000
0.000000,1.2000,0.000000,0.000000,0.000000
0.000000,1.4000,-0.004500,0.001000,0.000000
0.000000,1.8000,-0.003100,0.001000,0.000000
0.000000,2.2000,-0.002400,0.001000,0.000000
0.000000,2.6000,-0.001900,0.001000,0.000000
0.000000,3.0000,-0.001600,0.000000,0.000000
0.000000,3.5000,-0.001400,0.000000,0.000000
0.000000,4.0000,-0.001200,0.000000,0.000000
0.000000,4.5000,-0.001000,0.000000,0.000000
0.000000,5.0000,-0.000900,0.000000,0.000000
0.174533,0.0000,-0.303500,0.825000,0.700450
0.174533,0.2000,-0.337400,0.934000,0.709050
0.174533,0.4000,-0.320000,0.910000,0.711130
0.174533,0.6000,-0.271500,0.822000,0.710740
0.174533,0.8000,-0.249300,0.800000,0.699390
0.174533,0.9500,-0.215300,0.747000,0.671650
0.174533,1.0500,0.000000,0.000000,11.541000
0.174533,1.2000,0.000000,0.000000,3.742200
0.174533,1.4000,-4.534100,1.181000,1.711400
0.174533,1.8000,-3.070100,0.800000,0.724530
0.174533,2.2000,-2.361800,0.615000,0.418580
0.174533,2.6000,-1.929600,0.502000,0.276720
0.174533,3.0000,-1.633800,0.425000,0.197700
0.174533,3.5000,-1.371400,0.357000,0.139280
0.174533,4.0000,-1.180800,0.307000,0.103520
0.174533,4.5000,-1.035500,0.270000,0.079943
0.174533,5.0000,-0.920800,0.240000,0.063552
0.349066,0.0000,-0.499900,1.319000,1.120300
0.349066,0.2000,-0.554200,1.495000,1.134000
0.349066,0.4000,-0.526500,1.455000,1.137400
0.349066,0.6000,-0.448900,1.314000,1.136700
0.349066,0.8000,-0.413600,1.279000,1.118600
0.349066,0.9500,-0.359200,1.195000,1.074200
0.349066,1.0500,0.000000,0.000000,23.082000
0.349066,1.2000,0.000000,0.000000,7.484300
0.349066,1.4000,-9.068100,2.363000,3.422900
0.349066,1.8000,-6.140100,1.599000,1.449100
0.349066,2.2000,-4.723600,1.230000,0.837160
0.349066,2.6000,-3.859200,1.005000,0.553440
0.349066,3.0000,-3.267700,0.851000,0.395390
0.349066,3.5000,-2.742900,0.714000,0.278560
0.349066,4.0000,-2.361600,0.615000,0.207040
0.349066,4.5000,-2.070900,0.539000,0.159890
0.349066,5.0000,-1.841600,0.479000,0.127100
