delta_rad,mach,dCM_sym,dCL_sym,Cl_roll
-0.350000,0.0000,0.000000,0.000000,0.000000
-0.350000,0.2000,0.000000,0.000000,0.000000
-0.350000,0.4000,0.000000,0.000000,0.000000
-0.350000,0.6000,0.000000,0.000000,0.000000
-0.350000,0.8000,0.000000,0.000000,0.000000
-0.350000,0.9500,0.000000,0.000000,0.000000
-0.350000,1.0500,0.000000,0.000000,0.000000
-0.350000,1.2000,0.000000,0.000000,0.000000
-0.350000,1.4000,0.000000,0.000000,0.000000
-0.350000,1.8000,0.000000,0.000000,0.000000
-0.350000,2.2000,0.000000,0.000000,0.000000
-0.350000,2.6000,0.000000,0.000000,0.000000
-0.350000,3.0000,0.000000,0.000000,0.000000
-0.350000,3.5000,0.000000,0.000000,0.000000
-0.350000,4.0000,0.000000,0.000000,0.000000
-0.350000,4.5000,0.000000,0.000000,0.000000
-0.350000,5.0000,0.000000,0.000000,0.000000
0.000000,0.0000,0.000000,0.000000,0.000000
0.000000,0.2000,0.000000,0.000000,0.000000
0.000000,0.4000,0.000000,0.000000,0.000000
0.000000,0.6000,0.000000,0.000000,0.000000
0.000000,0.8000,0.000000,0.000000,0.000000
0.000000,0.9500,0.000000,0.000000,0.000000
0.000000,1.0500,0.000000,0.000000,0.000000
0.000000,1.2000,0.000000,0.000000,0.000000
0.000000,1.4000,0.000000,0.000000,0.000000
0.000000,1.8000,0.000000,0.000000,0.000000
0.000000,2.2000,0.000000,0.000000,0.000000
0.000000,2.6000,0.000000,0.000000,0.000000
0.000000,3.0000,0.000000,0.000000,0.000000
0.000000,3.5000,0.000000,0.000000,0.000000
0.000000,4.0000,0.000000,0.000000,0.000000
0.000000,4.5000,0.000000,0.000000,0.000000
0.000000,5.0000,0.000000,0.000000,0.000000
0.350000,0.0000,0.000000,0.000000,0.000000
0.350000,0.2000,0.000000,0.000000,0.000000
0.350000,0.4000,0.000000,0.000000,0.000000
0.350000,0.6000,0.000000,0.000000,0.000000
0.350000,0.8000,0.000000,0.000000,0.000000
0.350000,0.9500,0.000000,0.000000,0.000000
0.350000,1.0500,0.000000,0.000000,0.000000
0.350000,1.2000,0.000000,0.000000,0.000000
0.350000,1.4000,0.000000,0.000000,0.000000
0.350000,1.8000,0.000000,0.000000,0.000000
0.350000,2.2000,0.000000,0.000000,0.000000
0.350000,2.6000,0.000000,0.000000,0.000000
0.350000,3.0000,0.000000,0.000000,0.000000
0.350000,3.5000,0.000000,0.000000,0.000000
0.350000,4.0000,0.000000,0.000000,0.000000
0.350000,4.5000,0.000000,0.000000,0.000000
0.350000,5.0000,0.000000,0.000000,0.000000
