alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-3.141593,0.3000,-0.000000,0.000000,-0.000000,-0.071390,-8.161000,-0.219400,0.000000,0.000000
-3.141593,0.5000,-0.000000,0.000000,-0.000000,-0.075760,-8.359000,-0.224700,0.000000,0.000000
-3.141593,0.7000,-0.000000,0.000000,-0.000000,-0.084800,-8.694000,-0.233800,0.000000,0.000000
-3.141593,0.9000,-0.000000,0.000000,-0.000000,-0.107400,-8.355000,-0.224600,0.000000,0.000000
-3.141593,1.1000,-58.452000,0.279000,-0.387900,-0.146700,-8.355000,-0.224600,0.000000,-55.548258
-3.141593,1.3000,-54.430000,0.283000,-0.369200,-0.117100,-8.355000,-0.224600,0.000000,-51.652145
-3.141593,1.6000,-50.775000,0.290000,-0.348100,-0.102200,-8.355000,-0.224600,0.000000,-46.231964
-3.141593,2.0000,-43.164000,0.276000,-0.297500,-0.088070,-8.355000,-0.224600,0.000000,-38.651733
-3.141593,2.5000,-34.261000,0.255000,-0.236600,-0.073910,-8.355000,-0.224600,0.000000,-30.492814
-3.141593,3.0000,-28.598000,0.235000,-0.197600,-0.064290,-8.355000,-0.224600,0.000000,-25.553918
-3.054326,0.3000,-0.000000,0.000000,-19.859700,-0.071390,-7.935000,-0.526900,0.000000,0.000000
-3.054326,0.5000,-0.000000,0.000000,-20.251000,-0.075760,-8.128000,-0.539700,0.000000,0.000000
-3.054326,0.7000,-0.000000,0.000000,-20.912500,-0.084800,-8.454000,-0.561400,0.000000,0.000000
-3.054326,0.9000,-0.000000,0.000000,-19.897300,-0.107400,-8.124000,-0.539500,0.000000,0.000000
-3.054326,1.1000,-53.710000,4.913000,-0.939300,-0.146700,-8.124000,-0.539500,0.000000,-48.008134
-3.054326,1.3000,-49.992000,4.589000,-0.904200,-0.117100,-8.124000,-0.539500,0.000000,-45.246477
-3.054326,1.6000,-46.821000,4.309000,-0.780100,-0.102200,-8.124000,-0.539500,0.000000,-39.866403
-3.054326,2.0000,-39.888000,3.692000,-0.640700,-0.088070,-8.124000,-0.539500,0.000000,-32.544003
-3.054326,2.5000,-31.724000,2.969000,-0.495100,-0.073910,-8.124000,-0.539500,0.000000,-24.471027
-3.054326,3.0000,-26.526000,2.502000,-0.405600,-0.064290,-8.124000,-0.539500,0.000000,-19.262841
-2.967060,0.3000,-38.621000,5.173000,-20.034000,-0.071390,-7.594000,-0.948400,-4.315518,0.000000
-2.967060,0.5000,-39.430000,5.307000,-20.475700,-0.075760,-7.778000,-0.971400,-5.021975,0.000000
-2.967060,0.7000,-40.844000,5.527000,-21.206700,-0.084800,-8.091000,-1.010000,-6.016057,0.000000
-2.967060,0.9000,-39.358000,5.298000,-20.159500,-0.107400,-7.775000,-0.971000,-5.450548,0.000000
-2.967060,1.1000,-49.314000,8.688000,-1.357100,-0.146700,-7.775000,-0.971000,0.000000,-40.324770
-2.967060,1.3000,-45.830000,8.055000,-1.336400,-0.117100,-7.775000,-0.971000,0.000000,-38.611626
-2.967060,1.6000,-43.160000,7.563000,-1.110900,-0.102200,-7.775000,-0.971000,0.000000,-33.157068
-2.967060,2.0000,-36.923000,6.462000,-0.895300,-0.088070,-7.775000,-0.971000,0.000000,-25.685698
-2.967060,2.5000,-29.540000,5.176000,-0.681200,-0.073910,-7.775000,-0.971000,0.000000,-16.993928
-2.967060,3.0000,-24.858000,4.350000,-0.551700,-0.064290,-7.775000,-0.971000,0.000000,-11.235702
-2.879793,0.3000,-35.632000,7.175000,-20.612900,-0.071390,-7.148000,-1.473000,-8.565719,-27.501974
-2.879793,0.5000,-36.311000,7.319000,-21.127500,-0.075760,-7.322000,-1.509000,-9.545477,-28.882802
-2.879793,0.7000,-37.521000,7.571000,-21.962400,-0.084800,-7.616000,-1.569000,-10.954953,-30.991287
-2.879793,0.9000,-36.224000,7.288000,-20.848600,-0.107400,-7.318000,-1.508000,-9.992384,-29.003124
-2.879793,1.1000,-45.406000,11.733000,-1.613400,-0.146700,-7.318000,-1.508000,0.000000,-32.280442
-2.879793,1.3000,-42.107000,10.781000,-1.635600,-0.117100,-7.318000,-1.508000,0.000000,-31.249118
-2.879793,1.6000,-39.966000,10.153000,-1.323500,-0.102200,-7.318000,-1.508000,0.000000,-25.238791
-2.879793,2.0000,-34.507000,8.671000,-1.052600,-0.088070,-7.318000,-1.508000,0.000000,-16.650154
-2.879793,2.5000,-28.057000,6.941000,-0.792100,-0.073910,-7.318000,-1.508000,0.000000,-8.422480
-2.879793,3.0000,-23.991000,5.826000,-0.638000,-0.064290,-7.318000,-1.508000,0.000000,-4.710859
-2.792527,0.3000,-33.064000,8.954000,-21.529000,-0.071390,-6.611000,-2.086000,-12.129517,-21.823962
-2.792527,0.5000,-33.631000,9.090000,-22.141500,-0.075760,-6.771000,-2.137000,-13.412942,-23.015715
-2.792527,0.7000,-34.668000,9.348000,-23.118800,-0.084800,-7.043000,-2.223000,-15.653207,-25.061174
-2.792527,0.9000,-33.549000,9.041000,-21.903300,-0.107400,-6.768000,-2.136000,-14.535939,-23.044363
-2.792527,1.1000,-42.126000,14.190000,-1.705600,-0.146700,-6.768000,-2.136000,0.000000,-23.794937
-2.792527,1.3000,-39.026000,12.883000,-1.790500,-0.117100,-6.768000,-2.136000,0.000000,-22.883934
-2.792527,1.6000,-37.507000,12.184000,-1.415400,-0.102200,-6.768000,-2.136000,0.000000,-15.790717
-2.792527,2.0000,-33.010000,10.405000,-1.112200,-0.088070,-6.768000,-2.136000,0.000000,-8.342265
-2.792527,2.5000,-27.321000,8.322000,-0.829900,-0.073910,-6.768000,-2.136000,0.000000,-3.993516
-2.792527,3.0000,-23.438000,6.985000,-0.662500,-0.064290,-6.768000,-2.136000,0.000000,-3.046990
-2.705260,0.3000,-30.848000,10.667000,-22.729700,-0.071390,-5.998000,-2.772000,-18.340379,-18.729990
-2.705260,0.5000,-31.324000,10.793000,-23.468500,-0.075760,-6.143000,-2.839000,-23.502729,-21.640616
-2.705260,0.7000,-32.189000,11.014000,-24.694200,-0.084800,-6.390000,-2.953000,-27.416030,-23.628779
-2.705260,0.9000,-31.262000,10.697000,-23.385300,-0.107400,-6.140000,-2.838000,-20.849934,-18.105466
-2.705260,1.1000,-39.613000,16.188000,-1.651200,-0.146700,-6.140000,-2.838000,0.000000,-15.217759
-2.705260,1.3000,-36.795000,14.484000,-1.806500,-0.117100,-6.140000,-2.838000,0.000000,-13.848390
-2.705260,1.6000,-36.039000,13.756000,-1.398200,-0.102200,-6.140000,-2.838000,0.000000,-7.838063
-2.705260,2.0000,-32.169000,11.745000,-1.084700,-0.088070,-6.140000,-2.838000,0.000000,-5.253450
-2.705260,2.5000,-26.730000,9.404000,-0.794300,-0.073910,-6.140000,-2.838000,0.000000,-3.927053
-2.705260,3.0000,-22.939000,7.950000,-0.608600,-0.064290,-6.140000,-2.838000,0.000000,-1.854091
