delta_rad,mach,dCM_sym,dCL_sym,Cl_roll
-0.261799,0.3000,0.339400,-0.916000,-0.826020
-0.261799,0.5000,0.321200,-0.870000,-0.771970
-0.261799,0.7000,0.273900,-0.755000,-0.742570
-0.261799,0.9000,0.297400,-0.804000,-0.724900
-0.261799,1.1000,0.000000,0.000000,-13.395000
-0.261799,1.3000,6.097100,-1.415000,-2.736700
-0.261799,1.6000,4.102400,-0.956000,-1.128200
-0.261799,2.0000,2.958200,-0.690000,-0.568600
-0.261799,2.5000,2.226300,-0.520000,-0.318510
-0.261799,3.0000,1.792600,-0.419000,-0.206170
-0.122173,0.3000,0.166200,-0.438000,-0.394990
-0.122173,0.5000,0.157500,-0.416000,-0.369150
-0.122173,0.7000,0.134800,-0.361000,-0.355090
-0.122173,0.9000,0.145800,-0.384000,-0.346640
-0.122173,1.1000,0.000000,0.000000,-6.250800
-0.122173,1.3000,2.845300,-0.660000,-1.277100
-0.122173,1.6000,1.914400,-0.446000,-0.526480
-0.122173,2.0000,1.380500,-0.322000,-0.265350
-0.122173,2.5000,1.038900,-0.243000,-0.148640
-0.122173,3.0000,0.836600,-0.195000,-0.096212
0.000000,0.3000,-0.000200,0.001000,0.000000
0.000000,0.5000,-0.000200,0.001000,0.000000
0.000000,0.7000,-0.000200,0.001000,0.000000
0.000000,0.9000,-0.000200,0.001000,0.000000
0.000000,1.1000,0.000000,0.000000,0.000000
0.000000,1.3000,-0.004100,0.001000,0.000000
0.000000,1.6000,-0.002700,0.001000,0.000000
0.000000,2.0000,-0.002000,0.000000,0.000000
0.000000,2.5000,-0.001500,0.000000,0.000000
0.000000,3.0000,-0.001200,0.000000,0.000000
0.122173,0.3000,-0.166200,0.438000,0.394990
0.122173,0.5000,-0.157500,0.416000,0.369150
0.122173,0.7000,-0.134800,0.361000,0.355090
0.122173,0.9000,-0.145800,0.384000,0.346640
0.122173,1.1000,0.000000,0.000000,6.250800
0.122173,1.3000,-2.845300,0.660000,1.277100
0.122173,1.6000,-1.914400,0.446000,0.526480
0.122173,2.0000,-1.380500,0.322000,0.265350
0.122173,2.5000,-1.038900,0.243000,0.148640
0.122173,3.0000,-0.836600,0.195000,0.096212
0.261799,0.3000,-0.349100,0.916000,0.826020
0.261799,0.5000,-0.330900,0.870000,0.771970
0.261799,0.7000,-0.283500,0.755000,0.742570
0.261799,0.9000,-0.306500,0.804000,0.724900
0.261799,1.1000,0.000000,0.000000,13.395000
0.261799,1.3000,-6.097100,1.415000,2.736700
0.261799,1.6000,-4.102400,0.956000,1.128200
0.261799,2.0000,-2.958200,0.690000,0.568600
0.261799,2.5000,-2.226300,0.520000,0.318510
0.261799,3.0000,-1.792600,0.419000,0.206170
