time_s,mass_kg,ixx,iyy,izz,xcg_m
0.000,85.000,1.7548,479.728,479.728,5.0658
0.250,83.793,1.7299,472.918,472.918,5.0229
0.500,82.524,1.7037,465.754,465.754,4.9779
0.750,81.260,1.6776,458.622,458.622,4.9330
1.000,80.003,1.6517,451.524,451.524,4.8884
1.250,78.751,1.6258,444.457,444.457,4.8439
1.500,77.504,1.6001,437.424,437.424,4.7997
1.750,76.264,1.5745,430.423,430.423,4.7556
2.000,75.029,1.5490,423.454,423.454,4.7118
2.250,73.800,1.5236,416.518,416.518,4.6682
2.500,72.577,1.4984,409.615,409.615,4.6248
2.750,71.360,1.4732,402.744,402.744,4.5815
3.000,70.148,1.4482,395.905,395.905,4.5385
3.250,68.942,1.4233,389.100,389.100,4.4957
3.500,67.742,1.3985,382.326,382.326,4.4531
3.750,66.548,1.3739,375.586,375.586,4.4107
4.000,65.359,1.3493,368.878,368.878,4.3685
4.250,64.176,1.3249,362.202,362.202,4.3265
4.500,62.999,1.3006,355.559,355.559,4.2847
4.750,61.828,1.2764,348.948,348.948,4.2432
5.000,60.663,1.2524,342.371,342.371,4.2018
5.250,59.791,1.2344,337.451,337.451,4.1708
5.500,59.500,1.2284,335.810,335.810,4.1605
6.000,59.500,1.2284,335.810,335.810,4.1605
