delta_rad,mach,dCM_sym,dCL_sym,Cl_roll
-0.261799,0.3000,0.166800,-0.396000,-0.634360
-0.261799,0.5000,0.158200,-0.376000,-0.593230
-0.261799,0.7000,0.138500,-0.327000,-0.557710
-0.261799,0.9000,0.158400,-0.355000,-0.554780
-0.261799,1.1000,0.000000,0.000000,1.073500
-0.261799,1.3000,3.230800,-0.821000,-2.414600
-0.261799,1.6000,1.988700,-0.513000,-0.813460
-0.261799,2.0000,1.392000,-0.360000,-0.389740
-0.261799,2.5000,1.033700,-0.268000,-0.213900
-0.261799,3.0000,0.827300,-0.215000,-0.137250
-0.122173,0.3000,0.083200,-0.189000,-0.303310
-0.122173,0.5000,0.079000,-0.180000,-0.283650
-0.122173,0.7000,0.069600,-0.156000,-0.266660
-0.122173,0.9000,0.079100,-0.170000,-0.265260
-0.122173,1.1000,0.000000,0.000000,0.500980
-0.122173,1.3000,1.507700,-0.383000,-1.126800
-0.122173,1.6000,0.928100,-0.239000,-0.379620
-0.122173,2.0000,0.649600,-0.168000,-0.181880
-0.122173,2.5000,0.482400,-0.125000,-0.099822
-0.122173,3.0000,0.386100,-0.100000,-0.064048
0.000000,0.3000,-0.000100,0.000000,0.000000
0.000000,0.5000,-0.000100,0.000000,0.000000
0.000000,0.7000,-0.000100,0.000000,0.000000
0.000000,0.9000,-0.000100,0.000000,0.000000
0.000000,1.1000,0.000000,0.000000,-0.000000
0.000000,1.3000,-0.002200,0.001000,0.000000
0.000000,1.6000,-0.001300,0.000000,0.000000
0.000000,2.0000,-0.000900,0.000000,0.000000
0.000000,2.5000,-0.000700,0.000000,0.000000
0.000000,3.0000,-0.000600,0.000000,0.000000
0.122173,0.3000,-0.083200,0.189000,0.303310
0.122173,0.5000,-0.079000,0.180000,0.283650
0.122173,0.7000,-0.069600,0.156000,0.266660
0.122173,0.9000,-0.079100,0.170000,0.265260
0.122173,1.1000,0.000000,0.000000,-0.500980
0.122173,1.3000,-1.507700,0.383000,1.126800
0.122173,1.6000,-0.928100,0.239000,0.379620
0.122173,2.0000,-0.649600,0.168000,0.181880
0.122173,2.5000,-0.482400,0.125000,0.099822
0.122173,3.0000,-0.386100,0.100000,0.064048
0.261799,0.3000,-0.174100,0.396000,0.634360
0.261799,0.5000,-0.165400,0.376000,0.593230
0.261799,0.7000,-0.145800,0.327000,0.557710
0.261799,0.9000,-0.165700,0.355000,0.554780
0.261799,1.1000,0.000000,0.000000,-1.073500
0.261799,1.3000,-3.230800,0.821000,2.414600
0.261799,1.6000,-1.988700,0.513000,0.813460
0.261799,2.0000,-1.392000,0.360000,0.389740
0.261799,2.5000,-1.033700,0.268000,0.213900
0.261799,3.0000,-0.827300,0.215000,0.137250
