alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-3.141593,0.3000,-0.000000,0.000000,-0.000000,-0.067420,-5.569000,-0.157300,0.000000,0.000000
-3.141593,0.5000,-0.000000,0.000000,-0.000000,-0.071760,-5.706000,-0.161100,0.000000,0.000000
-3.141593,0.7000,-0.000000,0.000000,-0.000000,-0.080790,-5.938000,-0.167700,0.000000,0.000000
-3.141593,0.9000,-0.000000,0.000000,-0.000000,-0.103600,-5.728000,-0.161700,0.000000,0.000000
-3.141593,1.1000,-48.609000,0.243000,-0.337700,-0.138300,-5.728000,-0.161700,0.000000,-47.120049
-3.141593,1.3000,-45.945000,0.247000,-0.326100,-0.110300,-5.728000,-0.161700,0.000000,-44.472984
-3.141593,1.6000,-42.836000,0.253000,-0.307300,-0.094720,-5.728000,-0.161700,0.000000,-39.614302
-3.141593,2.0000,-36.332000,0.241000,-0.262100,-0.080170,-5.728000,-0.161700,0.000000,-32.973721
-3.141593,2.5000,-28.836000,0.222000,-0.208400,-0.066040,-5.728000,-0.161700,0.000000,-25.989366
-3.141593,3.0000,-24.046000,0.204000,-0.173900,-0.056810,-5.728000,-0.161700,0.000000,-21.743748
-3.054326,0.3000,-0.000000,0.000000,-17.424700,-0.067420,-5.413000,-0.371200,0.000000,0.000000
-3.054326,0.5000,-0.000000,0.000000,-17.785700,-0.071760,-5.546000,-0.380400,0.000000,0.000000
-3.054326,0.7000,-0.000000,0.000000,-18.383400,-0.080790,-5.771000,-0.395800,0.000000,0.000000
-3.054326,0.9000,-0.000000,0.000000,-17.572100,-0.103600,-5.567000,-0.381800,0.000000,0.000000
-3.054326,1.1000,-44.591000,4.090000,-0.844400,-0.138300,-5.567000,-0.381800,0.000000,-40.680003
-3.054326,1.3000,-42.122000,3.873000,-0.826400,-0.110300,-5.567000,-0.381800,0.000000,-39.069992
-3.054326,1.6000,-39.448000,3.637000,-0.706100,-0.094720,-5.567000,-0.381800,0.000000,-34.217040
-3.054326,2.0000,-33.536000,3.111000,-0.575700,-0.080170,-5.567000,-0.381800,0.000000,-27.811371
-3.054326,2.5000,-26.673000,2.502000,-0.443700,-0.066040,-5.567000,-0.381800,0.000000,-20.912960
-3.054326,3.0000,-22.280000,2.107000,-0.362200,-0.056810,-5.567000,-0.381800,0.000000,-16.461077
-2.967060,0.3000,-32.420000,4.257000,-17.616200,-0.067420,-5.178000,-0.662900,-4.203218,0.000000
-2.967060,0.5000,-33.099000,4.368000,-18.024700,-0.071760,-5.305000,-0.679100,-4.867276,0.000000
-2.967060,0.7000,-34.301000,4.551000,-18.683600,-0.080790,-5.520000,-0.706700,-5.741037,0.000000
-2.967060,0.9000,-33.176000,4.378000,-17.844300,-0.103600,-5.325000,-0.681800,-5.259753,0.000000
-2.967060,1.1000,-40.878000,7.212000,-1.219500,-0.138300,-5.325000,-0.681800,0.000000,-34.102448
-2.967060,1.3000,-38.535000,6.775000,-1.224500,-0.110300,-5.325000,-0.681800,0.000000,-33.449276
-2.967060,1.6000,-36.311000,6.365000,-1.003700,-0.094720,-5.325000,-0.681800,0.000000,-28.527569
-2.967060,2.0000,-31.006000,5.430000,-0.800100,-0.080170,-5.325000,-0.681800,0.000000,-22.018768
-2.967060,2.5000,-24.807000,4.351000,-0.604000,-0.066040,-5.325000,-0.681800,0.000000,-14.627613
