alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-3.141593,0.3000,-0.000000,0.000000,-0.000000,-0.053790,-7.745000,-0.229600,0.000000,0.000000
-3.141593,0.5000,-0.000000,0.000000,-0.000000,-0.057410,-7.933000,-0.235200,0.000000,0.000000
-3.141593,0.7000,-0.000000,0.000000,-0.000000,-0.065330,-8.253000,-0.244700,0.000000,0.000000
-3.141593,0.9000,-0.000000,0.000000,-0.000000,-0.088590,-8.100000,-0.240200,0.000000,0.000000
-3.141593,1.1000,-34.937000,0.273000,-0.223300,-0.103800,-8.100000,-0.240200,0.000000,-34.938966
-3.141593,1.3000,-37.284000,0.294000,-0.243900,-0.089810,-8.100000,-0.240200,0.000000,-37.333930
-3.141593,1.6000,-34.204000,0.292000,-0.225800,-0.077000,-8.100000,-0.240200,0.000000,-32.555462
-3.141593,2.0000,-27.614000,0.275000,-0.183000,-0.064130,-8.100000,-0.240200,0.000000,-25.760182
-3.141593,2.5000,-22.023000,0.253000,-0.146300,-0.054150,-8.100000,-0.240200,0.000000,-20.391568
-3.141593,3.0000,-18.165000,0.232000,-0.120800,-0.047040,-8.100000,-0.240200,0.000000,-16.913714
-3.054326,0.3000,-0.000000,0.000000,-11.939800,-0.053790,-7.523000,-0.533100,0.000000,0.000000
-3.054326,0.5000,-0.000000,0.000000,-12.210100,-0.057410,-7.706000,-0.546100,0.000000,0.000000
-3.054326,0.7000,-0.000000,0.000000,-12.655400,-0.065330,-8.017000,-0.568100,0.000000,0.000000
-3.054326,0.9000,-0.000000,0.000000,-12.308400,-0.088590,-7.868000,-0.557500,0.000000,0.000000
-3.054326,1.1000,-31.990000,3.030000,-0.596400,-0.103800,-7.868000,-0.557500,0.000000,-29.318250
-3.054326,1.3000,-34.080000,3.216000,-0.669000,-0.089810,-7.868000,-0.557500,0.000000,-32.647135
-3.054326,1.6000,-31.434000,2.978000,-0.555100,-0.077000,-7.868000,-0.557500,0.000000,-27.713969
-3.054326,2.0000,-25.457000,2.446000,-0.427400,-0.064130,-7.868000,-0.557500,0.000000,-21.016092
-3.054326,2.5000,-20.354000,1.985000,-0.330300,-0.054150,-7.868000,-0.557500,0.000000,-15.658937
-3.054326,3.0000,-16.826000,1.663000,-0.266600,-0.047040,-7.868000,-0.557500,0.000000,-11.934711
-2.967060,0.3000,-24.689000,2.845000,-12.173600,-0.053790,-7.192000,-0.944200,-4.100659,0.000000
-2.967060,0.5000,-25.204000,2.927000,-12.477800,-0.057410,-7.367000,-0.967200,-4.574495,0.000000
-2.967060,0.7000,-26.120000,3.061000,-12.967400,-0.065330,-7.664000,-1.006000,-5.205322,0.000000
-2.967060,0.9000,-25.660000,2.990000,-12.612000,-0.088590,-7.522000,-0.987500,-5.048331,0.000000
-2.967060,1.1000,-29.354000,5.250000,-0.876300,-0.103800,-7.522000,-0.987500,0.000000,-23.617320
-2.967060,1.3000,-31.103000,5.508000,-1.022800,-0.089810,-7.522000,-0.987500,0.000000,-27.708239
