delta_rad,mach,dCM_sym,dCL_sym,Cl_roll
-0.261799,0.3000,0.220200,-0.615000,-0.741510
-0.261799,0.5000,0.209000,-0.584000,-0.694300
-0.261799,0.7000,0.179100,-0.507000,-0.670020
-0.261799,0.9000,0.195700,-0.551000,-0.666870
-0.261799,1.1000,0.000000,0.000000,-1.081900
-0.261799,1.3000,4.547200,-1.190000,-3.373200
-0.261799,1.6000,2.736000,-0.726000,-1.066300
-0.261799,2.0000,1.902400,-0.507000,-0.504440
-0.261799,2.5000,1.408700,-0.376000,-0.275520
-0.261799,3.0000,1.125900,-0.301000,-0.176420
-0.122173,0.3000,0.108700,-0.294000,-0.354540
-0.122173,0.5000,0.103300,-0.279000,-0.331970
-0.122173,0.7000,0.089000,-0.242000,-0.320360
-0.122173,0.9000,0.096800,-0.263000,-0.318850
-0.122173,1.1000,0.000000,0.000000,-0.504890
-0.122173,1.3000,2.122000,-0.555000,-1.574100
-0.122173,1.6000,1.276800,-0.339000,-0.497620
-0.122173,2.0000,0.887800,-0.237000,-0.235410
-0.122173,2.5000,0.657400,-0.175000,-0.128580
-0.122173,3.0000,0.525400,-0.140000,-0.082329
0.000000,0.3000,-0.000200,0.000000,0.000000
0.000000,0.5000,-0.000100,0.000000,0.000000
0.000000,0.7000,-0.000100,0.000000,0.000000
0.000000,0.9000,-0.000100,0.000000,0.000000
0.000000,1.1000,0.000000,0.000000,0.000000
0.000000,1.3000,-0.003000,0.001000,0.000000
0.000000,1.6000,-0.001800,0.000000,0.000000
0.000000,2.0000,-0.001300,0.000000,0.000000
0.000000,2.5000,-0.000900,0.000000,0.000000
0.000000,3.0000,-0.000800,0.000000,0.000000
0.122173,0.3000,-0.108700,0.294000,0.354540
0.122173,0.5000,-0.103300,0.279000,0.331970
0.122173,0.7000,-0.089000,0.242000,0.320360
0.122173,0.9000,-0.096800,0.263000,0.318850
0.122173,1.1000,0.000000,0.000000,0.504890
0.122173,1.3000,-2.122000,0.555000,1.574100
0.122173,1.6000,-1.276800,0.339000,0.497620
0.122173,2.0000,-0.887800,0.237000,0.235410
0.122173,2.5000,-0.657400,0.175000,0.128580
0.122173,3.0000,-0.525400,0.140000,0.082329
0.261799,0.3000,-0.228400,0.615000,0.741510
0.261799,0.5000,-0.217100,0.584000,0.694300
0.261799,0.7000,-0.187200,0.507000,0.670020
0.261799,0.9000,-0.203600,0.551000,0.666870
0.261799,1.1000,0.000000,0.000000,1.081900
0.261799,1.3000,-4.547200,1.190000,3.373200
0.261799,1.6000,-2.736000,0.726000,1.066300
0.261799,2.0000,-1.902400,0.507000,0.504440
0.261799,2.5000,-1.408700,0.376000,0.275520
0.261799,3.0000,-1.125900,0.301000,0.176420
