time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,30,0,-6000,260,0,0,0,-0,0,0,0,0,-6.0838231e-06,0,-2.9743249e-05,0.004,-6.0838231e-05,0,-0.00029743249,1,0,0,0,0,0.82161032,260,6000,82,20000,2.8342784e-05,nan,0.00013856525,nan,nan,22311.763,-163.19258,-0.60857977,-0.54735057,0,-0.31210734,0.37916119,20000,0,0,0,0,0
0.01,32.609686,-3.5453932e-07,-5999.9996,262.42392,-0.00010760113,0.097837537,-1.7426709e-13,-7.8843136e-07,4.8389189e-07,4.8296223e-16,-0.00031168551,0.00016166144,-0.00032299303,6.791632e-15,-0.00052419201,0.023761276,-0.0011853256,5.3525177e-14,-0.0017564509,1,0,0,0.00037203403,-8.9391977e-07,0.82927007,262.42394,5999.9996,81.911927,20080,0.00017104264,nan,0.00083365466,nan,nan,22729.721,-166.15399,-1.4735737,-3.7270163,2.2088674e-12,-2.640141,1.3245252,20080,0,0,0,0,0
0.02,35.243659,-2.2780482e-06,-5999.9982,264.85986,-0.00035492007,0.1953255,-1.2272713e-11,-6.7643108e-06,3.6537435e-06,1.4982383e-13,-0.0011067441,0.00062870103,-0.0009782107,6.6373173e-13,-0.0013993213,0.043130476,-0.0023365416,3.6908004e-12,-0.0031569635,1,0,0,0.00073070289,-4.9937731e-06,0.83696789,264.85993,5999.9982,81.823853,20160,0.00031538997,nan,0.0015325407,nan,nan,23153.668,-169.15737,-3.0209098,-6.2712753,2.1968965e-10,-4.2701718,3.0287051,20160,0,0,0,0,0
0.03,37.90204,-7.433442e-06,-5999.9959,267.30783,-0.0007981398,0.29254943,-1.5260237e-10,-2.2137261e-05,1.3210777e-05,4.0405286e-12,-0.0022384147,0.0015453519,-0.0018398459,1.028618e-11,-0.0024667236,0.062115379,-0.0034987576,4.4855461e-11,-0.0044669761,1,0,0,0.0010722913,-1.6196622e-05,0.84470383,267.308,5999.9959,81.73578,20240,0.00046139117,nan,0.0022352576,nan,nan,23583.664,-172.20317,-4.9109356,-8.3392388,3.4646236e-09,-5.3885554,5.1323583,20240,0,0,0,0,0
0.04,40.584949,-1.7849794e-05,-5999.9926,269.76786,-0.0014459515,0.38958822,-9.0784322e-10,-4.9811417e-05,3.3976542e-05,4.1140158e-11,-0.0035969759,0.0029799528,-0.0028247388,7.1801752e-11,-0.0036033451,0.080723608,-0.0046604344,2.6037914e-10,-0.0056595206,1,0,0,0.0013943485,-3.9336525e-05,0.85247797,269.76815,5999.9926,81.647706,20320,0.00060905331,nan,0.0029418402,nan,nan,24019.772,-175.29178,-6.885635,-10.028451,2.4608529e-08,-6.1115363,7.368836,20320,0,0,0,0,0
0.05,43.292507,-3.5472974e-05,-5999.9883,272.23997,-0.0022655276,0.48651746,-3.5613337e-09,-9.1695051e-05,7.1214738e-05,2.4387819e-10,-0.0050959232,0.0049434575,-0.003879789,3.178504e-10,-0.0047269619,0.098962639,-0.0058126695,9.950402e-10,-0.0067133495,1,0,0,0.0016953935,-7.9536535e-05,0.86029036,272.2404,5999.9883,81.559633,20400,0.00075838413,nan,0.0036523232,nan,nan,24462.054,-178.42354,-8.7393887,-11.399713,1.1083734e-07,-6.5128603,9.530689,20400,0,0,0,0,0
0.06,46.024833,-6.1769582e-05,-5999.983,274.72417,-0.003187169,0.58341099,-1.0678055e-08,-0.00014889605,0.0001301096,1.0220167e-09,-0.0066636633,0.007401582,-0.0049704648,1.0463424e-09,-0.0057819838,0.1168398,-0.006948263,2.9017966e-09,-0.0076136165,1,0,0,0.0019747253,-0.00014171092,0.86814106,274.72479,5999.983,81.47156,20480,0.00090939199,nan,0.0043667416,nan,nan,24910.573,-181.59878,-10.303666,-12.492787,3.7120533e-07,-6.6412165,11.451583,20480,0,0,0,0,0
0.07,48.782051,-9.7375804e-05,-5999.9768,277.2205,-0.0041087304,0.68034112,-2.6520247e-08,-0.00022184956,0.0002153506,3.3624014e-09,-0.0082386928,0.010283622,-0.0060737437,2.7958382e-09,-0.0067313178,0.13436226,-0.0080611721,6.9988947e-09,-0.0083524216,1,0,0,0.0022322972,-0.0002301717,0.87603015,277.22133,5999.9768,81.383486,20560,0.0010620859,nan,0.0050851296,nan,nan,25365.392,-184.81779,-11.440105,-13.336306,1.009007e-06,-6.5312312,12.997503,20560,0,0,0,0,0
0.08,51.56428,-0.0001417918,-5999.9696,279.72896,-0.0049004561,0.77737808,-5.7274472e-08,-0.00031040698,0.00033079815,9.2511559e-09,-0.0097669664,0.013489753,-0.0071737882,6.3955018e-09,-0.0075517314,0.15153706,-0.0091462101,1.4656342e-08,-0.0089291351,1,0,0,0.0024686265,-0.00034831659,0.88395767,279.73004,5999.9696,81.295413,20640,0.0012164756,nan,0.005807521,nan,nan,25826.577,-188.08086,-12.038474,-13.953988,2.3478127e-06,-6.2103486,14.063403,20640,0,0,0,0,0
0.09,54.371642,-0.0001931272,-5999.9615,282.24958,-0.0054105386,0.87458904,-1.1099912e-07,-0.00041390466,0.00047921978,2.2177773e-08,-0.011200631,0.016897852,-0.0082593113,1.2967392e-08,-0.0082311734,0.16837111,-0.010198898,2.7499503e-08,-0.009350439,1,0,0,0.002684723,-0.00049838882,0.89192371,282.25093,5999.9615,81.207339,20720,0.0013725712,nan,0.0065339486,nan,nan,26294.191,-191.38825,-12.017262,-14.368445,4.8418734e-06,-5.7030658,14.572844,20720,0,0,0,0,0
