time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,tabulated_thrust_fx,tabulated_thrust_fy,tabulated_thrust_fz,tabulated_thrust_mx,tabulated_thrust_my,tabulated_thrust_mz
0,0,0,-3,3.5,0,-40,0,1.4835299,0,0,0,0,-5.9211895e-18,0,0,0.004,-8.8817842e-17,-0,0,1,0,0,-0.1247489,-0.050313703,0.11777876,40.078049,3,85,6670,1.4835299,0,0,nan,nan,983.54482,-46.080105,196.95385,418.18936,0,695.57074,-323.77213,6670,0,0,0,0,0
0.04,0.14891665,0.0017508234,-4.6517786,3.9696435,0.091372857,-42.742365,-0.0059367122,1.4846305,-0.0059591025,5.6525919e-20,0.057925323,-0.026865729,0.0014117026,-4.2884725e-22,-0.00064205057,0.080723608,0.0029845785,-1.1305184e-21,-0.0013432864,1,0,0,-0.11026337,-0.044371057,0.12577245,42.797362,4.6517786,84.80688,6870.1,1.4835299,0,0,nan,nan,1121.3628,-54.079496,186.25108,410.08271,-6.8064667e-21,687.93621,-304.23442,6870.1,0,0,0,0,0
0.08,0.31657868,0.0069337393,-6.4151268,4.4354154,0.16939174,-45.583728,-0.024553254,1.4880085,-0.024642267,1.5783129e-18,0.11489093,-0.050047722,0.0040657186,-1.4968638e-20,-0.0017264273,0.15153706,0.006105114,-3.1566258e-20,-0.0025023861,1,0,0,-0.09514012,-0.038279664,0.1340819,45.623965,6.4151268,84.61376,7070.2,1.4835299,0,0,nan,nan,1274.162,-62.21237,168.00454,396.07177,-1.8241587e-19,675.52711,-270.6362,7070.2,0,0,0,0,0
0.12,0.50260734,0.015084853,-8.2940386,4.8838354,0.24024237,-48.525838,-0.058081838,1.493549,-0.058278315,3.1047359e-18,0.16932716,-0.074255236,0.0071060922,-2.4791786e-20,-0.0028805253,0.21689564,0.0092757204,-6.2094718e-20,-0.0037127618,1,0,0,-0.079497698,-0.031870134,0.14270725,48.557875,8.2940386,84.42064,7270.3,1.4835299,0,0,nan,nan,1443.0441,-71.988018,165.37134,359.06125,-3.4674326e-19,615.43434,-282.25068,7270.3,0,0,0,0,0
0.16,0.70595309,0.025757589,-10.292571,5.2970015,0.29179073,-51.570075,-0.1130176,1.5009507,-0.11336252,-1.983673e-18,0.2178086,-0.09621801,0.010183716,1.1046766e-20,-0.0040373116,0.27721952,0.012302647,3.967346e-20,-0.0048109005,1,0,0,-0.063623206,-0.025288424,0.15164889,51.599213,10.292571,84.22752,7470.4,1.4835299,0,0,nan,nan,1629.1575,-82.156517,137.78063,308.12687,5.1165686e-18,529.69268,-236.30149,7470.4,0,0,0,0,0
0.2,0.92492338,0.037975485,-12.41483,5.6601904,0.31507297,-54.717431,-0.19886886,1.5097003,-0.19939706,2.1622963e-18,0.25814402,-0.11395039,0.013093141,-2.0400501e-20,-0.0050519776,0.33289656,0.015036579,-4.3245925e-20,-0.0056975196,1,0,0,-0.047806145,-0.01872985,0.16090503,54.747348,12.41483,84.0344,7670.5,1.4835299,0,0,nan,nan,1833.6421,-92.545092,105.04072,244.19071,-2.3722061e-19,418.59335,-180.51419,7670.5,0,0,0,0,0
0.24,1.157224,0.050506745,-14.664393,5.9572484,0.30525461,-57.921861,-0.33202238,1.519009,-0.33276091,8.2872553e-18,0.28823549,-0.12669775,0.015662559,-1.2930508e-19,-0.0058540389,0.38428469,0.017310318,-1.6574511e-19,-0.0063348874,1,0,0,-0.032410726,-0.012362949,0.17033549,57.954555,14.664393,83.84128,7664.9417,1.4835299,0,0,nan,nan,2054.3278,-102.92569,68.709078,168.66567,-9.3341447e-19,284.04519,-117.23032,7664.9417,0,0,0,0,0
0.28,1.3999322,0.061971912,-17.042235,6.1753001,0.25958652,-61.13161,-0.5378103,1.5276585,-0.5387773,1.2360738e-17,0.30620424,-0.13389376,0.017712375,-2.2013436e-19,-0.0064020162,0.43171431,0.018932487,-2.4721475e-19,-0.006694688,1,0,0,-0.017799046,-0.0063430505,0.17978405,61.167672,17.042235,83.64072,7659.3833,1.4835299,0,0,nan,nan,2287.912,-112.59936,30.804775,84.384603,-1.4638502e-18,130.22263,-48.904404,7659.3833,0,0,0,0,0
0.32,1.649757,0.070904,-19.548558,6.3080999,0.17665479,-64.345844,-0.83941485,1.5338553,-0.84061872,2.878718e-17,0.31064265,-0.13522169,0.01904242,-3.88315e-19,-0.0066699601,0.47549035,0.019688036,-5.757436e-19,-0.0067610844,1,0,0,-0.0043171493,-0.00080684083,0.18924567,64.384962,19.548558,83.43768,7653.825,1.4835299,0,0,nan,nan,2534.3101,-121.77751,-6.5697418,-4.1381742,-3.6638227e-18,-35.134761,21.075466,7653.825,0,0,0,0,0
0.36,1.9032306,0.075812291,-22.183513,6.353128,0.056572194,-67.56315,-1.2098969,1.5357042,-1.2113355,2.8705573e-17,0.30071417,-0.13057969,0.019445319,-5.112332e-19,-0.0066454141,0.51589423,0.019380821,-5.7411145e-19,-0.0065289847,1,0,0,0.0076679698,0.0041061429,0.19871512,67.604638,22.183513,83.23464,7648.2667,1.4835299,0,0,nan,nan,2793.4053,-130.23833,-44.10499,-95.611322,-3.8055261e-18,-207.90884,92.801507,7648.2667,0,0,0,0,0
