time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,1820,80,-4500,95,12,190,-1.5284227e-17,-1.0995574,0.10471976,0,0,0,-5.7137529e-06,2.7808657e-20,-0.0027049339,0.002,-0.00011427506,5.5617314e-19,-0.054098678,1,0,0,0.0045058698,0.0094193476,0.65958703,212.76513,4500,118,15000,-1.1039839,nan,0.12564262,nan,nan,17587.878,-281.23157,-130.41611,-61.494928,1.5353947e-17,-52.496829,115.81563,15000,0,0,0,0,0
0.005,1820.4756,80.060048,-4499.0488,95.284683,12.024023,190.60383,-2.5137204e-05,-1.099563,0.10474797,7.2142793e-09,-0.0027859353,0.0066957719,-7.9395584e-05,8.6622227e-08,-0.014204311,0.01194016,-0.00046473875,9.0857772e-07,-0.053151509,1,0,0,0.0045782105,0.0093495912,0.66164904,213.43282,4499.0488,117.96376,15016.667,-1.1040269,nan,0.12560408,nan,nan,17700.235,-282.95042,-149.37702,-62.780205,4.8100902e-05,-53.521612,142.79527,15016.667,0,0,0,0,0
0.01,1820.9526,80.120215,-4498.0946,95.569851,12.047395,191.20838,-0.0001212557,-1.0995826,0.10485584,1.584654e-07,-0.0056191489,0.014659379,-0.00021617058,7.075548e-07,-0.022839764,0.021781315,-0.00081842588,4.3494316e-06,-0.051860945,1,0,0,0.0046358127,0.009240725,0.66371352,214.10134,4498.0946,117.92752,15033.333,-1.1040701,nan,0.12556552,nan,nan,17813.103,-284.67637,-163.22149,-63.771084,0.00039515028,-54.235938,162.81667,15033.333,0,0,0,0,0
0.015,1821.431,80.180498,-4497.1373,95.85546,12.070338,191.81366,-0.00029943062,-1.0996164,0.10505581,8.6885091e-07,-0.0084838699,0.023550897,-0.00040228377,2.3634517e-06,-0.029182237,0.031524451,-0.0011738465,1.0651308e-05,-0.050232687,1,0,0,0.0046785756,0.009088197,0.66578047,214.77067,4497.1373,117.89129,15050,-1.1041133,nan,0.12552695,nan,nan,17926.485,-286.40943,-172.76049,-64.483604,0.001327461,-54.665643,177.06962,15050,0,0,0,0,0
0.02,1821.9108,80.240896,-4496.177,96.141473,12.093047,192.41967,-0.00056765057,-1.0996645,0.10535684,2.8302015e-06,-0.011365571,0.033087227,-0.00062677006,5.4973059e-06,-0.033675189,0.041170545,-0.0015296154,2.0012448e-05,-0.048275171,1,0,0,0.004706471,0.0088888928,0.66784992,215.44084,4496.177,117.85505,15066.667,-1.1041567,nan,0.12548839,nan,nan,18040.382,-288.14963,-178.62757,-64.930509,0.0031052192,-54.831337,186.48241,15066.667,0,0,0,0,0
0.025,1822.3921,80.301406,-4495.2137,96.427853,12.115696,193.02643,-0.00093132418,-1.0997269,0.10576499,6.9812319e-06,-0.014250722,0.04302968,-0.00088084264,1.0481313e-05,-0.03666404,0.050720563,-0.0018844234,3.2523774e-05,-0.045999457,1,0,0,0.0047195385,0.0086409072,0.66992185,216.11183,4495.2137,117.81881,15083.333,-1.1042001,nan,0.12544983,nan,nan,18154.796,-289.89699,-181.32088,-65.122124,0.0059541521,-54.749674,191.78277,15083.333,0,0,0,0,0
0.03,1822.8748,80.36203,-4494.2474,96.714566,12.138442,193.63394,-0.0013936758,-1.0998037,0.1062839,1.4471109e-05,-0.017126601,0.053174469,-0.0011574141,1.7611314e-05,-0.038418924,0.060175462,-0.0022370154,4.8187666e-05,-0.043419101,1,0,0,0.0047178808,0.0083433636,0.67199629,216.78365,4494.2474,117.78257,15100,-1.1042436,nan,0.12541126,nan,nan,18269.73,-291.65154,-181.23591,-65.067049,0.010061261,-54.434359,193.54523,15100,0,0,0,0,0
0.035,1823.359,80.422768,-4493.278,97.001581,12.161426,194.24222,-0.0019560564,-1.0998945,0.10691509,2.6619941e-05,-0.019981161,0.063345459,-0.0014507225,2.7106237e-05,-0.039152269,0.069536189,-0.0025861768,6.6933248e-05,-0.040550044,1,0,0,0.0047016605,0.0079962715,0.67407323,217.45631,4493.278,117.74633,15116.667,-1.1042872,nan,0.1253727,nan,nan,18385.185,-293.41328,-178.6908,-64.772709,0.015573309,-53.896935,192.22794,15116.667,0,0,0,0,0
0.04,1823.8446,80.483622,-4492.3056,97.288867,12.184777,194.85127,-0.0026181895,-1.0999993,0.10765826,4.487855e-05,-0.022802925,0.073388672,-0.0017560389,3.911073e-05,-0.039032371,0.078803683,-0.0029307252,8.862894e-05,-0.037410481,1,0,0,0.0046710966,0.0076004115,0.67615267,218.1298,4492.3056,117.7101,15133.333,-1.1043309,nan,0.12533413,nan,nan,18501.163,-295.18225,-173.94609,-64.24578,0.022597128,-53.147403,188.20125,15133.333,0,0,0,0,0
0.045,1824.3316,80.544593,-4491.3301,97.576394,12.208617,195.4611,-0.0033783689,-1.1001178,0.10851151,7.078905e-05,-0.025580918,0.083168163,-0.002069441,5.3699725e-05,-0.038193874,0.087978872,-0.0032695068,0.00011309285,-0.034020735,1,0,0,0.0046264618,0.0071572417,0.67823464,218.80412,4491.3301,117.67386,15150,-1.1043747,nan,0.12529555,nan,nan,18617.665,-296.95847,-167.21994,-63.492529,0.031201084,-52.194713,181.76986,15150,0,0,0,0,0
