time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
0,0,0,-800,60,0,0,0,0.034906585,0,0,0,0,-0.0078539816,0,0,3.5527137e-18,-0.12910325,0,0,3.5527137e-16,0,0,0.034906585,0,0.17793072,60,800,1200,1.0095384e-14,nan,nan,0,1000,60,2040.5791,-871.2298,0,-15264.639,0,-1358.741,0,1.0095384e-14,0,0,0,0,0
0.1,5.9945274,0,-800.01065,59.885081,0,-0.20505851,0,0.037260823,0,0,0.086677278,0,-0.080244212,0,0,0.00057031856,-0.060114499,0,0,0.0057829993,0,0,0.033836636,0,0.17759099,59.885432,800.01065,1200,1.6206149,nan,nan,0,1000,60,2032.7916,-869.40523,0,-14162.377,0,2007.9022,0,1.6206149,0,0,0,0,0
0.2,11.977346,0,-800.04257,59.763128,0,-0.46962967,0,0.048212053,0,0,0.10476168,0,-0.033545085,0,0,0.0021207388,-0.025133929,0,0,0.011976843,0,0,0.040354031,0,0.17723383,59.764973,800.04257,1200,6.0262697,nan,nan,0,1000,60,2024.6157,-788.02213,0,-15743.082,0,-893.96607,0,6.0262697,0,0,0,0,0
0.3,17.947436,0,-800.10558,59.630776,0,-0.80969746,0,0.056389008,0,0,0.061045454,0,-0.036703936,0,0,0.0045732777,-0.040885676,0,0,0.018707553,0,0,0.042811326,0,0.1768523,59.636273,800.10558,1200,12.995323,nan,nan,0,1000,60,2015.8929,-748.32756,0,-15917.794,0,-463.13334,0,12.995323,0,0,0,0,0
0.4,23.903978,0,-800.20247,59.492258,0,-1.1421992,0,0.061663083,0,0,0.046285937,0,-0.039545075,0,0,0.0078405189,-0.038556233,0,0,0.02578677,0,0,0.042466318,0,0.17645793,59.503221,800.20247,1200,22.279294,nan,nan,0,1000,60,2006.8887,-749.35084,0,-15733.89,0,-186.41887,0,22.279294,0,0,0,0,0
0.5,29.846426,0,-800.33185,59.348782,0,-1.457971,0,0.065768506,0,0,0.034864066,0,-0.036632034,0,0,0.01183275,-0.035599055,0,0,0.033174829,0,0,0.041207298,0,0.17605329,59.366687,800.33185,1200,33.623156,nan,nan,0,1000,60,1997.6642,-763.95736,0,-15503.347,0,-221.04352,0,33.623156,0,0,0,0,0
0.6,35.774342,0,-800.49171,59.201745,0,-1.7487219,0,0.068715028,0,0,0.024089246,0,-0.035133665,0,0,0.016470476,-0.034600344,0,0,0.04083009,0,0,0.039185264,0,0.17564105,59.227567,800.49171,1200,46.800898,nan,nan,0,1000,60,1988.2814,-788.19661,0,-15145.244,0,-161.15646,0,46.800898,0,0,0,0,0
0.7,41.68745,0,-800.67913,59.052755,0,-2.0067684,0,0.070753639,0,0,0.016818986,0,-0.033813625,0,0,0.021679992,-0.033167349,0,0,0.048705466,0,0,0.036784073,0,0.17522411,59.086843,800.67913,1200,61.602961,nan,nan,0,1000,60,1978.8081,-816.21852,0,-14738.138,0,-106.96056,0,61.602961,0,0,0,0,0
0.8,47.585615,0,-800.89072,58.903025,0,-2.2304988,0,0.072185268,0,0,0.011873677,0,-0.032415422,0,0,0.027393665,-0.031826947,0,0,0.056765914,0,0,0.034336047,0,0.17480461,58.945241,800.89072,1200,77.83704,nan,nan,0,1000,60,1969.2943,-843.33773,0,-14331.938,0,-73.144553,0,77.83704,0,0,0,0,0
0.9,53.46881,0,-801.12308,58.753487,0,-2.4209677,0,0.073205685,0,0,0.0086353926,0,-0.031235096,0,0,0.033550503,-0.030751696,0,0,0.064982917,0,0,0.032023466,0,0.17438427,58.803344,801.12308,1200,95.329719,nan,nan,0,1000,60,1959.78,-867.29855,0,-13947.69,0,-44.524882,0,95.329719,0,0,0,0,0
1,59.337088,0,-801.37301,58.604828,0,-2.5807613,0,0.073971874,0,0,0.0067964061,0,-0.030262823,0,0,0.04009592,-0.0298663,0,0,0.07333293,0,0,0.02996364,0,0.17396449,58.661624,801.37301,1200,113.92579,nan,nan,0,1000,60,1950.2973,-887.02277,0,-13601.493,0,-22.74343,0,113.92579,0,0,0,0,0
1.1,65.19056,0,-801.6376,58.457508,0,-2.7134859,0,0.074605371,0,0,0.005972033,0,-0.029484399,0,0,0.046981453,-0.02917593,0,0,0.081797074,0,0,0.028220576,0,0.17354636,58.520451,801.6376,1200,133.48745,nan,nan,0,1000,60,1940.8714,-902.20297,0,-13301.558,0,-7.5172531,0,133.48745,0,0,0,0,0
