time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-2,2.6,0,-29.9,0,1.4835299,0,0,0,0,-5.9211895e-18,0,0,0.004,-8.8817842e-17,-0,0,1,0,0,-0.13405503,-0.067319448,0.088159585,29.9995,2,85,6670,1.4835299,0,0,nan,nan,551.1258,-27.33532,150.82144,255.62485,0,549.33266,-322.15258,6670,0,0,0,0,0
0.05,0.14187231,0.0021232823,-3.5774666,3.0963866,0.088058828,-33.362749,-0.0093791737,1.4849107,-0.0094144317,1.3671389e-19,0.057838978,-0.033718021,0.0016039142,-2.8618799e-23,-0.00090876356,0.098962639,0.0030028404,-2.7342778e-21,-0.0016859011,1,0,0,-0.11295449,-0.056782845,0.098241677,33.429703,3.5774666,84.761941,6920.125,1.4835299,0,0,nan,nan,684.2613,-35.517472,150.5356,257.577,-1.3109832e-20,556.58909,-322.73921,6920.125,0,0,0,0,0
0.1,0.3086599,0.0083842756,-5.3317767,3.594028,0.16222479,-36.98032,-0.039526517,1.4891305,-0.039667847,6.4129493e-19,0.11567019,-0.063947898,0.0044839889,-9.107211e-21,-0.0023734035,0.18487116,0.0062351581,-1.2825899e-20,-0.0031973949,1,0,0,-0.092564683,-0.046631181,0.10881888,37.028182,5.3317767,84.523882,7170.25,1.4835299,0,0,nan,nan,839.36059,-44.510086,138.20237,252.39808,-5.9211796e-20,551.34591,-293.39151,7170.25,0,0,0,0,0
0.15,0.49998182,0.018049094,-7.2707278,4.0726368,0.2228507,-40.755026,-0.096067318,1.4959767,-0.096381704,1.3348738e-19,0.1707358,-0.095356884,0.007714857,-7.91893e-21,-0.0039051875,0.26258882,0.0095448242,-2.6697475e-21,-0.0047678442,1,0,0,-0.072668778,-0.036503159,0.119888,40.793819,7.2707278,84.285823,7420.375,1.4835299,0,0,nan,nan,1018.5718,-55.180519,130.01751,227.54751,-1.2080293e-20,497.69263,-283.89976,7420.375,0,0,0,0,0
0.2,0.71428179,0.030008392,-9.4022238,4.5076037,0.24976564,-44.688744,-0.19222256,1.5048263,-0.19277437,-5.6705798e-18,0.21850995,-0.12221331,0.010920022,7.8463913e-20,-0.0053579999,0.33289656,0.012658064,1.134116e-19,-0.0061106653,1,0,0,-0.0533674,-0.026576008,0.13144702,44.725886,9.4022238,84.047764,7670.5,1.4835299,0,0,nan,nan,1224.1424,-66.701299,103.48071,187.74965,2.663306e-17,409.5632,-226.09702,7670.5,0,0,0,0,0
0.25,0.94876519,0.042251171,-11.733124,4.8720882,0.23089679,-48.709374,-0.34842212,1.5145193,-0.34926317,-6.5090305e-18,0.25533959,-0.14218662,0.013814928,8.2687046e-20,-0.0065401043,0.39650088,0.015300931,1.3018061e-19,-0.0071093308,1,0,0,-0.034960237,-0.017082263,0.14327536,48.749291,11.733124,83.804168,7663.5521,1.4835299,0,0,nan,nan,1453.9633,-78.590186,69.716725,132.84134,3.3330538e-17,286.13809,-151.66475,7663.5521,0,0,0,0,0
0.3,1.1992953,0.052295702,-14.265232,5.1432453,0.15858067,-52.737132,-0.59278567,1.5231341,-0.59395161,-1.3394029e-17,0.27767819,-0.15371441,0.016092608,1.9869243e-19,-0.0073477073,0.45404091,0.017142367,2.6788058e-19,-0.0076857206,1,0,0,-0.017818408,-0.0082447692,0.155131,52.781653,14.265232,83.560573,7656.6042,1.4835299,0,0,nan,nan,1704.0299,-90.209996,31.116545,65.138502,9.3560465e-17,131.31242,-64.451347,7656.6042,0,0,0,0,0
0.35,1.4608896,0.057338824,-16.998868,5.3089442,0.028050336,-56.770357,-0.9336524,1.5280045,-0.93515958,-2.1487916e-17,0.28267464,-0.15577572,0.017407154,3.6107958e-19,-0.0077118897,0.50609484,0.017824183,4.2975832e-19,-0.0077887861,1,0,0,-0.0023606742,-0.00028435981,0.16700433,56.819674,16.998868,83.316978,7649.6562,1.4835299,0,0,nan,nan,1974.2161,-101.49386,-9.1413966,-11.074905,1.9666632e-16,-45.245057,29.16049,7649.6562,0,0,0,0,0
0.4,1.7281099,0.054427497,-19.934251,5.3632457,-0.1622067,-60.806745,-1.3017547,1.5271947,-1.3035979,-1.6107404e-17,0.26846568,-0.14780115,0.017447507,3.233004e-19,-0.0075931737,0.55318574,0.01709352,3.2214808e-19,-0.0073900576,1,0,0,0.010879528,0.0065340018,0.17888689,60.860445,19.934251,83.073383,7642.7083,1.4835299,0,0,nan,nan,2264.3577,-112.18947,-52.548236,-94.295953,2.0153514e-16,-237.61769,130.41753,7642.7083,0,0,0,0,0
0.45,1.9953323,0.040535289,-23.071481,5.3048843,-0.41365673,-64.84386,-1.5927639,1.5217723,-1.594914,-1.1919459e-17,0.23373952,-0.12874728,0.016088308,2.895418e-19,-0.0069478695,0.59578681,0.014964745,2.3838919e-19,-0.0064373638,1,0,0,0.021264928,0.011849781,0.19077263,64.901885,23.071481,82.829787,7635.7604,1.4835299,0,0,nan,nan,2574.2964,-122.15446,-100.65783,-181.64821,2.0489028e-16,-435.48854,239.39066,7635.7604,0,0,0,0,0
0.5,2.2570726,0.012658532,-26.410542,5.1422996,-0.72259304,-68.879628,-1.7781862,1.5148242,-1.7805894,-3.0400262e-18,0.17933391,-0.098731164,0.013472311,1.4054729e-19,-0.0057501892,0.63432612,0.011723521,6.0800523e-20,-0.0049365582,1,0,0,0.028190451,0.01530388,0.20265837,68.942878,26.410542,82.586192,7628.8125,1.4835299,0,0,nan,nan,2903.912,-132.91082,-144.51519,-259.68624,1.1184394e-16,-608.97138,336.59661,7628.8125,0,0,0,0,0
0.55,2.5085847,-0.031820437,-29.951309,4.8971551,-1.0768063,-72.911594,-1.8810816,1.509035,-1.8836627,-9.754967e-19,0.10938431,-0.060107066,0.0099400995,4.7291775e-20,-0.0040597687,0.66919093,0.0077912452,1.9509934e-20,-0.0030053533,1,0,0,0.031259606,0.016666207,0.21453998,72.981998,29.951309,82.342597,7621.8646,1.4835299,0,0,nan,nan,3253.0326,-147.67632,-173.69363,-313.63255,4.2150635e-17,-725.59251,399.61137,7621.8646,0,0,0,0,0
0.6,2.7465172,-0.094712179,-33.693577,4.6037677,-1.4562523,-76.939762,-1.9247396,1.5059794,-1.9274081,6.6172383e-19,0.031380791,-0.017420365,0.0059437665,-5.4357942e-22,-0.0020444731,0.7007316,0.0036703908,-1.3234477e-20,-0.00087101823,1,0,0,0.030422492,0.015925179,0.22641894,77.019719,33.693577,82.099001,7614.9167,1.4835299,0,0,nan,nan,3621.6346,-163.69751,-179.61134,-330.0108,-9.8710199e-20,-756.28353,410.06115,7614.9167,0,0,0,0,0
0.65,2.9694627,-0.1766921,-37.637205,4.3050257,-1.8360354,-80.966422,-1.9212376,1.5061996,-1.9238989,4.8722715e-19,-0.044776835,0.023336656,0.0020014277,-1.0089337e-20,3.6515762e-05,0.72926505,-9.7591196e-05,-9.7445429e-21,0.0011668328,1,0,0,0.026061579,0.013334975,0.23830056,81.057817,37.637205,81.855406,7607.9687,1.4835299,0,0,nan,nan,4009.8306,-181.12302,-158.59981,-301.06136,-7.6209288e-20,-684.62107,359.98948,7607.9687,0,0,0,0,0
