time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,f16_aero_fx,f16_aero_fy,f16_aero_fz,f16_aero_mx,f16_aero_my,f16_aero_mz,f16_engine_fx,f16_engine_fy,f16_engine_fz,f16_engine_mx,f16_engine_my,f16_engine_mz
0,0,0,-3000,150,0,0,0,0.061959188,0,0,0,0,0.0020943951,0,0,0,0.18587757,0,0,0,0,0,0.061959188,0,0.45650489,150,3000,9295.48,-148.92016,nan,nan,0,3000,150,10229.111,-2603.2849,0,-92530.894,0,-7230.9757,0,-148.92016,0,0,0,0,0
0.04,5.9992717,0,-3000.0002,149.9606,0,-0.012938511,0,0.061817137,0,0,-0.0095918199,0,0.043982297,0,0,9.4875194e-05,0.17905887,0,0,0.0023787219,0,0,0.061730857,0,0.45638498,149.9606,3000.0002,9295.48,-148.28743,nan,nan,0,3000,150,10223.738,-3793.9481,0,-96480.54,0,-30081.143,0,-148.28743,0,0,0,0,0
0.08,11.996854,0,-3000.0012,149.91529,0,-0.038750888,0,0.061064157,0,0,-0.031075553,0,0.085870199,0,0,0.0003817127,0.15855699,0,0,0.0051453701,0,0,0.060805672,0,0.4562471,149.91529,3000.0012,9295.48,-147.15202,nan,nan,0,3000,150,10217.56,-5057.2908,0,-98508.721,0,-52185.738,0,-147.15202,0,0,0,0,0
0.12,17.992522,0,-3000.0033,149.8651,0,-0.066939287,0,0.059237473,0,0,-0.063170383,0,0.11424792,0,0,0.0008740321,0.12344812,0,0,0.0082428636,0,0,0.05879081,0,0.4560944,149.86511,3000.0033,9295.48,-145.11304,nan,nan,0,3000,150,10210.719,-6032.6095,0,-96678.773,0,-66040.483,0,-145.11304,0,0,0,0,0
0.16,23.986165,0,-3000.0062,149.81506,0,-0.073944227,0,0.056056332,0,0,-0.096973095,0,0.10532061,0,0,0.0015707506,0.080469564,0,0,0.011372052,0,0,0.055562762,0,0.45594214,149.81508,3000.0062,9295.48,-141.82666,nan,nan,0,3000,150,10203.899,-6047.8545,0,-88836.509,0,-58987.459,0,-141.82666,0,0,0,0,0
0.2,29.977887,0,-3000.0087,149.76982,0,-0.041013145,0,0.051632124,0,0,-0.12407755,0,0.077085508,0,0,0.0024458559,0.037308337,0,0,0.014252942,0,0,0.051358282,0,0.45580442,149.76982,3000.0087,9295.48,-136.99184,nan,nan,0,3000,150,10197.733,-5564.5192,0,-78315.127,0,-41711.392,0,-136.99184,0,0,0,0,0
0.24,35.967923,0,-3000.009,149.73119,0,0.038298559,0,0.046310993,0,0,-0.14102507,0,0.041666827,0,0,0.0034609171,-0.0020267763,0,0,0.016769776,0,0,0.046566776,0,0.45568687,149.7312,3000.009,9295.48,-130.35581,nan,nan,0,3000,150,10192.473,-4892.6724,0,-67355.743,0,-21254.429,0,-130.35581,0,0,0,0,0
0.28,41.956543,0,-3000.0052,149.69931,0,0.16294378,0,0.040517636,0,0,-0.14720396,0,0.0058729854,0,0,0.0045759503,-0.035744723,0,0,0.018905351,0,0,0.041606109,0,0.45559007,149.6994,3000.0052,9295.48,-121.73963,nan,nan,0,3000,150,10188.148,-4201.6305,0,-57271.034,0,-1440.9551,0,-121.73963,0,0,0,0,0
0.32,47.943983,0,-2999.9957,149.6711,0,0.32766966,0,0.03466928,0,0,-0.14350952,0,-0.026737049,0,0,0.0057583052,-0.063323814,0,0,0.020832853,0,0,0.036858541,0,0.45550499,149.67145,2999.9957,9295.48,-111.00765,nan,nan,0,3000,150,10184.355,-4929.8421,0,-48779.684,0,15783.738,0,-111.00765,0,0,0,0,0
0.36,53.930267,0,-2999.9789,149.64132,0,0.52499073,0,0.029132528,0,0,-0.13147815,0,-0.054532607,0,0,0.0070018422,-0.084853162,0,0,0.022859373,0,0,0.032640841,0,0.45541599,149.64224,2999.9789,9295.48,-98.039184,nan,nan,0,3000,150,10180.398,-5801.188,0,-42234.961,0,29904.734,0,-98.039184,0,0,0,0,0
