time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,f16_aero_fx,f16_aero_fy,f16_aero_fz,f16_aero_mx,f16_aero_my,f16_aero_mz,f16_engine_fx,f16_engine_fy,f16_engine_fz,f16_engine_mx,f16_engine_my,f16_engine_mz
0,0,0,-3000,150,0,0,0,0.061959188,0,0,0,0,0.0020943951,0,0,0,0.18587757,0,0,0,0,0,0.061959188,0,0.45650489,150,3000,9295.48,-148.92016,nan,nan,0,3000,150,10229.111,-2603.2849,0,-92530.894,0,-7230.9757,0,-148.92016,0,0,0,0,0
0.03,4.4996029,0,-3000.0001,149.97102,0,-0.0081804564,0,0.061891289,0,0,-0.0060636598,0,0.033510322,0,0,5.3780523e-05,0.18198024,0,0,0.0017468183,0,0,0.061836742,0,0.45641669,149.97102,3000.0001,9295.48,-148.47708,nan,nan,0,3000,150,10225.159,-3490.0546,0,-95658.071,0,-24437.842,0,-148.47708,0,0,0,0,0
0.06,8.9982885,0,-3000.0006,149.93865,0,-0.024760967,0,0.061546645,0,0,-0.018871863,0,0.064926248,0,0,0.00021334286,0.17062583,0,0,0.0037151034,0,0,0.061381504,0,0.45631819,149.93865,3000.0006,9295.48,-147.80777,nan,nan,0,3000,150,10220.745,-4415.6878,0,-97758.684,0,-41228.116,0,-147.80777,0,0,0,0,0
0.09,13.495958,0,-3000.0016,149.9031,0,-0.046195566,0,0.060725244,0,0,-0.038257992,0,0.096342175,0,0,0.00048513233,0.15108893,0,0,0.0058944079,0,0,0.060417074,0,0.45621002,149.90311,3000.0016,9295.48,-146.74209,nan,nan,0,3000,150,10215.899,-5385.8905,0,-98671.645,0,-57591.847,0,-146.74209,0,0,0,0,0
0.12,17.992522,0,-3000.0033,149.8651,0,-0.066939287,0,0.059237473,0,0,-0.063170383,0,0.11424792,0,0,0.0008740321,0.12344812,0,0,0.0082428636,0,0,0.05879081,0,0.4560944,149.86511,3000.0033,9295.48,-145.11304,nan,nan,0,3000,150,10210.719,-6032.6095,0,-96678.773,0,-66040.483,0,-145.11304,0,0,0,0,0
0.15,22.487941,0,-3000.0054,149.82724,0,-0.075458758,0,0.056978099,0,0,-0.088925756,0,0.10999259,0,0,0.0013785082,0.091455801,0,0,0.010605462,0,0,0.05647446,0,0.45597922,149.82726,3000.0054,9295.48,-142.78217,nan,nan,0,3000,150,10205.56,-6107.012,0,-91162.51,0,-62078.714,0,-142.78217,0,0,0,0,0
0.18,26.982253,0,-3000.0076,149.79167,0,-0.063097001,0,0.053981224,0,0,-0.1116663,0,0.092703407,0,0,0.0019882737,0.058594438,0,0,0.012853773,0,0,0.053559992,0,0.45587096,149.79169,3000.0076,9295.48,-139.62017,nan,nan,0,3000,150,10200.712,-5845.0365,0,-83743.94,0,-51093.217,0,-139.62017,0,0,0,0,0
0.21,31.475544,0,-3000.009,149.75951,0,-0.025590782,0,0.050369825,0,0,-0.12932633,0,0.06856664,0,0,0.0026880941,0.027017182,0,0,0.014918202,0,0,0.050198946,0,0.45577306,149.75951,3000.009,9295.48,-135.51004,nan,nan,0,3000,150,10196.329,-5405.7064,0,-75552.287,0,-36702.544,0,-135.51004,0,0,0,0,0
0.24,35.967923,0,-3000.009,149.73119,0,0.038298559,0,0.046310993,0,0,-0.14102507,0,0.041666827,0,0,0.0034609171,-0.0020267763,0,0,0.016769776,0,0,0.046566776,0,0.45568687,149.7312,3000.009,9295.48,-130.35581,nan,nan,0,3000,150,10192.473,-4892.6724,0,-67355.743,0,-21254.429,0,-130.35581,0,0,0,0,0
0.27,40.459506,0,-3000.0066,149.70668,0,0.12777335,0,0.041986781,0,0,-0.14663724,0,0.014620778,0,0,0.0042898828,-0.027886582,0,0,0.018405891,0,0,0.042840272,0,0.45561241,149.70673,3000.0066,9295.48,-124.08613,nan,nan,0,3000,150,10189.145,-4370.5757,0,-59663.032,0,-6207.3584,0,-124.08613,0,0,0,0,0
