time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-5,1.5,0,-22,0,1.5358897,0,0,0,0,1.5028642e-14,0,0,0.004,2.2542962e-13,-0,0,1,0,0,-0.23666893,-0.13657288,0.066578606,22.655022,5,520,85000,1.5358897,nan,0,nan,nan,314.21476,-18.475828,100.93188,174.90617,0,34.981235,-20.186376,85000,-0,0,0,0,0
0.03,0.047548437,8.5013632e-05,-5.7246346,1.6825096,0.0062041642,-26.623845,-0.00014975318,1.5358988,-0.00014984444,-5.3331774e-24,0.00058216013,-0.00033703107,7.3887063e-07,9.3899848e-25,-4.1546353e-07,0.062115379,1.8880864e-06,2.9469464e-24,-1.0520798e-06,1,-0.00010848961,6.1041721e-05,-0.19566419,-0.11267253,0.079751763,27.137293,5.7246346,520,85700,1.5358897,nan,0,nan,nan,450.81718,-26.50805,119.46919,207.467,1.0901764e-22,40.127446,-23.103053,85699.999,-5.2312755,-9.2975594,0,-23.243898,13.078189
0.06,0.10060796,0.0003655869,-6.5885423,1.8675464,0.013070193,-31.287504,-0.00048710764,1.5359189,-0.0004874043,-2.520383e-23,0.00068690412,-0.00041227618,2.0564637e-06,5.7489065e-24,-1.1283866e-06,0.1168398,3.1847829e-06,1.5989728e-23,-1.7275639e-06,1,-0.00023681057,0.00013014399,-0.16619709,-0.095657547,0.093162451,31.700266,6.5885423,520,86400,1.5358897,nan,0,nan,nan,615.11624,-36.168835,138.39296,240.44605,8.3688736e-22,46.20382,-26.547187,86399.997,-11.24444,-20.460433,0,-51.151082,28.1111
0.09,0.15925603,0.00086278751,-7.5929159,2.0553443,0.020744967,-35.990874,-0.00082266272,1.5359376,-0.00082316346,-1.5705691e-23,0.00054510827,-0.00036216217,2.9662621e-06,1.1882271e-23,-1.6124152e-06,0.16837111,3.6036182e-06,1.0534885e-23,-1.9608276e-06,1,-0.00027261424,0.00014836554,-0.14402424,-0.082926679,0.10676615,36.328767,7.5929159,520,87100,1.5358897,nan,0,nan,nan,807.77575,-47.497214,157.5516,273.62973,1.9839195e-21,53.007095,-30.369293,87099.996,-12.922638,-23.7447,0,-59.36175,32.306596
0.12,0.22358161,0.0016042161,-8.7389452,2.246296,0.029439645,-40.733844,-0.0011281397,1.5359527,-0.0011288261,-2.4657873e-23,0.00048681384,-0.00035983562,3.6404129e-06,1.4401894e-23,-2.0021039e-06,0.21689564,4.3861823e-06,1.6400437e-23,-2.4431933e-06,1,-0.0002671011,0.00014674285,-0.12673568,-0.073035866,0.12053752,41.014151,8.7389452,520,87800,1.5358897,nan,0,nan,nan,1029.4592,-60.532204,176.84112,306.86315,3.0878891e-21,59.635141,-34.086321,87799.996,-12.884022,-23.451476,0,-58.628691,32.210055
0.15,0.29368088,0.0026212035,-10.027817,2.4404537,0.039176016,-45.516313,-0.001458753,1.535968,-0.0014596401,-3.7381478e-23,0.0005458328,-0.00041549264,4.7924473e-06,1.8635655e-23,-2.6669055e-06,0.26258882,6.1869703e-06,2.3550131e-23,-3.4541181e-06,1,-0.00027942583,0.00015526649,-0.11287286,-0.065123782,0.13446129,45.751192,10.027817,520,88500,1.5358897,nan,0,nan,nan,1280.8338,-75.313028,196.18717,340.03116,4.9860351e-21,65.828273,-37.583797,88499.995,-13.741083,-24.729186,0,-61.822964,34.352709
0.18,0.36964819,0.0039440801,-11.460715,2.6376813,0.049886897,-50.338182,-0.0018420074,1.5359854,-0.0018431269,-3.9373712e-23,0.00061350778,-0.00047356975,6.6223833e-06,2.2777957e-23,-3.676617e-06,0.30561585,8.550809e-06,2.2799715e-23,-4.726863e-06,1,-0.00031224125,0.00017331963,-0.10150606,-0.058646427,0.14852765,50.536531,11.460715,520,89200,1.5358897,nan,0,nan,nan,1562.5685,-91.879026,215.53574,373.04992,7.333976e-21,71.896757,-41.020383,89199.994,-15.460111,-27.851919,0,-69.629798,38.650276
0.21,0.45157421,0.0056014536,-13.038819,2.8378952,0.061536797,-55.199353,-0.0022680117,1.5360042,-0.0022693893,-3.9396258e-23,0.00063925036,-0.00051261515,8.831784e-06,1.8386314e-23,-4.8761556e-06,0.34613232,1.0977687e-05,2.0591901e-23,-6.043874e-06,1,-0.00034531844,0.00019072951,-0.092014311,-0.053242773,0.16272995,55.367879,13.038819,520,89900,1.5358897,nan,0,nan,nan,1875.332,-110.26952,234.84328,405.85301,7.1504708e-21,78.057076,-44.485986,89899.993,-17.146581,-31.044127,0,-77.610317,42.866453
0.24,0.53954841,0.007621481,-14.763307,3.0410944,0.074127828,-60.099717,-0.0027240589,1.5360234,-0.0027257125,-2.5974202e-23,0.00064455444,-0.00054425525,1.1222996e-05,1.5763297e-23,-6.189237e-06,0.38428469,1.3548346e-05,1.2135061e-23,-7.4761406e-06,1,-0.00037058315,0.00020440731,-0.083965958,-0.04866321,0.17706348,60.243605,14.763307,520,90600,1.5358897,nan,0,nan,nan,2219.7924,-130.52379,254.06989,438.37929,7.139663e-21,84.236971,-47.935144,90599.992,-18.519301,-33.574832,0,-83.937081,46.298252
0.27,0.63366049,0.010032451,-16.635354,3.2472855,0.087661417,-65.039168,-0.0032089483,1.5360428,-0.0032108951,-1.3720075e-23,0.00065501247,-0.00057919549,1.3896463e-05,1.0730879e-23,-7.6752447e-06,0.42021093,1.6566592e-05,5.7045991e-24,-9.160659e-06,1,-0.00039229561,0.00021665945,-0.077051659,-0.044729664,0.1915248,65.162508,16.635354,520,91300,1.5358897,nan,0,nan,nan,2596.6174,-152.68111,273.17733,470.56905,5.6220777e-21,90.303961,-51.307638,91299.991,-19.781006,-35.816588,0,-89.54147,49.452516
