time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar
0,5000,1500,-1800,-160,0,0,0,-0,3.1415927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2246468e-16,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.02,4996.8,1499.998,-1800,-159.99984,-0.22340207,0,0,-0,-3.1401964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8008472e-16,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.04,4993.6,1499.9915,-1800,-159.99938,-0.44680371,0,0,-0,-3.1388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2803994e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.06,4990.4,1499.9806,-1800,-159.9986,-0.67020447,0,0,-0,-3.1374039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0806273e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.08,4987.2001,1499.9651,-1800,-159.9975,-0.89360393,0,0,-0,-3.1360076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8841513e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.1,4984.0001,1499.9453,-1800,-159.9961,-1.1170016,0,0,-0,-3.1346113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6873282e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.12,4980.8002,1499.9209,-1800,-159.99439,-1.3403972,0,0,-0,-3.1332151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.4859949e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.14,4977.6003,1499.8921,-1800,-159.99236,-1.5637901,0,0,-0,-3.1318188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2874372e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.16,4974.4005,1499.8588,-1800,-159.99002,-1.78718,0,0,-0,-3.1304225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0902672e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.18,4971.2007,1499.8211,-1800,-159.98737,-2.0105664,0,0,-0,-3.1290263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8917094e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.2,4968.001,1499.7788,-1800,-159.9844,-2.2339489,0,0,-0,-3.12763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.6966211e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.22,4964.8014,1499.7321,-1800,-159.98113,-2.457327,0,0,-0,-3.1262338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.487655e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.24,4961.6018,1499.681,-1800,-159.97754,-2.6807003,0,0,-0,-3.1248375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.2897912e-15,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.26,4958.4023,1499.6254,-1800,-159.97364,-2.9040684,0,0,-0,-3.1234412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.009054e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.28,4955.2028,1499.5653,-1800,-159.96943,-3.1274308,0,0,-0,-3.122045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0901002e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.3,4952.0035,1499.5007,-1800,-159.96491,-3.3507872,0,0,-0,-3.1206487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1711465e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.32,4948.8042,1499.4317,-1800,-159.96007,-3.574137,0,0,-0,-3.1192524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2506662e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.34,4945.6051,1499.3582,-1800,-159.95493,-3.7974798,0,0,-0,-3.1178562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3315737e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.36,4942.406,1499.2802,-1800,-159.94947,-4.0208153,0,0,-0,-3.1164599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4110935e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.38,4939.2071,1499.1978,-1800,-159.9437,-4.2441429,0,0,-0,-3.1150636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4910295e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.4,4936.0083,1499.1109,-1800,-159.93762,-4.4674622,0,0,-0,-3.1136674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5720758e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.42,4932.8096,1499.0196,-1800,-159.93122,-4.6907728,0,0,-0,-3.1122711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6522894e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.44,4929.611,1498.9237,-1800,-159.92452,-4.9140743,0,0,-0,-3.1108749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7322255e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.46,4926.4126,1498.8234,-1800,-159.9175,-5.1373662,0,0,-0,-3.1094786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8129942e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.48,4923.2143,1498.7187,-1800,-159.91017,-5.360648,0,0,-0,-3.1080823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8929303e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.5,4920.0161,1498.6095,-1800,-159.90253,-5.5839195,0,0,-0,-3.1066861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9725888e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.52,4916.8182,1498.4958,-1800,-159.89458,-5.80718,0,0,-0,-3.1052898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0547453e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.54,4913.6204,1498.3776,-1800,-159.88632,-6.0304292,0,0,-0,-3.1038935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1352364e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.56,4910.4227,1498.255,-1800,-159.87774,-6.2536667,0,0,-0,-3.1024973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2151725e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.58,4907.2252,1498.1279,-1800,-159.86885,-6.476892,0,0,-0,-3.101101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2951085e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.6,4904.0279,1497.9964,-1800,-159.85965,-6.7001046,0,0,-0,-3.0997048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3744895e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.62,4900.8308,1497.8604,-1800,-159.85014,-6.9233042,0,0,-0,-3.0983085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4522051e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.64,4897.6339,1497.7199,-1800,-159.84032,-7.1464903,0,0,-0,-3.0969122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5313085e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.66,4894.4372,1497.575,-1800,-159.83019,-7.3696624,0,0,-0,-3.095516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6112446e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.68,4891.2407,1497.4255,-1800,-159.81974,-7.5928202,0,0,-0,-3.0941197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6903479e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.7,4888.0444,1497.2717,-1800,-159.80898,-7.8159632,0,0,-0,-3.0927234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7713942e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.72,4884.8483,1497.1134,-1800,-159.79791,-8.0390909,0,0,-0,-3.0913272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8477221e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.74,4881.6524,1496.9506,-1800,-159.78653,-8.262203,0,0,-0,-3.0899309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9282132e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.76,4878.4568,1496.7833,-1800,-159.77484,-8.4852989,0,0,-0,-3.0885346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0048186e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.78,4875.2614,1496.6116,-1800,-159.76284,-8.7083784,0,0,-0,-3.0871384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.08642e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.8,4872.0663,1496.4354,-1800,-159.75052,-8.9314408,0,0,-0,-3.0857421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1619152e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.82,4868.8714,1496.2548,-1800,-159.7379,-9.1544858,0,0,-0,-3.0843459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2385206e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.84,4865.6767,1496.0697,-1800,-159.72496,-9.377513,0,0,-0,-3.0829496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3179015e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.86,4862.4824,1495.8801,-1800,-159.71171,-9.6005219,0,0,-0,-3.0815533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3995029e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.88,4859.2883,1495.6861,-1800,-159.69815,-9.8235121,0,0,-0,-3.0801571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.479439e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.9,4856.0944,1495.4876,-1800,-159.68428,-10.046483,0,0,-0,-3.0787608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5571546e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.92,4852.9009,1495.2847,-1800,-159.67009,-10.269435,0,0,-0,-3.0773645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6376457e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.94,4849.7076,1495.0773,-1800,-159.6556,-10.492366,0,0,-0,-3.0759683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7142511e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.96,4846.5146,1494.8655,-1800,-159.64079,-10.715277,0,0,-0,-3.074572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7925219e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
0.98,4843.3219,1494.6491,-1800,-159.62568,-10.938167,0,0,-0,-3.0731757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8719028e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1,4840.1295,1494.4284,-1800,-159.61025,-11.161036,0,0,-0,-3.0717795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9518389e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.02,4836.9375,1494.2031,-1800,-159.59451,-11.383883,0,0,-0,-3.0703832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.03233e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.04,4833.7457,1493.9735,-1800,-159.57846,-11.606708,0,0,-0,-3.068987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1094905e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.06,4830.5543,1493.7393,-1800,-159.5621,-11.82951,0,0,-0,-3.0675907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1905368e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.08,4827.3632,1493.5007,-1800,-159.54542,-12.052289,0,0,-0,-3.0661944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.2732484e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.1,4824.1725,1493.2577,-1800,-159.52844,-12.275045,0,0,-0,-3.0647982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3542947e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.12,4820.9821,1493.0102,-1800,-159.51115,-12.497776,0,0,-0,-3.0634019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.435341e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.14,4817.792,1492.7582,-1800,-159.49354,-12.720484,0,0,-0,-3.0620056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5130566e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.16,4814.6023,1492.5018,-1800,-159.47562,-12.943166,0,0,-0,-3.0606094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5952131e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.18,4811.4129,1492.2409,-1800,-159.4574,-13.165823,0,0,-0,-3.0592131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.6757043e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.2,4808.2239,1491.9756,-1800,-159.43886,-13.388455,0,0,-0,-3.0578168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7595261e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.22,4805.0353,1491.7058,-1800,-159.42001,-13.61106,0,0,-0,-3.0564206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8439031e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.24,4801.8471,1491.4316,-1800,-159.40085,-13.833639,0,0,-0,-3.0550243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.9277249e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.26,4798.6593,1491.1529,-1800,-159.38138,-14.056191,0,0,-0,-3.0536281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0132121e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.28,4795.4718,1490.8698,-1800,-159.3616,-14.278716,0,0,-0,-3.0522318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0909277e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.3,4792.2848,1490.5822,-1800,-159.3415,-14.501213,0,0,-0,-3.0508355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1697535e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.32,4789.0981,1490.2902,-1800,-159.3211,-14.723681,0,0,-0,-3.0494393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2485793e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.34,4785.9119,1489.9937,-1800,-159.30039,-14.946121,0,0,-0,-3.048043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3268501e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.36,4782.7261,1489.6928,-1800,-159.27936,-15.168532,0,0,-0,-3.0466467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.4134475e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.38,4779.5407,1489.3874,-1800,-159.25803,-15.390913,0,0,-0,-3.0452505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.4978244e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.4,4776.3557,1489.0776,-1800,-159.23638,-15.613264,0,0,-0,-3.0438542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.580536e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.42,4773.1712,1488.7634,-1800,-159.21443,-15.835585,0,0,-0,-3.042458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.6593619e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.44,4769.9871,1488.4446,-1800,-159.19216,-16.057874,0,0,-0,-3.0410617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.7431837e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.46,4766.8034,1488.1215,-1800,-159.16959,-16.280133,0,0,-0,-3.0396654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.8164584e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.48,4763.6203,1487.7939,-1800,-159.1467,-16.50236,0,0,-0,-3.0382692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.8952843e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.5,4760.4375,1487.4618,-1800,-159.1235,-16.724554,0,0,-0,-3.0368729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.9796612e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.52,4757.2553,1487.1253,-1800,-159.1,-16.946716,0,0,-0,-3.0354766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0529359e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.54,4754.0735,1486.7844,-1800,-159.07618,-17.168845,0,0,-0,-3.0340804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.1306515e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.56,4750.8922,1486.439,-1800,-159.05205,-17.39094,0,0,-0,-3.0326841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2139183e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.58,4747.7114,1486.0892,-1800,-159.02761,-17.613002,0,0,-0,-3.0312878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2982952e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.6,4744.531,1485.735,-1800,-159.00287,-17.835029,0,0,-0,-3.0298916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3749006e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.62,4741.3512,1485.3763,-1800,-158.97781,-18.057022,0,0,-0,-3.0284953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4526162e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
1.64,4738.1719,1485.0131,-1800,-158.95244,-18.278979,0,0,-0,-3.0270991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5369932e-14,0.48002529,160,1800,1,0,nan,nan,nan,nan,nan,13144.792
