time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-100,90,0,-55,0,0.54105207,0,0,0,0,-0.0010540848,0,-1.5412844e-05,0.004,-0.010540848,0,-0.00015412844,1,0,0,-0.0074973343,0,0.3103031,105.47512,100,85,16000,0.54858125,nan,0.00011009174,nan,nan,6748.8865,-63.574511,0.01959728,23.583429,0,37.562378,0.18682741,16000,0,0,0,0,0
0.02,1.8290274,3.8061143e-07,-101.11562,93.230797,7.8443956e-05,-56.738804,4.0288874e-06,0.54126279,7.8243049e-06,-8.2866057e-07,0.022424582,0.0012704439,-0.0025305781,-7.3595017e-07,-0.00055428287,0.043130476,0.00048976427,-3.0159448e-06,-0.0010622569,1,0,0,-0.0054448368,-5.9871114e-06,0.32108549,109.13878,101.11562,84.874539,16133.333,0.54889453,nan,0.0012181439,nan,nan,7225.0969,-68.060413,0.7735104,20.738277,-0.00016655016,23.748884,5.5649423,16133.333,0,0,0,0,0
0.04,3.7229354,4.582235e-06,-102.2662,96.490712,0.00043547366,-58.498913,3.5834315e-05,0.54174624,6.9845826e-05,-2.8719064e-05,0.022157797,0.0044090642,2.0549228e-05,-9.1505994e-06,-0.00086330433,0.080723608,0.00057009795,-2.1487686e-05,-0.00098420846,1,0,0,-0.0032669295,-5.5984705e-05,0.33197505,112.83874,102.2662,84.749077,16266.667,0.54919835,nan,0.0023393097,nan,nan,7722.4274,-72.745266,1.4460818,11.060607,-0.0022040642,-16.896533,5.9978486,16266.667,0,0,0,0,0
0.06,5.6823018,1.9660049e-05,-103.45218,99.779697,0.0012491406,-60.28052,0.00010218095,0.54212425,0.00020149589,-0.0001651212,0.016340087,0.0069801629,-0.00098184987,-2.573173e-05,-0.00097824847,0.1168398,-0.0022583808,-4.0464456e-05,-0.0011162417,1,0,0,-0.0013309628,-0.0001618866,0.34297183,116.57499,103.45218,84.623616,16400,0.54949251,nan,0.0034737879,nan,nan,8241.3554,-77.633568,2.1053973,6.3464352,-0.0065708495,-2.1616803,4.3995471,16400,0,0,0,0,0
0.08,7.7077145,5.7034991e-05,-104.67397,103.09833,0.002783997,-62.082773,0.00019256496,0.54245326,0.00038747364,-0.0004422609,0.016998413,0.0091765879,-0.0017192505,-3.7217256e-05,-0.0011831505,0.15153706,-0.0019033886,-4.3486746e-05,-0.001383389,1,0,0,0.00043936381,-0.00030872008,0.35407589,120.34756,104.67397,84.498155,16533.333,0.54977682,nan,0.0046217788,nan,nan,8782.3633,-82.729862,3.1495215,1.1484034,-0.010020045,1.5316036,4.5416606,16533.333,0,0,0,0,0
0.1,9.7997658,0.00013359588,-105.932,106.44648,0.0053085402,-63.906001,0.00030373507,0.54279352,0.00062598838,-0.0008015283,0.016606714,0.011469639,-0.0018397047,-4.0721889e-05,-0.0013860063,0.18487116,-0.0020433436,-4.2605979e-05,-0.0015525914,1,0,0,0.0021108553,-0.00049329892,0.36528731,124.15647,105.932,84.372694,16666.667,0.55005111,nan,0.0057834813,nan,nan,9345.9388,-88.038743,4.4671512,-5.4330897,-0.011495659,-2.6633438,4.5133908,16666.667,0,0,0,0,0
0.12,11.959045,0.00027140405,-107.22669,109.82411,0.0090752674,-65.750353,0.000434673,0.54311422,0.0009173007,-0.0012035355,0.015469727,0.013651991,-0.0022062311,-4.3526725e-05,-0.0015651644,0.21689564,-0.0025687174,-4.6854528e-05,-0.0017272269,1,0,0,0.0036603108,-0.00071454836,0.37660618,128.00174,107.22669,84.247232,16800,0.55031518,nan,0.0069590927,nan,nan,9932.5744,-93.564851,6.0488627,-11.85372,-0.012871444,-1.382569,4.2078339,16800,0,0,0,0,0
0.14,14.186144,0.00049765273,-108.55845,113.23131,0.014347289,-67.615808,0.00058289429,0.54341841,0.0012583484,-0.0016605953,0.014945141,0.015723652,-0.0025411415,-4.7630755e-05,-0.0017476558,0.24766195,-0.0027961847,-5.1166598e-05,-0.0019116646,1,0,0,0.005099172,-0.00096863477,0.3880326,131.88339,108.55845,84.121771,16933.333,0.55056885,nan,0.0081488087,nan,nan,10542.767,-99.312869,7.9605295,-18.585264,-0.014767433,-1.0388829,4.0782459,16933.333,0,0,0,0,0
0.16,16.481652,0.00084485923,-109.92771,116.66808,0.021392646,-69.502458,0.00074625895,0.54371188,0.0016472718,-0.0021786998,0.014337784,0.01773243,-0.0028146577,-5.0533342e-05,-0.0019263305,0.27721952,-0.0030649597,-5.233222e-05,-0.0020847038,1,0,0,0.0064398448,-0.0012528757,0.39956666,135.80145,109.92771,83.99631,17066.667,0.55081194,nan,0.0093528238,nan,nan,11177.02,-105.28753,10.212273,-25.714682,-0.016383777,-1.2976461,3.9302847,17066.667,0,0,0,0,0
0.18,18.846162,0.0013509145,-111.33489,120.13444,0.030481501,-71.410377,0.00092284317,0.54399273,0.0020824347,-0.0027425027,0.013737976,0.019661879,-0.0030911932,-5.1813152e-05,-0.0021007565,0.30561585,-0.0033322865,-5.2648863e-05,-0.0022569641,1,0,0,0.0076865923,-0.0015649122,0.41120848,139.75595,111.33489,83.870849,17200,0.55104424,nan,0.010571331,nan,nan,11835.838,-111.49359,12.82671,-33.100639,-0.017505798,-1.0778311,3.774624,17200,0,0,0,0,0
