time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-2,2.6,0,-29.9,0,1.4835299,0,0,0,0,0.006981317,0,0,0.004,0.19160205,0,0,1,0,0,-0.13405503,-0.067319448,0.088159585,29.9995,2,85,6670,1.4835299,0,0,nan,nan,551.1258,-27.33532,150.82144,253.1316,0,541.84704,-322.15258,6670,0,0,0,0,0
0.05,0.1415535,0.002122114,-3.577494,3.0770187,0.087961042,-33.364408,-0.0093519947,1.4847394,-0.0093872081,4.1890014e-19,0.047380214,-0.033655883,0.14018676,-1.7937694e-20,-0.0024332751,0.098962639,0.17065124,-6.2832819e-20,-0.0045111306,1,0,0,-0.11370449,-0.056787647,0.098248113,33.431893,3.577494,84.761884,6920,1.4835299,0,0,nan,nan,684.35095,-35.429921,150.89217,197.81804,-4.0388254e-20,375.54351,-323.47278,6920,0,0,0,0,0
0.1,0.3064694,0.0083842349,-5.3319622,3.5361081,0.16180979,-36.985141,-0.038926509,1.4879283,-0.039067431,1.1756517e-18,0.083042799,-0.063639089,0.15592589,-1.3038844e-19,-0.0063541025,0.18487116,0.15389066,-1.7634151e-19,-0.0085299869,1,0,0,-0.095331931,-0.046649959,0.10883509,37.033698,5.3319622,84.523768,7170,1.4835299,0,0,nan,nan,839.61065,-44.160272,132.266,178.0596,-1.1047919e-19,321.04358,-274.25979,7170,0,0,0,0,0
0.15,0.49402243,0.017965898,-7.2712221,3.9801922,0.22066806,-40.762476,-0.09116228,1.4925784,-0.091472748,-1.3509764e-18,0.11370528,-0.093835181,0.14691606,2.6298602e-20,-0.010328173,0.26258882,0.14063785,2.0263921e-19,-0.012577378,1,0,0,-0.078354572,-0.036622616,0.11990998,40.801298,7.2712221,84.285652,7420,1.4835299,0,0,nan,nan,1018.9453,-54.508582,128.89192,155.16111,7.4068329e-18,263.59288,-277.28397,7420,0,0,0,0,0
0.2,0.70317108,0.029804943,-9.4031247,4.3968422,0.24709215,-44.697303,-0.17216606,1.498121,-0.17270691,9.086679e-19,0.13776958,-0.11977508,0.13576469,-3.3063264e-20,-0.014108691,0.33289656,0.12973443,-1.3629526e-19,-0.016054282,1,0,0,-0.062691389,-0.026800146,0.13146917,44.733423,9.4031247,84.047536,7670,1.4835299,0,0,nan,nan,1224.5549,-65.605045,101.33205,125.38374,-8.5940507e-20,191.96334,-214.60331,7670,0,0,0,0,0
0.25,0.93217652,0.041897808,-11.734442,4.769103,0.2274903,-48.717145,-0.28594479,1.5037739,-0.28676257,-4.1621847e-18,0.15340619,-0.13822408,0.12551346,6.3330733e-19,-0.017114058,0.39650088,0.11998254,6.2430491e-19,-0.018527129,1,0,0,-0.048479071,-0.017471896,0.14329345,48.755446,11.734442,83.80394,7663.0208,1.4835299,0,0,nan,nan,1454.3303,-77.198198,65.847215,87.508644,2.5101544e-16,101.75147,-133.38355,7663.0208,0,0,0,0,0
0.3,1.1784154,0.051746871,-14.266886,5.0827684,0.15404973,-52.742444,-0.43253562,1.5086108,-0.43365817,-1.3196836e-18,0.15889698,-0.14747141,0.11565596,5.8359261e-20,-0.019028001,0.45404091,0.11003311,1.9794524e-19,-0.019766612,1,0,0,-0.03589168,-0.0088980138,0.15514332,52.785844,14.266886,83.560345,7656.0417,1.4835299,0,0,nan,nan,1704.3003,-88.965772,24.671659,43.447061,2.72183e-17,-2.0113025,-38.544049,7656.0417,0,0,0,0,0
0.35,1.4388422,0.056527911,-17.000704,5.333891,0.021983102,-56.772083,-0.60272446,1.5117927,-0.60415807,5.1994778e-18,0.15335443,-0.14644232,0.10503771,-3.1635346e-19,-0.01964973,0.50609484,0.098722307,-7.7989258e-19,-0.019628676,1,0,0,-0.025069766,-0.001339206,0.16701173,56.82219,17.000704,83.316749,7649.0625,1.4835299,0,0,nan,nan,1974.3906,-100.55294,-18.87345,-1.972674,-5.7109403e-19,-107.98647,62.656656,7649.0625,0,0,0,0,0
0.4,1.7103433,0.053282256,-19.936084,5.5240155,-0.16903832,-60.804861,-0.77606071,1.5129381,-0.777789,1.1432158e-18,0.13721991,-0.13492684,0.092943976,-2.926599e-19,-0.018885811,0.55318574,0.085770647,-1.7147591e-19,-0.018085177,1,0,0,-0.016180227,0.0049230515,0.17889328,60.862619,19.936084,83.073153,7642.0833,1.4835299,0,0,nan,nan,2264.5191,-111.8573,-60.922379,-43.563997,-1.3490316e-19,-202.61091,160.9218,7642.0833,0,0,0,0,0
0.45,1.9900159,0.039148312,-23.073154,5.6601851,-0.41460296,-64.839594,-0.92855085,1.5123557,-0.93053621,-8.1090105e-19,0.11228119,-0.11373146,0.079633116,3.7121057e-20,-0.016769337,0.59578681,0.072031003,1.2163052e-19,-0.015244213,1,0,0,-0.0093445281,0.0096335662,0.19078407,64.905773,23.073154,82.829558,7635.1042,1.4835299,0,0,nan,nan,2574.6044,-123.06259,-97.458635,-76.76898,2.6182501e-17,-274.79305,246.15792,7635.1042,0,0,0,0,0
