time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar
0,2000,-1000,-1000,50,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079829986,0.14909212,50.159745,1000,1,0,nan,nan,nan,nan,nan,1398.4679
0.1,2005,-999.98756,-1000,49.999315,0.26179819,0,0,-0,0.0052359878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079862207,0.14903005,50.138863,1000,1,0,nan,nan,nan,nan,nan,1397.3037
0.2,2009.9998,-999.94895,-1000,49.997258,0.52358921,0,0,-0,0.010471976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079892272,0.14896796,50.117974,1000,1,0,nan,nan,nan,nan,nan,1396.1397
0.3,2014.9994,-999.88416,-1000,49.993832,0.78536587,0,0,-0,0.015707963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079920179,0.14890585,50.097076,1000,1,0,nan,nan,nan,nan,nan,1394.9756
0.4,2019.9986,-999.79319,-1000,49.989034,1.047121,0,0,-0,0.020943951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079945924,0.14884371,50.076172,1000,1,0,nan,nan,nan,nan,nan,1393.8117
0.5,2024.9972,-999.67604,-1000,49.982866,1.3088474,0,0,-0,0.026179939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079969504,0.14878156,50.055262,1000,1,0,nan,nan,nan,nan,nan,1392.6479
0.6,2029.9951,-999.53273,-1000,49.975328,1.570538,0,0,-0,0.031415927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079990914,0.14871939,50.034345,1000,1,0,nan,nan,nan,nan,nan,1391.4843
0.7,2034.9922,-999.36324,-1000,49.96642,1.8321854,0,0,-0,0.036651914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080010153,0.1486572,50.013423,1000,1,0,nan,nan,nan,nan,nan,1390.3208
0.8,2039.9884,-999.1676,-1000,49.956142,2.0937827,0,0,-0,0.041887902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080027216,0.148595,49.992497,1000,1,0,nan,nan,nan,nan,nan,1389.1576
0.9,2044.9835,-998.9458,-1000,49.944494,2.3553225,0,0,-0,0.04712389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0800421,0.14853279,49.971566,1000,1,0,nan,nan,nan,nan,nan,1387.9946
1,2049.9773,-998.69784,-1000,49.931477,2.6167978,0,0,-0,0.052359878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080054803,0.14847056,49.950632,1000,1,0,nan,nan,nan,nan,nan,1386.8319
1.1,2054.9698,-998.42375,-1000,49.917091,2.8782013,0,0,-0,0.057595865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080065321,0.14840833,49.929694,1000,1,0,nan,nan,nan,nan,nan,1385.6695
1.2,2059.9608,-998.12351,-1000,49.901336,3.139526,0,0,-0,0.062831853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080073651,0.14834609,49.908755,1000,1,0,nan,nan,nan,nan,nan,1384.5075
1.3,2064.9501,-997.79715,-1000,49.884214,3.4007645,0,0,-0,0.068067841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08007979,0.14828384,49.887813,1000,1,0,nan,nan,nan,nan,nan,1383.3459
1.4,2069.9377,-997.44467,-1000,49.865724,3.6619099,0,0,-0,0.073303829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080083735,0.14822159,49.86687,1000,1,0,nan,nan,nan,nan,nan,1382.1847
1.5,2074.9233,-997.06608,-1000,49.845867,3.9229548,0,0,-0,0.078539816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080085484,0.14815934,49.845926,1000,1,0,nan,nan,nan,nan,nan,1381.0239
1.6,2079.9069,-996.66139,-1000,49.824643,4.1838922,0,0,-0,0.083775804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080085033,0.14809709,49.824982,1000,1,0,nan,nan,nan,nan,nan,1379.8636
1.7,2084.8883,-996.23061,-1000,49.802053,4.4447148,0,0,-0,0.089011792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08008238,0.14803484,49.804039,1000,1,0,nan,nan,nan,nan,nan,1378.7038
1.8,2089.8674,-995.77375,-1000,49.778098,4.7054157,0,0,-0,0.09424778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080077522,0.14797259,49.783096,1000,1,0,nan,nan,nan,nan,nan,1377.5446
1.9,2094.844,-995.29083,-1000,49.752778,4.9659875,0,0,-0,0.099483767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080070457,0.14791035,49.762155,1000,1,0,nan,nan,nan,nan,nan,1376.3859
2,2099.818,-994.78186,-1000,49.726095,5.2264232,0,0,-0,0.10471976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080061181,0.14784811,49.741216,1000,1,0,nan,nan,nan,nan,nan,1375.2279
