time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
0,0,0,-900,60,0,0,0,0.034906585,0,0,0,0,0.006981317,0,0,0,0.06981317,0,0,0,0,0,0.034906585,-0.06660862,0.17853081,60.133186,900,1200,0,nan,nan,0,900,60,2029.6897,-869.75936,860.73141,-15393.173,2203.4505,-2166.9828,-1401.3277,0,0,0,0,0,0
0.1,5.9943989,0.0033458868,-900.01328,59.882708,0.069378011,-0.25086587,0.003841641,0.028355692,-0.0022411132,0.042032207,-0.11922312,-0.042313674,-0.0006606202,-0.020703008,-0.013644528,0,-0.026781003,-0.021976046,-0.021156837,0,0,0,0.024410297,-0.063228478,0.17817132,60.012094,900.01328,1200,0,nan,nan,0,900,60,2021.5208,-985.40674,730.20505,-13507.19,-449.67239,-530.38765,-760.4354,0,0,0,0,0,0
0.2,11.977391,0.013237313,-900.04206,59.772944,0.12964703,-0.29812299,0.0069156465,0.017162984,-0.0076088754,0.030644796,-0.090137295,-0.06211954,-0.024438216,-0.011060298,-0.026738156,0.00045958208,-0.021912045,-0.0063270648,-0.03105977,0.0051003291,0,0,0.012572395,-0.056969982,0.1778352,59.898859,900.04206,1200,1.297029,nan,nan,0,900,60,2013.8937,-1084.0021,567.32294,-11451.696,189.15577,904.87009,-330.20156,1.297029,0,0,0,0,0
0.3,17.949707,0.028675351,-900.0695,59.668881,0.18036078,-0.23807198,0.010689766,0.01002969,-0.014315398,0.047187513,-0.058225318,-0.069529809,-0.014183509,-0.0042990983,-0.033085107,0.0018510402,-0.011343712,-0.0020270947,-0.034764904,0.010621567,0,0,0.0065734685,-0.049544543,0.17751647,59.791485,900.0695,1200,5.2239815,nan,nan,0,900,60,2006.6746,-1128.4331,431.84091,-10737.305,182.34879,284.82875,-73.400853,5.2239815,0,0,0,0,0
0.4,23.911813,0.048871923,-900.08856,59.568924,0.2250723,-0.13127029,0.015946496,0.0049154449,-0.021371697,0.05900423,-0.045514659,-0.069301949,-0.013595258,0.00062197788,-0.034667534,0.0039829612,-0.014513573,0.0027199845,-0.034650975,0.016025637,0,0,0.0033826572,-0.041865957,0.17721093,59.688559,900.08856,1200,11.240646,nan,nan,0,900,60,1999.7681,-1145.1896,323.00649,-10268.877,135.78632,252.19429,73.529601,11.240646,0,0,0,0,0
0.5,29.864115,0.073371509,-900.09536,59.472943,0.26670268,0.0054020791,0.022278253,0.0011723685,-0.028193374,0.067908103,-0.031076168,-0.065017156,-0.015068292,0.0045810176,-0.033445833,0.0066989579,-0.015405805,0.0060695642,-0.032508578,0.021312007,0,0,0.002031545,-0.034460777,0.17691834,59.590003,900.09536,1200,18.905678,nan,nan,0,900,60,1993.1684,-1149.1749,235.34769,-10043.191,90.664032,263.59594,147.81115,18.905678,0,0,0,0,0
0.6,35.80699,0.1019844,-900.0879,59.380486,0.30766862,0.15091604,0.029338188,-0.0011531621,-0.034467731,0.072842657,-0.018612674,-0.058701199,-0.015714609,0.0072992615,-0.030756024,0.0098728798,-0.016087302,0.0083054868,-0.029350599,0.026499263,0,0,0.002194609,-0.027580676,0.17663734,59.495363,900.0879,1200,27.863077,nan,nan,0,900,60,1986.8438,-1144.9561,163.76129,-10045.226,37.343196,200.30006,184.35156,27.863077,0,0,0,0,0
0.7,41.740772,0.13473943,-900.06608,59.291174,0.34988097,0.29069242,0.036716362,-0.0023637918,-0.04004063,0.074010088,-0.0091799341,-0.051455075,-0.016823415,0.0090678915,-0.027347591,0.013405462,-0.017396229,0.0096841208,-0.025727537,0.031608962,0,0,0.0033164082,-0.021336882,0.17636644,59.404134,900.06608,1200,37.832729,nan,nan,0,900,60,1980.7595,-1135.0635,104.97352,-10173.961,-6.6975852,156.36748,199.0663,37.832729,0,0,0,0,0
0.8,47.66576,0.17183233,-900.03089,59.204722,0.39476073,0.41660015,0.044062671,-0.002722328,-0.044846638,0.072121732,-0.0018027651,-0.043917812,-0.01811553,0.010053929,-0.023647368,0.017219245,-0.018691277,0.010353707,-0.021958906,0.036661068,0,0,0.0050014769,-0.015767518,0.17610427,59.315852,900.03089,1200,48.596056,nan,nan,0,900,60,1974.8834,-1121.4587,56.774228,-10377.219,-41.574062,121.10431,201.01081,48.596056,0,0,0,0,0
0.9,53.582228,0.21358135,-899.98397,59.120863,0.44332473,0.52397877,0.051100676,-0.0024327078,-0.048873119,0.067882381,0.0037554749,-0.036467177,-0.019370333,0.010422112,-0.019904013,0.021254497,-0.019925214,0.010476817,-0.018233588,0.041675363,0,0,0.0069788642,-0.010871405,0.17584949,59.230068,899.98397,1200,59.984516,nan,nan,0,900,60,1969.1843,-1105.4419,17.558576,-10619.188,-67.246005,88.872591,195.17683,59.984516,0,0,0,0,0
