time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-1,2.2,0,-24.9,0,1.4835299,0,0,0,0,-3.7007434e-17,0,0,0.004,-5.5511151e-16,-0,0,1,0,0,-0.11938393,0,0.073210606,24.912848,1,85,6000,1.4835299,0,0,nan,nan,380.11164,-6.5189146,-0,22.235818,0,80.048945,0,6000,0,0,0,0,0
0.05,0.1177933,0,-2.3186386,2.5271171,0,-27.99521,0,1.4838323,0,0,0.012631146,0,0.0021045924,0,0,0.098962639,0.0039410418,-0,0,1,0,0,-0.10385395,0,0.082281606,27.999204,2.3186386,84.769993,6250,1.4835299,0,0,nan,nan,480.06581,-8.2331287,-0,24.355538,0,81.028675,0,6250,0,0,0,0,0
0.1,0.25225434,0,-3.7957742,2.8667779,0,-31.246263,0,1.4847657,0,0,0.025138075,0,0.0058809111,0,0,0.18487116,0.0081633191,-0,0,1,0,0,-0.090294171,0,0.091826144,31.246547,3.7957742,84.539986,6500,1.4835299,0,0,nan,nan,597.79447,-10.252175,-0,26.19051,0,78.35633,0,6500,0,0,0,0,0
0.15,0.40394546,0,-5.4392207,3.2162321,0,-34.65407,0,1.4863103,0,0,0.036954168,0,0.010091867,0,0,0.26258882,0.01249007,-0,0,1,0,0,-0.078246362,0,0.10184391,34.654744,5.4392207,84.309979,6750,1.4835299,0,0,nan,nan,735.19865,-12.608657,-0,27.642708,0,72.007462,0,6750,0,0,0,0,0
0.2,0.57328555,0,-7.2568377,3.5725006,0,-38.219537,0,1.4884175,0,0,0.047491704,0,0.014360877,0,0,0.33289656,0.01672366,-0,0,1,0,0,-0.067400689,0,0.11233508,38.223825,7.2568377,84.079972,7000,1.4835299,0,0,nan,nan,894.27645,-15.336841,-0,28.590745,0,61.822085,0,7000,0,0,0,0,0
0.25,0.76045111,0,-9.2554181,3.9266365,0,-41.871032,0,1.4910089,0,0,0.056148672,0,0.018447404,0,0,0.39650088,0.020646936,-0,0,1,0,0,-0.057660298,0,0.12308668,41.881284,9.2554181,83.841118,6994.7917,1.4835299,0,0,nan,nan,1073.3964,-18.408749,-0,28.871854,0,47.814106,0,6994.7917,0,0,0,0,0
0.3,0.96506825,0,-11.43676,4.269777,0,-45.530306,0,1.4939766,0,0,0.062361597,0,0.022126373,0,0,0.45404091,0.024039067,-0,0,1,0,0,-0.048938299,0,0.13386627,45.548009,11.43676,83.602265,6989.5833,1.4835299,0,0,nan,nan,1269.3109,-21.768681,-0,28.373513,0,30.563868,0,6989.5833,0,0,0,0,0
0.35,1.1865412,0,-13.801252,4.6000983,0,-49.197338,0,1.4971875,0,0,0.065703224,0,0.025189324,0,0,0.50609484,0.026706857,-0,0,1,0,0,-0.041096196,0,0.14467201,49.223352,13.801252,83.363411,6984.375,1.4835299,0,0,nan,nan,1482.0845,-25.417749,-0,27.100982,0,11.193136,0,6984.375,0,0,0,0,0
0.4,1.4241969,0,-16.34928,4.9163795,0,-52.872039,0,1.5004916,0,0,0.065946898,0,0.027466666,0,0,0.55318574,0.028508202,-0,0,1,0,0,-0.034075002,0,0.15550235,52.906757,16.34928,83.124558,6979.1667,1.4835299,0,0,nan,nan,1711.7747,-29.356936,-0,25.125345,0,-8.8570615,0,6979.1667,0,0,0,0,0
0.45,1.6773178,0,-19.081224,5.2180967,0,-56.554257,0,1.5037332,0,0,0.063106968,0,0.028847561,0,0,0.59578681,0.029369692,-0,0,1,0,0,-0.027862517,0,0.16635593,56.597738,19.081224,82.885704,6973.9583,1.4835299,0,0,nan,nan,1958.4321,-33.58711,-0,22.5853,0,-27.963241,0,6973.9583,0,0,0,0,0
