time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar
0,9000,1500,-6000,-250,0,0,0,-0,3.1415927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2246468e-16,0.80581012,255,6000,1,0,nan,nan,nan,nan,nan,21461.869
0.02,8995,1499.9992,-6000,-249.99998,-0.087266461,0,0,-0,-3.1412436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8444283e-06,0.80581012,255,6000,1,0,nan,nan,nan,nan,nan,21461.869
0.04,8990,1499.9967,-6000,-249.99994,-0.17453291,0,0,-0,-3.1408945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3688856e-05,0.80581012,255,6000,1,0,nan,nan,nan,nan,nan,21461.869
0.06,8985,1499.9924,-6000,-249.99986,-0.26179934,0,0,-0,-3.1405455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0533282e-05,0.80581012,255,6000,1,0,nan,nan,nan,nan,nan,21461.869
0.08,8980,1499.9864,-6000,-249.99976,-0.34906574,0,0,-0,-3.1401964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7377705e-05,0.80581011,255,6000,1,0,nan,nan,nan,nan,nan,21461.869
0.1,8975,1499.9786,-6000,-249.99962,-0.43633209,0,0,-0,-3.1398473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4222126e-05,0.8058101,254.99999,6000,1,0,nan,nan,nan,nan,nan,21461.868
0.12,8970,1499.9691,-6000,-249.99945,-0.52359839,0,0,-0,-3.1394983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1066542e-05,0.80581009,254.99999,6000,1,0,nan,nan,nan,nan,nan,21461.867
0.14,8965,1499.9579,-6000,-249.99925,-0.61086463,0,0,-0,-3.1391492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7910954e-05,0.80581008,254.99999,6000,1,0,nan,nan,nan,nan,nan,21461.867
0.16,8960.0001,1499.9448,-6000,-249.99903,-0.69813079,0,0,-0,-3.1388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.475536e-05,0.80581006,254.99998,6000,1,0,nan,nan,nan,nan,nan,21461.866
0.18,8955.0001,1499.9301,-6000,-249.99877,-0.78539687,0,0,-0,-3.1384511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.159976e-05,0.80581005,254.99998,6000,1,0,nan,nan,nan,nan,nan,21461.865
0.2,8950.0001,1499.9136,-6000,-249.99848,-0.87266285,0,0,-0,-3.138102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8444153e-05,0.80581003,254.99997,6000,1,0,nan,nan,nan,nan,nan,21461.864
0.22,8945.0001,1499.8954,-6000,-249.99816,-0.95992873,0,0,-0,-3.1377529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.5288539e-05,0.80581001,254.99996,6000,1,0,nan,nan,nan,nan,nan,21461.863
0.24,8940.0002,1499.8754,-6000,-249.99781,-1.0471945,0,0,-0,-3.1374039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.2132915e-05,0.80580999,254.99996,6000,1,0,nan,nan,nan,nan,nan,21461.862
0.26,8935.0002,1499.8537,-6000,-249.99743,-1.1344601,0,0,-0,-3.1370548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8977282e-05,0.80580997,254.99995,6000,1,0,nan,nan,nan,nan,nan,21461.861
0.28,8930.0003,1499.8302,-6000,-249.99701,-1.2217256,0,0,-0,-3.1367057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.5821639e-05,0.80580994,254.99994,6000,1,0,nan,nan,nan,nan,nan,21461.859
0.3,8925.0003,1499.805,-6000,-249.99657,-1.308991,0,0,-0,-3.1363567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00010266598,0.80580991,254.99993,6000,1,0,nan,nan,nan,nan,nan,21461.858
0.32,8920.0004,1499.778,-6000,-249.9961,-1.3962561,0,0,-0,-3.1360076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00010951032,0.80580988,254.99992,6000,1,0,nan,nan,nan,nan,nan,21461.856
0.34,8915.0005,1499.7493,-6000,-249.9956,-1.4835212,0,0,-0,-3.1356585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00011635464,0.80580985,254.99991,6000,1,0,nan,nan,nan,nan,nan,21461.855
0.36,8910.0006,1499.7188,-6000,-249.99507,-1.570786,0,0,-0,-3.1353095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00012319895,0.80580982,254.9999,6000,1,0,nan,nan,nan,nan,nan,21461.853
0.38,8905.0007,1499.6866,-6000,-249.9945,-1.6580506,0,0,-0,-3.1349604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00013004324,0.80580978,254.99989,6000,1,0,nan,nan,nan,nan,nan,21461.851
0.4,8900.0008,1499.6527,-6000,-249.99391,-1.7453151,0,0,-0,-3.1346113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00013688752,0.80580975,254.99988,6000,1,0,nan,nan,nan,nan,nan,21461.849
0.42,8895.0009,1499.617,-6000,-249.99328,-1.8325793,0,0,-0,-3.1342623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00014373178,0.80580971,254.99987,6000,1,0,nan,nan,nan,nan,nan,21461.847
0.44,8890.0011,1499.5796,-6000,-249.99263,-1.9198433,0,0,-0,-3.1339132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00015057603,0.80580967,254.99986,6000,1,0,nan,nan,nan,nan,nan,21461.845
0.46,8885.0012,1499.5404,-6000,-249.99194,-2.0071071,0,0,-0,-3.1335641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00015742026,0.80580963,254.99984,6000,1,0,nan,nan,nan,nan,nan,21461.843
0.48,8880.0014,1499.4994,-6000,-249.99123,-2.0943706,0,0,-0,-3.1332151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00016426447,0.80580958,254.99983,6000,1,0,nan,nan,nan,nan,nan,21461.84
