time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-3,8,0,-35,0,1.3613568,0,0,0,0,0.015707963,0,0,0.004,0.7854,-0,0,1,0,0,-0.12393422,0,0.10323287,35.128336,3,155,52000,1.3461661,nan,3.7189189e-05,nan,nan,755.60735,-7.3597842,-0.03702476,82.475345,0,82.096334,0.026657827,52000,0,0,0,0,0
0.01,0.082812835,-9.9040466e-09,-3.3627396,8.7037848,-2.5620975e-06,-38.187935,3.466663e-08,1.3613783,3.5441021e-08,-2.1679764e-27,0.0052377691,1.907246e-06,0.09424778,2.1056474e-27,7.8894067e-07,0.023761276,0.7854,5.7808662e-27,2.9409567e-06,1,0,0,-0.11273212,-7.4572894e-08,0.11275128,38.367127,3.3627396,154.87953,52200,1.3465662,nan,0.0002233885,nan,nan,901.33127,-9.3991612,-0.04399517,77.826535,7.1068523e-26,72.156232,0.031574229,52200,0,0,0,0,0
0.02,0.17267455,-4.7110338e-08,-3.7574192,9.4102504,-5.5373554e-06,-41.39104,1.6534933e-07,1.3614492,1.6904161e-07,-7.2730324e-26,0.0096699776,4.1480028e-06,0.1727876,-5.7665589e-26,2.3376264e-06,0.043130476,0.7854,1.6476821e-25,5.4342611e-06,1,0,0,-0.10319683,-1.6887029e-07,0.12232687,41.625334,3.7574192,154.75906,52400,1.346958,nan,0.00041001211,nan,nan,1060.8767,-11.6128,-0.051455495,69.783833,-3.5539541e-29,57.268653,0.036713318,52400,0,0,0,0,0
0.03,0.26961054,-1.1559374e-07,-4.1841908,10.119055,-8.8842054e-06,-44.609402,4.0821287e-07,1.3615602,4.1732298e-07,2.096141e-25,0.013001992,6.7375103e-06,0.25132741,-1.6982988e-25,4.1805652e-06,0.062115379,0.7854,-4.0811007e-25,7.5857726e-06,1,0,0,-0.094983076,-2.854354e-07,0.13195729,44.902154,4.1841908,154.63859,52600,1.3473415,nan,0.00059706259,nan,nan,1234.4286,-13.975009,-0.059410338,58.543863,1.576777e-28,37.602748,0.042083099,52600,0,0,0,0,0
0.04,0.37364314,-2.1886338e-07,-4.6432073,10.830079,-1.2548192e-05,-47.843057,7.8025837e-07,1.3616996,7.9765795e-07,1.338992e-24,0.015242183,9.6908629e-06,0.32986723,-6.0718037e-25,6.0778187e-06,0.080723608,0.7854,-2.2628138e-24,9.470586e-06,1,0,0,-0.087836215,-4.2693261e-07,0.14164074,48.19697,4.6432073,154.51812,52800,1.3477168,nan,0.00078454233,nan,nan,1422.1715,-16.614071,-0.067849422,55.23556,1.3086818e-27,30.076774,0.047671206,52800,0,0,0,0,0
0.05,0.4847963,-3.5982954e-07,-5.1346212,11.54368,-1.6461717e-05,-51.091937,1.2992966e-06,1.3618597,1.3282439e-06,2.4683724e-24,0.017100174,1.3023741e-05,0.40840704,-1.6735401e-24,7.9128726e-06,0.098962639,0.69840214,-3.6523345e-24,1.114395e-05,1,0,0,-0.081553534,-5.9615221e-07,0.15137576,51.509279,5.1346212,154.39765,53000,1.3480837,nan,0.0009724539,nan,nan,1624.2877,-19.438861,-0.076807424,53.145948,2.8757412e-27,24.366079,0.05352906,53000,0,0,0,0,0
0.06,0.60309552,-5.4067803e-07,-5.6585849,12.259775,-2.0544248e-05,-54.356074,1.9840449e-06,1.3620369,2.0282016e-06,2.4683766e-24,0.018551094,1.6753857e-05,0.41887902,-2.0964809e-24,9.6362176e-06,0.1168398,0.58149869,-3.2224721e-24,1.2648416e-05,1,0,0,-0.075985617,-7.9604265e-07,0.16116135,54.838737,5.6585849,154.27718,53200,1.3484423,nan,0.0011607999,nan,nan,1840.9629,-22.439596,-0.086264906,50.383769,3.2871175e-27,17.712795,0.05963296,53200,0,0,0,0,0
0.07,0.72856537,-7.6272394e-07,-6.2152511,12.97827,-2.4698737e-05,-57.6355,2.8541136e-06,1.3622267,2.9175614e-06,6.9858977e-24,0.019535026,2.0897033e-05,0.41887902,-4.3058591e-24,1.1232769e-05,0.13436226,0.48886762,-8.1016744e-24,1.4014602e-05,1,0,0,-0.071017426,-1.0296552e-06,0.17099673,58.185081,6.2152511,154.15671,53400,1.3487924,nan,0.001349583,nan,nan,2072.384,-25.607257,-0.096204045,46.947525,1.0329359e-26,10.116524,0.065962543,53400,0,0,0,0,0
0.08,0.86122949,-1.0262445e-06,-6.8047728,13.69908,-2.8811072e-05,-60.930245,3.9298979e-06,1.3624243,4.0171529e-06,1.1503432e-23,0.019987248,2.546768e-05,0.41843769,-7.290026e-24,1.270401e-05,0.15153706,0.4144657,-1.1923356e-23,1.5265255e-05,1,0,0,-0.066559235,-1.3001393e-06,0.18088132,61.548102,6.8047728,154.03624,53600,1.349134,nan,0.0015388056,nan,nan,2318.738,-28.999592,-0.10660272,42.887963,1.8402295e-26,1.624136,0.072492499,53600,0,0,0,0,0
0.09,1.0011108,-1.330304e-06,-7.4273033,14.422143,-3.2748934e-05,-64.240333,5.2324567e-06,1.3626241,5.3484813e-06,1.6020977e-23,0.019848297,3.0478319e-05,0.40053164,-9.9671484e-24,1.4058548e-05,0.16837111,0.35396407,-1.4923005e-23,1.6417305e-05,1,0,0,-0.062540337,-1.6107255e-06,0.19081462,64.92763,7.4273033,153.91577,53800,1.3494671,nan,0.0017284703,nan,nan,2580.2127,-32.619135,-0.11743185,38.116389,2.7429167e-26,-7.8554392,0.079189999,53800,0,0,0,0,0
0.1,1.1482315,-1.6725668e-06,-8.0829962,15.147409,-3.6360622e-05,-67.565782,6.7833475e-06,1.36282,6.9335604e-06,6.9860005e-24,0.019051492,3.5939094e-05,0.36808888,-1.0180535e-23,1.5307217e-05,0.18487116,0.30420279,-5.8768114e-24,1.7483317e-05,1,0,0,-0.058904861,-1.9647039e-06,0.20079626,68.32353,8.0829962,153.7953,54000,1.3497916,nan,0.0019185793,nan,nan,2856.9962,-36.433161,-0.12865708,32.75732,1.2610536e-26,-18.236729,0.086015165,54000,0,0,0,0,0
0.11,1.3026137,-2.0490996e-06,-8.772005,15.874863,-3.9474074e-05,-70.906609,8.6044154e-06,1.3630051,8.7946975e-06,1.1503531e-23,0.017539545,4.1857307e-05,0.33082525,-8.6171143e-24,1.6460657e-05,0.20104384,0.26284521,-8.7789591e-24,1.8472544e-05,1,0,0,-0.055608277,-2.3654007e-06,0.21082592,71.735694,8.772005,153.67483,54200,1.3501075,nan,0.0021091353,nan,nan,3149.2776,-40.451867,-0.14023705,26.781857,2.1695636e-26,-29.543343,0.09292136,54200,0,0,0,0,0
0.12,1.4642791,-2.4541635e-06,-9.4944836,16.604504,-4.1895776e-05,-74.262823,1.0717536e-05,1.3631719,1.0954233e-05,1.1503568e-23,0.015247268,4.8236973e-05,0.29367918,-8.4745512e-24,1.7528259e-05,0.21689564,0.22813343,-7.9969621e-24,1.939171e-05,1,0,0,-0.052615322,-2.8161487e-06,0.22090335,75.16403,9.4944836,153.55436,54400,1.3504148,nan,0.0023001405,nan,nan,3457.2463,-44.698157,-0.15212322,20.105171,2.2630961e-26,-41.841199,0.09985522,54400,0,0,0,0,0
0.13,1.6332498,-2.879996e-06,-10.250586,17.336364,-4.3409899e-05,-77.634428,1.3144303e-05,1.3633126,1.3434225e-05,1.1503597e-23,0.012114174,5.5078362e-05,0.25896172,-7.3713974e-24,1.8517787e-05,0.23243293,0.19873168,-7.3120506e-24,2.0245575e-05,1,0,0,-0.049898043,-3.3202555e-06,0.23102833,78.608462,10.250586,153.43389,54600,1.3507133,nan,0.0024915974,nan,nan,3781.0922,-49.173544,-0.16426099,14.447097,2.327884e-26,-52.665451,0.10675625,54600,0,0,0,0,0
0.14,1.8095494,-3.3165842e-06,-11.040466,18.071056,-4.377755e-05,-81.021303,1.5905831e-05,1.3634203,1.6256244e-05,1.1503642e-23,0.0089486487,6.237754e-05,0.22762991,-7.6295668e-24,1.9435365e-05,0.24766195,0.17388637,-6.7089604e-24,2.1037381e-05,1,0,0,-0.047425515,-3.8809682e-06,0.24120062,82.068899,11.040466,153.31342,54800,1.3510031,nan,0.0026835088,nan,nan,4121.0031,-53.880177,-0.17658922,24.628845,2.3904903e-26,-39.603435,0.11355788,54800,0,0,0,0,0
0.15,1.99321,-3.7514325e-06,-11.864275,18.809269,-4.2736159e-05,-84.423314,1.9023382e-05,1.3635,1.9442025e-05,2.0538707e-23,0.0066626247,7.0125973e-05,0.20002555,-8.0201298e-24,2.0285616e-05,0.26258882,0.15302159,-1.1025356e-23,2.1769175e-05,1,0,0,-0.045160447,-4.5014328e-06,0.25141999,85.545262,11.864275,153.19295,55000,1.3512841,nan,0.0028758777,nan,nan,4477.167,-58.821551,-0.18904069,34.920078,4.3807694e-26,-26.337016,0.12018728,55000,0,0,0,0,0
0.16,2.184267,-4.1693231e-06,-12.722164,19.551086,-3.9999063e-05,-87.840451,2.2518179e-05,1.3635603,2.3013255e-05,2.5056296e-23,0.0052557418,7.8310103e-05,0.17605816,-9.640831e-24,2.1071847e-05,0.27721952,0.13541768,-1.2417039e-23,2.2442049e-05,1,0,0,-0.043073227,-5.1846527e-06,0.26168635,89.037514,12.722164,153.07248,55200,1.3515562,nan,0.0030687077,nan,nan,4849.7756,-63.970626,-0.20154331,45.051767,5.4662809e-26,-13.292286,0.1265657,55200,0,0,0,0,0
0.17,2.3827568,-4.5520749e-06,-13.614286,20.296555,-3.525545e-05,-91.272719,2.6411065e-05,1.36361,2.6991235e-05,1.6021352e-23,0.0047100459,8.6910996e-05,0.15541852,-9.1919873e-24,2.1796262e-05,0.29155995,0.12049936,-7.3497357e-24,2.3056366e-05,1,0,0,-0.041137726,-5.9334467e-06,0.27199965,92.545631,13.614286,152.95201,55400,1.3518194,nan,0.0032620024,nan,nan,5239.0221,-69.275777,-0.21402097,54.925964,3.5456761e-26,-0.65922516,0.13260888,55400,0,0,0,0,0
0.18,2.588716,-4.8783017e-06,-14.54079,21.045677,-2.8170118e-05,-94.72013,3.0722358e-05,1.3636576,3.1396724e-05,1.6021411e-23,0.004987455,9.590389e-05,0.13771863,-8.2968309e-24,2.2460153e-05,0.30561585,0.10780228,-6.8210607e-24,2.36119e-05,1,0,0,-0.039330932,-6.7503985e-06,0.28235983,96.069593,14.54079,152.83154,55600,1.3520737,nan,0.0034557652,nan,nan,5645.1001,-74.817185,-0.22638583,64.258059,3.5961299e-26,11.230112,0.13822549,55600,0,0,0,0,0
0.19,2.8021808,-5.1231677e-06,-15.50183,21.798413,-1.8383631e-05,-98.1827,3.5471668e-05,1.363711,3.6249749e-05,2.0538987e-23,0.0060352106,0.00010525782,0.12256275,-8.0573416e-24,2.3064065e-05,0.31939288,0.096949615,-8.1347022e-24,2.4107966e-05,1,0,0,-0.037632642,-7.6378044e-06,0.29276686,99.609383,15.50183,152.71107,55800,1.3523191,nan,0.0036499996,nan,nan,6068.2039,-80.59839,-0.23854775,72.962226,4.6743145e-26,22.267555,0.14331981,55800,0,0,0,0,0
0.2,3.0231873,-5.2581475e-06,-16.497556,22.554702,-5.4895654e-06,-101.66045,4.0677708e-05,1.3637779,4.1569412e-05,2.9574094e-23,0.0078185224,0.00011493509,0.10987269,-8.7212147e-24,2.3652063e-05,0.33289656,0.089833852,-1.0932552e-23,2.4879384e-05,1,0,0,-0.036024925,-8.5973947e-06,0.30322073,103.16499,16.497556,152.5906,56000,1.3525554,nan,0.0038447091,nan,nan,6508.5285,-86.529993,-0.24524227,81.338341,6.8242565e-26,33.065118,0.14772755,56000,0,0,0,0,0
0.21,3.2517705,-5.2482707e-06,-17.52812,23.314415,1.1684424e-05,-105.15344,4.6357911e-05,1.3638654,4.7373492e-05,3.8609248e-23,0.010226978,0.00012487457,0.10121048,-1.0541479e-23,2.4547077e-05,0.34613232,0.08808979,-1.3381975e-23,2.6368462e-05,1,0,0,-0.034492226,-9.6235261e-06,0.31372146,106.73642,17.52812,152.47013,56200,1.3527826,nan,0.0040398973,nan,nan,6966.2716,-92.473598,-0.2380725,87.169699,9.0143952e-26,39.911404,0.15086805,56200,0,0,0,0,0
0.22,3.4879638,-5.0462925e-06,-18.593675,24.077309,3.4073788e-05,-108.66172,5.2526706e-05,1.3639785,5.3676688e-05,3.8609398e-23,0.012995991,0.00013498759,0.095362412,-1.1489417e-23,2.567555e-05,0.35910547,0.086275428,-1.2571955e-23,2.7818293e-05,1,0,0,-0.033022993,-1.0713102e-05,0.32426909,110.32368,18.593675,152.34966,56400,1.3530007,nan,0.0042355672,nan,nan,7441.6314,-98.621769,-0.22756159,90.842483,9.0559663e-26,43.408333,0.15267113,56400,0,0,0,0,0
0.23,3.731798,-4.5975318e-06,-19.694375,24.84316,6.2314846e-05,-112.18537,5.9194577e-05,1.3641201,6.048965e-05,2.0539499e-23,0.015931426,0.00014518547,0.091151202,-1.0678178e-23,2.6921733e-05,0.37182123,0.08440603,-6.2949551e-24,2.9213588e-05,1,0,0,-0.031608609,-1.1865467e-05,0.33486363,113.92676,19.694375,152.22919,56600,1.3532097,nan,0.0044317221,nan,nan,7934.8061,-104.97598,-0.21353448,92.887937,4.8365767e-26,44.592151,0.15314697,56600,0,0,0,0,0
