time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-3,22,0,-34,0,0.99483767,0,0,0,0,0.0078539816,0,0.0078539816,0.002,0.7854,0,0.7854,1,0,0,-0.13611607,-0.080408546,0.110779,37.696154,3,295,90000,0.99648302,nan,3.5211625e-07,nan,nan,870.11187,-15.693633,132.82362,195.44241,0,220.12321,-151.0398,90000,0,0,0,0,0
0.01,0.22750623,2.1206094e-05,-3.3510632,23.668846,0.0048672645,-36.459844,-2.6633785e-05,0.99486064,-3.1757508e-05,3.5935128e-07,0.0049994995,-0.004033295,0.086393798,2.7836062e-05,0.086393798,0.021781315,0.7854,0.00016535694,0.78149595,1,0,0,-0.12467464,-0.074349141,0.11938978,40.626089,3.3510632,294.81605,90200,0.99639485,nan,4.0137021e-06,nan,nan,1010.5933,-19.775666,159.42543,185.64438,0.0024980182,195.74544,-195.30531,90200,0,0,0,0,0
0.02,0.47172001,9.5127531e-05,-3.7267583,25.341882,0.010657762,-38.92716,-0.00012338853,0.99493068,-0.00014714533,6.3789084e-06,0.009302748,-0.0092832165,0.16493361,0.00019017252,0.16493361,0.041170545,0.7854,0.00065646302,0.62611658,1,0,0,-0.11472158,-0.069036393,0.12804252,43.570269,3.7267583,294.63209,90400,0.99630052,nan,7.9295464e-06,nan,nan,1162.3347,-24.131128,193.81599,169.9206,0.019628653,160.44494,-252.70934,90400,0,0,0,0,0
0.03,0.73268196,0.00023120295,-4.1271609,27.018823,0.017351982,-41.402137,-0.00031041366,0.99503962,-0.00037031352,3.2896013e-05,0.012641682,-0.015888054,0.24347343,0.00055050491,0.24347343,0.060175462,0.7854,0.0014182138,0.50531534,1,0,0,-0.10598669,-0.064308207,0.13673423,46.527669,4.1271609,294.44814,90600,0.99620004,nan,1.2097977e-05,nan,nan,1325.4294,-28.870416,227.44689,147.67984,0.064793225,113.14718,-307.84815,90600,0,0,0,0,0
0.04,1.0104302,0.00043726247,-4.5523482,28.699588,0.024611069,-43.884826,-0.00060765859,0.99517706,-0.0007253893,0.0001038314,0.01503751,-0.023676154,0.32201325,0.0011241502,0.31500341,0.078803683,0.69999111,0.0023910354,0.40958665,1,0,0,-0.098261674,-0.060044236,0.14546257,49.497497,4.5523482,294.26419,90800,0.99609336,nan,1.6517766e-05,nan,nan,1499.9707,-33.686924,249.74505,140.59724,0.1497336,94.319523,-343.83502,90800,0,0,0,0,0
0.05,1.305005,0.00071592653,-5.002396,30.384549,0.031822683,-46.374996,-0.0010292746,0.99533704,-0.0012299046,0.00025067727,0.017172224,-0.032204703,0.34906585,0.001892537,0.33415078,0.097062676,0.58186461,0.0034981289,0.3326092,1,0,0,-0.091371687,-0.056156873,0.15422567,52.479106,5.002396,294.08023,91000,0.99598048,nan,2.1189094e-05,nan,nan,1686.0497,-38.907463,270.5981,137.39609,0.28335273,82.992797,-377.85643,91000,0,0,0,0,0
0.06,1.6164479,0.0010659002,-5.4773794,32.073611,0.038806941,-48.872702,-0.0015866718,0.99551679,-0.0018985188,0.00051004819,0.019000332,-0.04158991,0.34906585,0.0028142721,0.31818464,0.11495976,0.4882288,0.0046713608,0.26965646,1,0,0,-0.085186272,-0.052568772,0.16302206,55.472001,5.4773794,293.89628,91200,0.99586137,nan,2.6113027e-05,nan,nan,1883.7592,-44.513554,291.27088,132.53531,0.47076552,68.936404,-411.89422,91200,0,0,0,0,0
0.07,1.9447996,0.0014832419,-5.977374,33.766688,0.045160195,-51.378001,-0.0022912951,0.99571284,-0.0027463757,0.00092124507,0.020475827,-0.05170178,0.34906585,0.0038425595,0.28600749,0.1325021,0.4131237,0.0058622481,0.21745764,1,0,0,-0.079601909,-0.049220147,0.17185065,58.475799,5.977374,293.71233,91400,0.99573601,nan,3.1291329e-05,nan,nan,2093.1926,-50.418961,308.66554,126.50159,0.71423906,53.098015,-440.44943,91400,0,0,0,0,0
0.08,2.2900998,0.0019599134,-6.5024559,35.463704,0.050489868,-53.890942,-0.003152337,0.99592126,-0.0037864003,0.0015243995,0.021554713,-0.062458951,0.34906585,0.0049320344,0.247847,0.14969674,0.35222982,0.0070316569,0.17361995,1,0,0,-0.07453553,-0.046062128,0.1807105,61.490187,6.5024559,293.52838,91600,0.99560439,nan,3.6726773e-05,nan,nan,2314.4435,-56.70763,318.54024,119.47401,1.013648,35.570538,-456.39626,91600,0,0,0,0,0
0.09,2.6523877,0.0024821057,-7.0527018,37.164594,0.053908661,-56.41156,-0.0041741176,0.99613761,-0.0050261809,0.0023588749,0.02219552,-0.073209273,0.33817661,0.0060411749,0.2090694,0.16655056,0.30236787,0.0081427589,0.13660548,1,0,0,-0.069919936,-0.043064087,0.18960093,64.514925,7.0527018,293.34442,91800,0.99546647,nan,4.2423681e-05,nan,nan,2547.6069,-63.382552,312.0609,111.16987,1.366687,16.066178,-444.40941,91800,0,0,0,0,0
0.1,3.0317017,0.003027409,-7.6281885,38.869305,0.054782042,-58.939892,-0.0053510944,0.99635697,-0.0064620114,0.0034613979,0.022353485,-0.08361679,0.31377194,0.0071281154,0.17236625,0.18307033,0.26116426,0.0091520161,0.10519126,1,0,0,-0.065700586,-0.040202368,0.19852134,67.549807,7.6281885,293.16047,92000,0.99532226,nan,4.8388448e-05,nan,nan,2792.7769,-70.177888,302.32325,102.01958,1.7677749,-5.0559036,-427.37289,92000,0,0,0,0,0
0.11,3.4280799,0.0035683691,-8.2289934,40.577798,0.052672837,-61.475961,-0.0066745531,0.996574,-0.008086825,0.0048636559,0.021985631,-0.093578116,0.28430744,0.0081532325,0.13890602,0.19926266,0.22682497,0.010029174,0.078374803,1,0,0,-0.06183293,-0.037456599,0.2074712,70.594651,8.2289934,292.97652,92200,0.99517171,nan,5.4628672e-05,nan,nan,3050.0472,-77.332127,290.20003,91.561144,2.2082755,-28.200828,-406.73601,92200,0,0,0,0,0
0.12,3.8415599,0.004073321,-8.8551938,42.290056,0.047175169,-64.019774,-0.0081340286,0.99678287,-0.0098918212,0.006590513,0.021068592,-0.10300933,0.25423044,0.0090839578,0.10904042,0.21513404,0.19798198,0.010757458,0.055375058,1,0,0,-0.058280394,-0.034810762,0.21645005,73.649295,8.8551938,292.79256,92400,0.99501482,nan,6.115299e-05,nan,nan,3319.5105,-84.853382,275.67672,86.129209,2.6777307,-41.885674,-381.34242,92400,0,0,0,0,0
0.13,4.2721808,0.0045065535,-9.5068662,44.006519,0.037886195,-66.571034,-0.0097171201,0.99698001,-0.011866162,0.0086590521,0.020266148,-0.1117719,0.22575792,0.0098964909,0.08271181,0.23069083,0.17370412,0.011329675,0.035594918,1,0,0,-0.055003477,-0.03225307,0.22545741,76.713572,9.5068662,292.60861,92600,0.99485156,nan,6.7971077e-05,nan,nan,3601.2569,-92.74503,258.97237,98.174157,3.1648564,-22.672979,-351.2386,92600,0,0,0,0,0
0.14,4.7199864,0.0048285122,-10.184084,45.727425,0.024450247,-69.129581,-0.011409566,0.99716856,-0.013996961,0.011078197,0.019930281,-0.1197973,0.19989055,0.010575332,0.059674333,0.24593927,0.15320446,0.011745493,0.018547881,1,0,0,-0.051965413,-0.029774887,0.23449288,79.78735,10.184084,292.42466,92800,0.99468191,nan,7.5093629e-05,nan,nan,3895.3772,-100.97533,240.84955,110.52815,3.6581644,-2.5245768,-319.25338,92800,0,0,0,0,0
0.15,5.1850211,0.0049962491,-10.88692,47.452785,0.0065433303,-71.695402,-0.013196303,0.99735295,-0.016270443,0.013848759,0.020074496,-0.12704392,0.1769331,0.011112592,0.039607207,0.26088548,0.13580554,0.012010756,0.0038374536,1,0,0,-0.049136211,-0.027369913,0.24355619,82.870531,10.88692,292.2407,93000,0.99450586,nan,8.253219e-05,nan,nan,4201.9644,-109.33947,221.39534,122.95158,4.1465649,17.779893,-285.64945,93000,0,0,0,0,0
0.16,5.6673294,0.0049636915,-11.615447,49.18258,-0.016132477,-74.268502,-0.015061724,0.99753769,-0.018672152,0.016963887,0.020687734,-0.13347509,0.15682959,0.011506944,0.022177317,0.27553544,0.12096537,0.01213546,-0.0088593442,1,0,0,-0.046489761,-0.02503383,0.25264712,85.963031,11.615447,292.05675,93200,0.99432338,nan,9.0299083e-05,nan,nan,4521.1112,-118.06354,200.72339,134.58474,4.6198407,37.053956,-250.57905,93200,0,0,0,0,0
0.17,6.1669555,0.0046819083,-12.369738,50.916761,-0.043848356,-76.848901,-0.01698981,0.99772712,-0.021187021,0.020409789,0.021739522,-0.13905735,0.13935485,0.01176223,0.0070697493,0.28989502,0.10824744,0.012132044,-0.019807877,1,0,0,-0.044003416,-0.022763984,0.26176543,89.064774,12.369738,291.8728,93400,0.99413445,nan,9.8407329e-05,nan,nan,4852.91,-127.15115,178.88359,145.16843,5.0689138,54.849666,-214.15527,93400,0,0,0,0,0
0.18,6.6839428,0.0040993764,-13.149865,52.655261,-0.076848772,-79.436627,-0.018964244,0.99792531,-0.023799427,0.024166586,0.023194593,-0.14375992,0.12421946,0.011886052,-0.0059993784,0.30396998,0.097299223,0.012014104,-0.029228019,1,0,0,-0.041657405,-0.020559138,0.27091094,92.175691,13.149865,291.68885,93600,0.99393906,nan,0.00010687059,nan,nan,5197.4529,-136.60611,155.90468,154.89825,5.4859566,71.320963,-176.52199,93600,0,0,0,0,0
0.19,7.2183343,0.003162252,-13.955903,54.39801,-0.11535022,-82.03171,-0.020968513,0.99813608,-0.02649325,0.028209214,0.025025983,-0.14755589,0.11112516,0.011888501,-0.017279461,0.31776596,0.087835591,0.011795488,-0.03730369,1,0,0,-0.039434281,-0.018419262,0.28008348,95.29572,13.955903,291.50489,93800,0.99373718,nan,0.00011570308,nan,nan,5554.832,-146.43225,131.84693,164.07947,5.8643981,86.972897,-137.77246,93800,0,0,0,0,0
0.2,7.7701721,0.0018146605,-14.787926,56.144927,-0.1595392,-84.634187,-0.022985994,0.99836309,-0.029251914,0.032508303,0.027205807,-0.15041906,0.099791922,0.011781108,-0.026986483,0.33128849,0.079623617,0.01148969,-0.044189571,1,0,0,-0.037318658,-0.016345337,0.28928288,98.424804,14.787926,291.32094,94000,0.9935288,nan,0.00012491953,nan,nan,5925.1391,-156.63359,106.77022,172.01194,6.1988543,100.83393,-97.947268,94000,0,0,0,0,0
0.21,8.3394975,-9.9839698e-07,-15.646006,57.8959,-0.20957093,-87.244113,-0.025000003,0.99860969,-0.032058396,0.037030991,0.02968707,-0.15232537,0.089968204,0.011576015,-0.035306075,0.34454299,0.072469941,0.011109419,-0.050016822,1,0,0,-0.035297239,-0.014339232,0.298509,101.56289,15.646006,291.13699,94200,0.9933139,nan,0.00013453505,nan,nan,6308.466,-167.21419,80.747209,178.52659,6.4850151,112.68748,-57.161777,94200,0,0,0,0,0
0.22,8.9263504,-0.0023437383,-16.530219,59.650814,-0.26557324,-89.861551,-0.026993839,0.99887884,-0.034895245,0.041737915,0.032419399,-0.15324674,0.082203745,0.011291109,-0.042969921,0.35753478,0.069835156,0.010694115,-0.057707273,1,0,0,-0.033358459,-0.012403628,0.30776174,104.70994,16.530219,290.95303,94400,0.99309244,nan,0.0001445651,nan,nan,6704.9048,-177.78002,53.142282,183.42036,6.7063235,121.59448,-14.209303,94400,0,0,0,0,0
0.23,9.5307696,-0.0052738807,-17.440641,61.409508,-0.3276862,-92.4866,-0.028950437,0.9991729,-0.037744059,0.046585776,0.035290316,-0.15309823,0.07680599,0.010943295,-0.050773273,0.37026905,0.068013039,0.010231862,-0.065619934,1,0,0,-0.031492944,-0.010542573,0.31704102,107.86593,17.440641,290.76908,94600,0.99286443,nan,0.00015502546,nan,nan,7114.5488,-188.60203,22.642691,184.76024,6.8764514,124.43918,33.382116,94600,0,0,0,0,0
0.24,10.152792,-0.0088531152,-18.377348,63.171797,-0.3960309,-95.119364,-0.030851482,0.999493,-0.040584498,0.051538729,0.038170959,-0.15177355,0.072856464,0.010538421,-0.05854175,0.38275092,0.066248222,0.0097234429,-0.073190728,1,0,0,-0.029693667,-0.0087615952,0.32634673,111.03081,18.377348,290.58513,94800,0.99262982,nan,0.00016593221,nan,nan,7537.49,-199.75287,-10.472424,183.30182,6.9948334,122.79326,85.168538,94800,0,0,0,0,0
0.25,10.792453,-0.013144124,-19.340418,64.937514,-0.47067898,-97.759934,-0.032677364,0.99983933,-0.043394257,0.056558721,0.040969003,-0.149179,0.069798136,0.010082039,-0.066134057,0.39498539,0.064545211,0.0091736993,-0.080343933,1,0,0,-0.027955147,-0.0070673737,0.3356788,114.20456,19.340418,290.40117,95000,0.99238861,nan,0.00017730164,nan,nan,7973.8199,-211.23298,-45.850401,179.68283,7.0581125,117.86261,140.59127,95000,0,0,0,0,0
0.26,11.449786,-0.018210067,-20.329929,66.706509,-0.55164779,-100.40839,-0.034407394,1.0002114,-0.046149301,0.061605357,0.043615849,-0.14523463,0.067299063,0.0095792188,-0.073436092,0.40697736,0.06290747,0.0085866891,-0.087007536,1,0,0,-0.026273134,-0.0054675508,0.34503713,117.38713,20.329929,290.21722,95200,0.99214077,nan,0.00018915015,nan,nan,8423.63,-223.04256,-83.099551,174.29743,7.0630845,110.39857,199.04182,95200,0,0,0,0,0
0.27,12.124823,-0.024114015,-21.34596,68.478655,-0.63889604,-103.06481,-0.036020035,1.0006081,-0.048824112,0.066635977,0.046063481,-0.13987568,0.065161691,0.0090344971,-0.080351538,0.41873163,0.061337808,0.0079659631,-0.093113332,1,0,0,-0.024644307,-0.0039705442,0.35442165,120.57852,21.34596,290.03327,95400,0.99188628,nan,0.00020149406,nan,nan,8887.0122,-234.86261,-121.78555,167.97994,7.0066145,101.44258,259.83879,95400,0,0,0,0,0
0.28,12.817596,-0.030918345,-22.388592,70.253843,-0.73231906,-105.72926,-0.037493162,1.0010283,-0.051391985,0.07160571,0.048276611,-0.13305426,0.06326874,0.0084519439,-0.08679633,0.43025293,0.059838192,0.0073148055,-0.09859726,1,0,0,-0.023066083,-0.0025853496,0.36383232,123.77868,22.388592,289.84932,95600,0.99162511,nan,0.0002143495,nan,nan,9364.0586,-246.96841,-161.39857,160.34347,6.8856516,90.779496,322.22893,95600,0,0,0,0,0
0.29,13.528133,-0.038684087,-23.457904,72.031958,-0.83174414,-108.4018,-0.038804346,1.0014703,-0.053825334,0.076467538,0.050217603,-0.12474135,0.061550313,0.0078352903,-0.092695518,0.44154586,0.058408786,0.0066364239,-0.10339991,1,0,0,-0.02153669,-0.0013213344,0.37326906,126.98761,23.457904,289.66536,95800,0.99135725,nan,0.00022773224,nan,nan,9854.8605,-259.37758,-201.38014,151.439,6.6972757,78.545841,385.36562,95800,0,0,0,0,0
0.3,14.256465,-0.047470222,-24.553978,73.812898,-0.93692735,-111.08251,-0.039931174,1.0019323,-0.056096056,0.081172428,0.051852287,-0.11492894,0.059964397,0.007188071,-0.09798162,0.45261496,0.057048819,0.0059341001,-0.10746717,1,0,0,-0.020055007,-0.00018802205,0.38273183,130.20527,24.553978,289.48141,96000,0.99108268,nan,0.00024165752,nan,nan,10359.509,-272.0893,-241.11216,141.32083,6.4387991,64.846795,448.31258,96000,0,0,0,0,0
0.31,15.002618,-0.057332963,-25.676897,75.596572,-1.0475506,-113.77143,-0.040851603,1.0024121,-0.058175928,0.085669536,0.053148803,-0.10363216,0.058485333,0.006513761,-0.10259394,0.46346465,0.055756716,0.005211306,-0.11075101,1,0,0,-0.018620495,0.00080513906,0.39222057,133.43164,25.676897,289.29746,96200,0.99080136,nan,0.00025613984,nan,nan,10878.096,-285.10258,-279.91854,130.02854,6.1078909,49.752977,510.04686,96200,0,0,0,0,0
0.32,15.76662,-0.068324999,-26.826742,77.382903,-1.1632196,-116.46863,-0.041544347,1.0029072,-0.060037049,0.0899065,0.054077065,-0.090891276,0.057096959,0.005815897,-0.10647848,0.47409929,0.054530221,0.0044717878,-0.1132103,1,0,0,-0.017233132,0.0016490184,0.40173525,136.66672,26.826742,289.1135,96400,0.99051328,nan,0.00027119282,nan,nan,11410.714,-298.41635,-317.06959,117.72995,5.7027165,33.444224,569.4654,96400,0,0,0,0,0
