time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar
0,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.02,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.04,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.06,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.08,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.1,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.12,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.14,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.16,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.18,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.2,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.22,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.24,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.26,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.28,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.3,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.32,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.34,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.36,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.38,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.4,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.42,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.44,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.46,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.48,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.5,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.52,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.54,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.56,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.58,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.6,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
0.62,14000,900,-10,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1415927,-2.677945,0.01971519,6.7082039,10,1,0,nan,nan,nan,nan,nan,27.536049
