time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0,0,0,-5,1.5,0,-22,0,1.5358897,0,0,0,0,0,0,0,0.004,0,0,0,1,0,0,-0.23666893,-0.13657288,0.066578606,22.655022,5,520,85000,1.5358897,nan,0,nan,nan,314.21476,-18.475828,100.93188,174.90617,0,52.471852,-30.279564,85000,-0,0,0,0,0
0.03,0.047547734,8.4612117e-05,-5.7246347,1.6824079,0.0061463558,-26.623849,-0.00022465868,1.5359033,-0.00022479556,-2.1235869e-23,0.00087323884,-0.00050554572,0,0,0,0.062115379,0,0,0,1,-0.00016274174,9.1566728e-05,-0.1956633,-0.11267198,0.079751839,27.137319,5.7246347,520,85700,1.5358897,nan,0,nan,nan,450.81804,-26.508101,119.4688,207.4665,1.0371742e-22,60.192772,-34.655464,85699.999,-7.8472685,-13.946967,0,-34.867419,19.618171
0.06,0.10059845,0.00036022951,-6.5885426,1.8669657,0.012745148,-31.287525,-0.00073096765,1.5359334,-0.00073141264,-6.142855e-23,0.0010303752,-0.00061842304,0,0,0,0.1168398,0,0,0,1,-0.00035524368,0.00019523166,-0.16620055,-0.095659165,0.093162822,31.700392,6.5885426,520,86400,1.5358897,nan,0,nan,nan,615.12114,-36.169123,138.39632,240.45313,3.5043995e-22,69.314439,-39.825456,86399.993,-16.868014,-30.693054,0,-76.732634,42.170035
0.09,0.15921903,0.00084211037,-7.5929172,2.0540178,0.020008031,-35.990921,-0.0012348643,1.5359615,-0.0012356154,-4.736332e-23,0.00081777181,-0.00054329411,0,0,0,0.16837111,0,0,0,1,-0.00040898591,0.00022258416,-0.14403644,-0.082932473,0.10676688,36.329017,7.5929172,520,87100,1.5358897,nan,0,nan,nan,807.78689,-47.497869,157.56463,273.65695,3.0962257e-22,79.531043,-45.564615,87099.991,-19.387079,-35.622672,0,-89.05668,48.467696
0.12,0.22349343,0.0015551066,-8.7389483,2.2441517,0.028246655,-40.733919,-0.0016938316,1.5359842,-0.0016948612,-6.02552e-23,0.00073047082,-0.00053986573,0,0,0,0.21689564,0,0,0,1,-0.0004007795,0.00022018322,-0.12675603,-0.07304515,0.12053857,41.014508,8.7389483,520,87800,1.5358897,nan,0,nan,nan,1029.4772,-60.533258,176.86644,306.91821,4.4465285e-22,89.48802,-51.147642,87799.991,-19.332085,-35.18844,0,-87.971099,48.330211
0.15,0.29351648,0.0025295477,-10.027823,2.4374475,0.037490964,-45.516418,-0.0021908015,1.5360071,-0.0021921322,-5.245542e-24,0.00081913632,-0.00062340601,0,0,0,0.26258882,0,0,0,1,-0.00041936529,0.00023301875,-0.11289899,-0.065135058,0.1344626,45.75164,10.027823,520,88500,1.5358897,nan,0,nan,nan,1280.8589,-75.314503,196.22458,340.11726,4.3174997e-23,98.798948,-56.404432,88499.99,-20.622157,-37.113827,0,-92.784567,51.555393
0.18,0.36938038,0.003794206,-11.460724,2.6337062,0.047639182,-50.338322,-0.0027671866,1.5360331,-0.0027688659,6.2113261e-23,0.00092077915,-0.0007105679,0,0,0,0.30561585,0,0,0,1,-0.00046872633,0.00026016764,-0.10153644,-0.058658682,0.14852922,50.537066,11.460724,520,89200,1.5358897,nan,0,nan,nan,1562.6016,-91.880971,215.58467,373.17068,-5.6463772e-22,107.93346,-61.574895,89199.987,-23.206951,-41.810387,0,-104.52597,58.017377
0.21,0.45117195,0.0053752594,-13.038833,2.8328092,0.058638466,-55.199532,-0.0034082036,1.5360614,-0.0034102701,7.2591824e-24,0.0009595557,-0.00076918792,0,0,0,0.34613232,0,0,0,1,-0.0005185237,0.0002863728,-0.092048458,-0.053255493,0.16273178,55.368502,13.038833,520,89900,1.5358897,nan,0,nan,nan,1875.3742,-110.272,234.9036,406.01471,-7.2287e-23,117.21789,-66.79448,89899.984,-25.744911,-46.615278,0,-116.5382,64.362278
0.24,0.53897646,0.007298239,-14.763327,3.0347641,0.070493557,-60.099941,-0.0040947945,1.5360902,-0.0040972751,6.0631952e-23,0.00096772764,-0.00081671012,0,0,0,0.38428469,0,0,0,1,-0.00055665737,0.00030700628,-0.084003691,-0.04867599,0.17706557,60.244315,14.763327,520,90600,1.5358897,nan,0,nan,nan,2219.8448,-130.52687,254.14099,438.58957,-6.5683369e-22,126.54478,-71.995486,90599.982,-27.814764,-50.433155,0,-126.08289,69.53691
0.27,0.63287983,0.0095889352,-16.635381,3.2395916,0.083209204,-65.03944,-0.0048251969,1.5361193,-0.0048281172,5.9337761e-23,0.00098367194,-0.00086918424,0,0,0,0.42021093,0,0,0,1,-0.00058953568,0.00032553606,-0.077092648,-0.044742031,0.19152714,65.163305,16.635381,520,91300,1.5358897,nan,0,nan,nan,2596.6809,-152.68484,273.25719,470.83514,-6.9517473e-22,135.7189,-77.089329,91299.979,-29.721437,-53.824605,0,-134.56151,74.303591
0.3,0.73296802,0.012272979,-18.656166,3.4472689,0.096769065,-70.017919,-0.0056044398,1.536149,-0.0056078285,3.135458e-23,0.0010092822,-0.00092579046,0,0,0,0.45404091,0,0,0,1,-0.00062353983,0.00034451514,-0.071088294,-0.041323381,0.2061139,70.124562,18.656166,520,92000,1.5358897,nan,0,nan,nan,3006.5499,-176.78514,292.21438,502.69415,-3.9522697e-22,144.70165,-82.062877,91999.977,-31.695386,-57.365661,0,-143.41415,79.238465
0.33,0.83931992,0.015375424,-20.826675,3.6570586,0.11115579,-75.015088,-0.0064350358,1.5361795,-0.0064389228,1.1059076e-22,0.001038801,-0.00098476605,0,0,0,0.48589695,0,0,0,1,-0.00066147506,0.00036517457,-0.065838289,-0.038333019,0.22076468,75.107245,20.826675,520,91950,1.5358897,nan,0,nan,nan,3448.2697,-202.75826,310.89345,533.97027,-1.4927447e-21,153.46069,-86.887735,91949.974,-33.577794,-60.822627,0,-152.05657,83.944484
0.36,0.95198327,0.018920755,-23.147037,3.8681036,0.12634136,-80.007782,-0.0073178188,1.5362108,-0.0073222345,1.0745224e-22,0.0010599769,-0.0010405527,0,0,0,0.51589423,0,0,0,1,-0.00070239663,0.00038723034,-0.061223821,-0.035703201,0.23541018,80.087753,23.147037,520,91900,1.5358897,nan,0,nan,nan,3919.8819,-230.48906,329.16788,564.45683,-1.5462142e-21,162.01569,-91.563169,91899.97,-35.586459,-64.550245,0,-161.37561,88.966147
0.39,1.0709949,0.02293244,-25.617115,4.0803486,0.14229251,-84.995902,-0.0082479587,1.5362425,-0.0082529305,1.840187e-22,0.0010673763,-0.0010899327,0,0,0,0.54414121,0,0,0,1,-0.00074144485,0.00040825301,-0.057133478,-0.033370253,0.25004903,85.065592,25.617115,520,91850,1.5358897,nan,0,nan,nan,4421.2552,-259.96981,347.01033,594.11916,-2.811907e-21,170.4069,-96.108809,91849.967,-37.498027,-68.101703,0,-170.25426,93.745068
0.42,1.1963902,0.027433079,-28.236772,4.2937542,0.15898339,-89.979348,-0.0092213335,1.5362743,-0.0092268862,2.5828422e-22,0.0010692292,-0.0011365219,0,0,0,0.57074001,0,0,0,1,-0.00077784061,0.0004278427,-0.053480417,-0.031284635,0.2646801,90.040356,28.236772,520,91800,1.5358897,nan,0,nan,nan,4952.2533,-291.19249,364.39404,622.92384,-4.1764843e-21,178.57817,-100.49692,91799.964,-39.275947,-71.405761,0,-178.5144,98.189868
0.45,1.3282034,0.032444484,-31.005866,4.5082777,0.17638599,-94.958023,-0.010236683,1.536306,-0.010242841,3.2967355e-22,0.0010702654,-0.001182345,0,0,0,0.59578681,0,0,0,1,-0.00081292989,0.00044661393,-0.050195958,-0.029407232,0.27930246,95.011705,31.005866,520,91750,1.5358897,nan,0,nan,nan,5512.7352,-324.14883,381.29279,650.83845,-5.6236911e-21,186.48819,-104.70678,91749.961,-40.976813,-74.586309,0,-186.46577,102.44203
