alpha_rad,beta_rad,CL
-0.174532925,-0.523598776,-0.009000
-0.174532925,-0.436332313,-0.007000
-0.174532925,-0.349065850,-0.000000
-0.174532925,-0.261799388,0.001000
-0.174532925,-0.174532925,0.003000
-0.174532925,-0.087266463,0.001000
-0.174532925,0.000000000,0.000000
-0.174532925,0.087266463,-0.001000
-0.174532925,0.174532925,-0.003000
-0.174532925,0.261799388,-0.001000
-0.174532925,0.349065850,0.000000
-0.174532925,0.436332313,0.007000
-0.174532925,0.523598776,0.009000
-0.087266463,-0.523598776,0.011000
-0.087266463,-0.436332313,0.010000
-0.087266463,-0.349065850,0.010000
-0.087266463,-0.261799388,0.010000
-0.087266463,-0.174532925,0.009000
-0.087266463,-0.087266463,0.004000
-0.087266463,0.000000000,0.000000
-0.087266463,0.087266463,-0.004000
-0.087266463,0.174532925,-0.009000
-0.087266463,0.261799388,-0.010000
-0.087266463,0.349065850,-0.010000
-0.087266463,0.436332313,-0.010000
-0.087266463,0.523598776,-0.011000
0.000000000,-0.523598776,0.023000
0.000000000,-0.436332313,0.023000
0.000000000,-0.349065850,0.022000
0.000000000,-0.261799388,0.020000
0.000000000,-0.174532925,0.017000
0.000000000,-0.087266463,0.008000
0.000000000,0.000000000,0.000000
0.000000000,0.087266463,-0.008000
0.000000000,0.174532925,-0.017000
0.000000000,0.261799388,-0.020000
0.000000000,0.349065850,-0.022000
0.000000000,0.436332313,-0.023000
0.000000000,0.523598776,-0.023000
0.087266463,-0.523598776,0.037000
0.087266463,-0.436332313,0.034000
0.087266463,-0.349065850,0.034000
0.087266463,-0.261799388,0.030000
0.087266463,-0.174532925,0.024000
0.087266463,-0.087266463,0.012000
0.087266463,0.000000000,0.000000
0.087266463,0.087266463,-0.012000
0.087266463,0.174532925,-0.024000
0.087266463,0.261799388,-0.030000
0.087266463,0.349065850,-0.034000
0.087266463,0.436332313,-0.034000
0.087266463,0.523598776,-0.037000
0.174532925,-0.523598776,0.050000
0.174532925,-0.436332313,0.049000
0.174532925,-0.349065850,0.047000
0.174532925,-0.261799388,0.039000
