alpha_rad,CXq,CYr,CYp,CZq,Clr,Clp,Cmq,Cnr,Cnp
-0.174532925,-0.267000,0.882000,-0.108000,-8.800000,-0.126000,-0.360000,-7.210000,-0.380000,0.061000
-0.087266463,-0.110000,0.852000,-0.108000,-25.800000,-0.026000,-0.359000,-0.540000,-0.363000,0.052000
0.000000000,0.308000,0.876000,-0.188000,-28.900000,0.063000,-0.443000,-5.230000,-0.378000,0.052000
0.087266463,1.340000,0.958000,0.110000,-31.400000,0.113000,-0.420000,-5.260000,-0.386000,-0.012000
0.174532925,2.080000,0.962000,0.258000,-31.200000,0.208000,-0.383000,-6.110000,-0.370000,-0.013000
0.261799388,2.910000,0.974000,0.226000,-30.700000,0.230000,-0.375000,-6.640000,-0.453000,-0.024000
0.349065850,2.760000,0.819000,0.344000,-27.700000,0.319000,-0.329000,-5.690000,-0.550000,0.050000
0.436332313,2.050000,0.483000,0.362000,-28.200000,0.437000,-0.294000,-6.000000,-0.582000,0.150000
0.523598776,1.500000,0.590000,0.611000,-29.000000,0.680000,-0.230000,-6.200000,-0.595000,0.130000
0.610865238,1.490000,1.210000,0.529000,-29.800000,0.100000,-0.210000,-6.400000,-0.637000,0.158000
0.698131701,1.830000,-0.493000,0.298000,-38.300000,0.447000,-0.120000,-6.600000,-1.020000,0.240000
0.785398163,1.210000,-1.040000,-2.270000,-35.300000,-0.330000,-0.100000,-6.000000,-0.840000,0.150000
