alpha_rad,beta_rad,DNDA
-0.174532925,-0.523598776,0.001000
-0.174532925,-0.349065850,0.002000
-0.174532925,-0.174532925,-0.006000
-0.174532925,0.000000000,-0.011000
-0.174532925,0.174532925,-0.015000
-0.174532925,0.349065850,-0.024000
-0.174532925,0.523598776,-0.022000
-0.087266463,-0.523598776,-0.027000
-0.087266463,-0.349065850,-0.014000
-0.087266463,-0.174532925,-0.008000
-0.087266463,0.000000000,-0.011000
-0.087266463,0.174532925,-0.015000
-0.087266463,0.349065850,-0.010000
-0.087266463,0.523598776,0.002000
0.000000000,-0.523598776,-0.017000
0.000000000,-0.349065850,-0.016000
0.000000000,-0.174532925,-0.006000
0.000000000,0.000000000,-0.010000
0.000000000,0.174532925,-0.014000
0.000000000,0.349065850,-0.004000
0.000000000,0.523598776,-0.003000
0.087266463,-0.523598776,-0.013000
0.087266463,-0.349065850,-0.016000
0.087266463,-0.174532925,-0.006000
0.087266463,0.000000000,-0.009000
0.087266463,0.174532925,-0.012000
0.087266463,0.349065850,-0.002000
0.087266463,0.523598776,-0.005000
0.174532925,-0.523598776,-0.012000
0.174532925,-0.349065850,-0.014000
0.174532925,-0.174532925,-0.005000
0.174532925,0.000000000,-0.008000
0.174532925,0.174532925,-0.011000
0.174532925,0.349065850,-0.001000
0.174532925,0.523598776,-0.003000
0.261799388,-0.523598776,-0.016000
0.261799388,-0.349065850,-0.019000
0.261799388,-0.174532925,-0.008000
0.261799388,0.000000000,-0.006000
0.261799388,0.174532925,-0.008000
0.261799388,0.349065850,0.003000
0.261799388,0.523598776,-0.001000
0.349065850,-0.523598776,0.001000
0.349065850,-0.349065850,-0.021000
0.349065850,-0.174532925,-0.005000
0.349065850,0.000000000,0.000000
0.349065850,0.174532925,-0.002000
0.349065850,0.349065850,0.014000
0.349065850,0.523598776,-0.009000
0.436332313,-0.523598776,0.017000
0.436332313,-0.349065850,0.002000
0.436332313,-0.174532925,0.007000
0.436332313,0.000000000,0.004000
0.436332313,0.174532925,0.002000
0.436332313,0.349065850,0.006000
0.436332313,0.523598776,-0.009000
0.523598776,-0.523598776,0.011000
0.523598776,-0.349065850,0.012000
0.523598776,-0.174532925,0.004000
0.523598776,0.000000000,0.007000
0.523598776,0.174532925,0.006000
0.523598776,0.349065850,-0.001000
0.523598776,0.523598776,-0.001000
0.610865238,-0.523598776,0.017000
0.610865238,-0.349065850,0.016000
0.610865238,-0.174532925,0.007000
0.610865238,0.000000000,0.010000
0.610865238,0.174532925,0.012000
0.610865238,0.349065850,0.004000
0.610865238,0.523598776,0.003000
0.698131701,-0.523598776,0.008000
0.698131701,-0.349065850,0.015000
0.698131701,-0.174532925,0.006000
0.698131701,0.000000000,0.004000
0.698131701,0.174532925,0.011000
0.698131701,0.349065850,0.004000
0.698131701,0.523598776,-0.002000
0.785398163,-0.523598776,0.016000
0.785398163,-0.349065850,0.011000
0.785398163,-0.174532925,0.006000
0.785398163,0.000000000,0.010000
0.785398163,0.174532925,0.011000
0.785398163,0.349065850,0.006000
0.785398163,0.523598776,0.001000
