alt_m,mach,idle_N,mil_N,max_N
0.0000,0.00,4715.115,56403.450,88964.432
0.0000,0.20,2824.621,56403.450,95280.907
0.0000,0.40,266.893,56092.075,100974.631
0.0000,0.60,-4537.186,56225.521,107824.892
0.0000,0.80,-12010.198,55113.466,115965.138
0.0000,1.00,-16013.598,51955.228,128491.330
3048.0000,0.00,2980.308,40701.228,66723.324
3048.0000,0.20,1890.494,40701.228,69837.079
3048.0000,0.40,111.206,41421.840,74997.016
3048.0000,0.60,-756.198,43766.052,84115.871
3048.0000,0.80,-8451.621,45265.103,93746.271
3048.0000,1.00,-6227.510,43806.086,103728.080
6096.0000,0.00,3914.435,27578.974,48040.793
6096.0000,0.20,3069.273,28081.623,49931.288
6096.0000,0.40,1534.636,29402.745,54490.715
6096.0000,0.60,-1334.466,31537.891,61207.529
6096.0000,0.80,-5782.688,34473.718,71060.340
6096.0000,1.00,-2646.692,35808.184,81402.456
9144.0000,0.00,5070.973,17570.475,31137.551
9144.0000,0.20,4492.704,17970.815,32574.327
9144.0000,0.40,3358.407,19082.871,36270.799
9144.0000,0.60,1556.878,20728.713,41301.738
9144.0000,0.80,-1098.711,23664.539,49441.983
9144.0000,1.00,-1521.292,27134.152,59979.820
12192.0000,0.00,6672.332,10898.143,17792.886
12192.0000,0.20,5916.135,10987.107,19727.863
12192.0000,0.40,5026.490,11565.376,22241.108
12192.0000,0.60,4047.882,12632.949,25354.863
12192.0000,0.80,2668.933,14456.720,30514.800
12192.0000,1.00,-889.644,16903.242,38441.531
15240.0000,0.00,8273.692,6227.510,11120.554
15240.0000,0.20,7561.977,6227.510,11565.376
15240.0000,0.40,6783.538,6939.226,12610.708
15240.0000,0.60,6049.581,7384.048,14301.032
15240.0000,0.80,4893.044,8585.068,17570.475
15240.0000,1.00,3113.755,10275.392,22494.657
